,past_reform,limit_con,zone,zone_id,distance_to_transit,day,day_id
96,True,0.0,downtown,0,111.57306176554836,1836,59
97,True,0.0,downtown,0,194.1666086879922,1850,60
98,True,0.0,downtown,0,447.0051266526557,1899,61
99,True,0.0,downtown,0,18.460288133198784,1899,61
100,True,0.0,downtown,0,209.03468969150865,1913,62
101,True,0.0,downtown,0,65.67164878475612,1913,62
102,True,0.0,downtown,0,378.05385501891504,1927,63
103,True,0.0,downtown,0,112.02826701451724,1941,64
104,True,0.5,downtown,0,237.0458172460242,1941,64
105,True,1.0,downtown,0,678.4489042444995,1955,65
106,True,0.0,downtown,0,844.1450703235664,1969,66
107,True,0.5,downtown,0,355.15387505647647,1969,66
108,True,0.0,downtown,0,319.5146055730252,2004,67
109,True,0.0,downtown,0,36.19410201814026,2004,67
110,True,0.0,downtown,0,1216.5397232903997,2004,67
111,True,0.0,downtown,0,26.281950653198223,2025,68
112,True,0.0,downtown,0,88.43061078860818,2039,69
113,True,0.0,downtown,0,378.05385501891504,2067,70
114,True,0.0,downtown,0,50.84929425189528,2116,71
115,True,0.5,downtown,0,269.0521280642,2116,71
116,True,0.0,downtown,0,66.57048139224797,2116,71
117,True,0.0,downtown,0,89.59481069410721,2131,72
118,True,0.0,downtown,0,46.438684761893946,2165,73
119,True,0.0,downtown,0,656.0485873806217,2200,74
120,True,0.0,downtown,0,77.3099391468059,2200,74
121,True,0.0,downtown,0,84.08865721292798,2243,75
122,True,0.5,downtown,0,760.144372006239,2270,76
123,True,0.0,downtown,0,44.38217476613519,2270,76
124,True,0.5,downtown,0,422.44123199639847,2291,77
125,True,0.0,downtown,0,839.3170035059944,2305,78
126,True,0.0,downtown,0,78.27548603462542,2319,79
127,True,0.5,downtown,0,399.0730700211125,2333,80
128,True,0.5,downtown,0,467.45183453404303,2354,81
129,True,0.0,downtown,0,34.82796205379007,2368,82
130,True,0.0,downtown,0,64.5958390378518,2368,82
131,True,0.0,downtown,0,97.5489298757821,2368,82
132,True,0.0,downtown,0,46.438684761893946,2389,83
133,True,0.0,downtown,0,344.30496836829866,2389,83
134,True,0.0,downtown,0,78.94595516913851,2389,83
135,True,0.0,downtown,0,80.45325399177105,2389,83
136,True,1.0,downtown,0,1531.3731689106069,2403,84
137,True,0.0,downtown,0,153.1694391099001,2417,85
138,True,0.5,downtown,0,257.7487390061216,2417,85
139,True,0.0,downtown,0,50.9052480478212,2431,86
140,True,0.0,downtown,0,142.6973687732357,2431,86
141,True,0.5,downtown,0,190.7420105527222,2431,86
142,True,0.5,downtown,0,384.12540710497626,2431,86
143,True,0.0,downtown,0,88.12899039868441,2452,87
144,True,1.0,downtown,0,1371.5203559228084,2480,88
145,True,0.0,downtown,0,53.520236818738425,2529,89
146,True,0.0,downtown,0,434.34023414674914,2529,89
147,True,0.5,downtown,0,319.0450803677038,2529,89
148,True,0.0,downtown,0,660.8379045460813,2529,89
149,True,1.0,downtown,0,972.6643571261144,2564,90
150,True,0.0,downtown,0,40.76697195471071,2564,90
151,True,0.0,downtown,0,46.438684761893946,2578,91
152,True,0.0,downtown,0,128.16158375934805,2578,91
153,True,0.0,downtown,0,18.716330345720053,2620,92
154,True,0.0,downtown,0,212.8884792918138,2620,92
155,True,0.5,downtown,0,303.29416928468873,2655,93
156,True,1.0,downtown,0,2183.8778353022744,2655,93
157,True,0.5,downtown,0,760.144372006239,2655,93
158,True,0.0,downtown,0,154.02512210407937,2655,93
159,True,0.0,downtown,0,58.561003237298415,2669,94
160,True,0.0,downtown,0,36.52133434208446,2669,94
161,True,0.0,downtown,0,691.1071562739992,2683,95
162,True,0.0,downtown,0,816.0044034311792,2683,95
163,True,1.0,downtown,0,986.7617781760785,2718,96
164,True,0.0,downtown,0,26.416584793923,2718,96
165,True,0.0,downtown,0,118.41652246856025,2718,96
166,True,0.0,downtown,0,647.8819678743037,2718,96
167,True,0.0,downtown,0,42.0543733557293,2732,97
168,True,0.0,downtown,0,1287.8852150671196,2732,97
169,True,0.0,downtown,0,55.831169607770015,2732,97
170,True,0.0,downtown,0,165.64086669512247,2737,98
171,True,0.0,downtown,0,83.82328210379289,2753,99
172,True,0.0,downtown,0,286.53585181204187,2753,99
173,True,1.0,downtown,0,1306.6119211480477,2753,99
174,True,0.5,downtown,0,613.9066412324381,2753,99
175,True,0.0,downtown,0,43.68478437318522,2753,99
176,True,0.0,downtown,0,206.7251599664222,2753,99
177,True,0.0,downtown,0,33.761478298739824,2767,100
178,True,1.0,downtown,0,922.7042472704552,2767,100
179,True,0.5,downtown,0,1137.1912455020913,2781,101
180,True,0.5,downtown,0,544.3068041015794,2781,101
181,True,0.0,downtown,0,578.0878418199285,2781,101
182,True,1.0,downtown,0,1315.3647038561503,2781,101
183,True,0.0,downtown,0,45.81742503781876,2795,102
184,True,0.0,downtown,0,39.09861549679838,2816,103
185,True,0.0,downtown,0,28.693847791181064,2830,104
186,True,0.0,downtown,0,255.71311609770808,2844,105
187,True,0.0,downtown,0,165.76767126295525,2844,105
188,True,0.0,downtown,0,665.6444061950203,2844,105
189,True,0.0,downtown,0,485.9039101523082,2873,106
190,True,0.0,downtown,0,272.30100301082905,2873,106
191,True,0.0,downtown,0,594.4387903417241,2873,106
192,True,0.0,downtown,0,576.859517966999,2873,106
193,True,0.0,downtown,0,73.50661259958673,2873,106
194,True,0.0,downtown,0,43.06777247458887,2873,106
195,True,0.5,downtown,0,177.7732521669856,2873,106
196,True,0.5,downtown,0,229.66718951244883,2873,106
197,True,0.5,downtown,0,439.4507582937157,2893,107
198,True,0.0,downtown,0,51.17844614070539,2893,107
199,True,0.0,downtown,0,54.70884681865573,2893,107
200,True,1.0,downtown,0,1371.5203559228084,2893,107
201,True,0.0,downtown,0,94.86213771526668,2935,108
202,True,0.0,downtown,0,114.3351997491616,2935,108
203,True,1.0,downtown,0,754.5534977258718,2935,108
204,True,0.0,downtown,0,290.65980354326774,2935,108
205,True,0.0,downtown,0,66.29939155426432,2949,109
206,True,0.0,downtown,0,93.52169289800035,2963,110
207,True,0.0,downtown,0,36.05948058484964,2977,111
208,True,1.0,downtown,0,1188.7930095423442,2991,112
209,True,0.0,downtown,0,90.07887252991402,2991,112
210,True,0.0,downtown,0,164.260312802608,2991,112
211,True,0.5,downtown,0,510.9919335613557,3005,113
212,True,0.0,downtown,0,47.91307880198449,3026,114
213,True,0.5,downtown,0,363.2594864677864,3026,114
214,True,0.5,downtown,0,970.727393677238,3040,115
