,census_tract,year
319,27053102300,2012
320,27053110400,2017
321,27053110200,2018
322,27053003800,2017
323,27053003800,2012
324,27053102300,2011
325,27053108700,2018
326,27053110800,2013
327,27053011000,2014
328,27053108900,2017
329,27053011998,2018
330,27053012003,2019
331,27053000101,2018
332,27053109800,2020
333,27053101300,2015
334,27053105700,2019
335,27053010600,2012
336,27053106400,2017
337,27053105700,2016
338,27053009500,2020
339,27053008200,2020
340,27053111100,2016
341,27053105100,2011
342,27053111500,2017
343,27053106700,2020
344,27053110500,2011
345,27053105500,2013
346,27053005902,2020
347,27053008300,2016
348,27053109800,2012
349,27053100400,2019
350,27053109200,2016
351,27053104900,2018
352,27053005901,2016
353,27053105100,2014
354,27053111300,2011
355,27053100500,2020
356,27053000601,2019
357,27053108900,2015
358,27053106700,2015
359,27053005901,2011
360,27053108600,2016
361,27053105500,2020
362,27053101800,2015
363,27053109900,2014
364,27053109000,2020
365,27053007700,2015
366,27053100700,2017
367,27053008400,2020
368,27053001100,2016
369,27053012001,2020
370,27053007700,2019
371,27053126100,2016
372,27053000300,2020
373,27053000603,2016
374,27053008100,2019
375,27053109100,2017
376,27053106500,2015
377,27053005901,2019
378,27053000603,2019
379,27053003300,2015
380,27053102000,2020
381,27053008400,2013
382,27053000601,2013
383,27053012001,2015
384,27053106600,2017
385,27053007700,2016
386,27053106500,2012
387,27053000102,2017
388,27053000102,2020
389,27053125800,2013
390,27053012003,2011
391,27053002400,2019
392,27053106400,2018
393,27053125800,2018
394,27053109400,2019
395,27053105500,2011
396,27053110400,2014
397,27053111200,2011
398,27053110900,2017
399,27053110400,2016
400,27053126200,2016
401,27053125700,2014
402,27053103700,2015
403,27053106000,2019
404,27053111600,2017
405,27053000603,2013
406,27053103700,2019
407,27053102000,2014
408,27053111400,2016
409,27053008100,2016
410,27053102900,2012
411,27053107600,2015
412,27053100400,2014
413,27053100900,2020
414,27053003300,2013
415,27053012001,2012
416,27053102900,2011
417,27053109000,2011
418,27053104900,2016
419,27053109100,2020
420,27053109800,2011
421,27053110400,2018
422,27053012001,2013
423,27053100200,2020
424,27053100900,2012
425,27053125800,2014
426,27053111400,2018
427,27053002700,2017
428,27053105700,2012
429,27053109900,2012
430,27053002400,2011
431,27053111500,2016
432,27053101900,2011
433,27053102500,2019
434,27053101600,2020
435,27053007801,2016
436,27053110000,2016
437,27053105500,2019
438,27053125700,2019
439,27053106500,2018
440,27053103100,2019
441,27053101600,2019
442,27053102500,2020
443,27053106900,2016
444,27053109900,2020
445,27053110400,2013
446,27053007700,2017
447,27053100200,2019
448,27053008200,2019
449,27053100800,2019
450,27053011703,2016
451,27053005901,2013
452,27053102100,2015
453,27053108700,2012
454,27053111300,2019
455,27053010600,2018
456,27053111300,2014
457,27053100900,2019
458,27053103000,2019
459,27053102600,2016
460,27053100800,2016
461,27053111200,2012
462,27053106200,2020
463,27053002400,2017
464,27053108000,2017
465,27053000300,2012
466,27053107400,2020
467,27053102600,2019
468,27053011998,2014
469,27053103400,2012
470,27053001700,2018
471,27053005901,2020
472,27053107500,2015
473,27053008200,2014
474,27053001700,2014
475,27053125900,2013
476,27053000300,2018
477,27053108800,2015
478,27053102000,2011
479,27053102100,2017
480,27053103100,2014
481,27053100900,2015
482,27053101200,2012
483,27053010600,2013
484,27053125800,2011
485,27053011000,2015
486,27053103000,2013
487,27053106400,2012
488,27053000102,2011
489,27053007801,2012
490,27053111300,2020
491,27053000102,2018
492,27053011000,2011
493,27053104400,2016
494,27053125600,2018
495,27053105400,2015
496,27053011998,2011
497,27053111100,2014
498,27053011998,2019
499,27053011800,2013
500,27053012003,2018
501,27053125700,2011
502,27053108700,2014
503,27053011703,2012
504,27053002400,2013
505,27053102500,2014
506,27053007700,2011
507,27053108900,2012
508,27053111200,2019
509,27053011998,2015
510,27053125800,2017
511,27053007801,2019
512,27053108000,2015
513,27053012001,2018
514,27053109800,2017
515,27053125900,2017
516,27053100500,2019
517,27053100500,2016
518,27053106000,2017
519,27053109100,2011
520,27053111500,2018
521,27053011000,2020
522,27053110100,2020
523,27053002200,2016
524,27053125700,2012
525,27053107000,2018
526,27053100500,2014
527,27053104800,2017
528,27053009500,2015
529,27053100800,2015
530,27053106500,2016
531,27053110000,2014
532,27053005902,2015
533,27053110900,2012
534,27053111300,2012
535,27053008500,2018
536,27053100700,2014
537,27053100700,2013
538,27053107500,2011
539,27053108900,2020
540,27053011000,2017
541,27053008400,2011
542,27053105204,2019
543,27053102600,2017
544,27053111600,2013
545,27053100400,2015
546,27053125900,2014
547,27053106700,2017
548,27053125600,2016
549,27053003300,2019
550,27053000601,2011
551,27053011800,2016
552,27053106600,2012
553,27053109900,2016
554,27053111100,2013
555,27053108800,2012
556,27053104800,2012
557,27053100700,2020
558,27053107500,2017
559,27053105201,2018
560,27053011998,2020
561,27053106600,2019
562,27053104400,2018
563,27053103000,2018
564,27053102800,2018
565,27053103600,2019
566,27053111600,2019
567,27053108800,2016
568,27053100700,2019
569,27053105400,2019
570,27053103900,2020
571,27053108700,2016
572,27053107400,2017
573,27053000601,2016
574,27053106500,2013
575,27053011703,2018
576,27053110200,2020
577,27053108600,2018
578,27053108700,2013
579,27053126000,2013
580,27053100500,2011
581,27053011800,2015
582,27053005902,2011
583,27053102600,2012
584,27053012001,2017
585,27053100200,2016
586,27053005902,2014
587,27053109300,2016
588,27053105100,2015
589,27053103700,2016
590,27053111200,2014
591,27053105400,2016
592,27053103000,2014
593,27053007700,2020
594,27053102000,2016
595,27053110200,2019
596,27053109000,2019
597,27053106500,2014
598,27053111100,2012
599,27053105500,2016
600,27053109300,2018
601,27053107400,2018
602,27053103000,2017
603,27053002200,2013
604,27053101800,2012
605,27053107400,2016
606,27053105100,2018
607,27053109200,2019
608,27053003200,2019
609,27053107600,2020
610,27053000601,2018
611,27053000102,2019
612,27053000300,2017
613,27053111200,2015
614,27053111200,2020
615,27053104100,2020
616,27053104400,2019
617,27053101200,2020
618,27053101900,2020
619,27053110900,2013
620,27053101200,2013
621,27053101800,2019
622,27053108700,2011
623,27053002700,2019
624,27053104400,2013
625,27053126100,2012
626,27053011800,2017
627,27053125700,2020
628,27053125900,2015
629,27053104000,2018
630,27053111500,2013
631,27053011703,2014
632,27053125800,2016
633,27053111400,2014
634,27053106500,2017
635,27053101200,2015
636,27053106500,2020
637,27053010700,2016
638,27053000102,2016
639,27053009600,2013
640,27053102500,2011
641,27053000102,2014
642,27053125700,2016
643,27053109400,2017
644,27053100800,2017
645,27053102500,2016
646,27053100400,2012
647,27053111300,2017
648,27053102000,2013
649,27053106000,2012
650,27053106200,2016
651,27053006800,2017
652,27053101300,2011
653,27053003300,2017
654,27053110200,2014
655,27053102100,2020
656,27053103600,2017
657,27053101900,2019
658,27053101600,2018
659,27053108000,2011
660,27053100200,2013
661,27053101800,2016
662,27053000603,2014
663,27053010600,2020
664,27053000603,2012
665,27053102300,2015
666,27053110800,2016
667,27053101200,2014
668,27053008100,2017
669,27053105204,2012
670,27053003200,2013
671,27053105400,2017
