census_tract,year,housing_units,total_value,median_value,mean_limit_con,median_distance_to_transit,mean_distance_to_transit,housing_units_std,total_value_std,median_value_std,median_distance_to_transit_std,mean_distance_to_transit_std,year_id
27053000101,2011,1,150058700.0,112000.0,1.0,1035.4090723492302,1096.3591424048877,-0.3992309502474189,-0.49069631439750655,-0.9405518533530902,0.6335060186735441,0.7226984854431501,0
27053000101,2013,5,139303800.0,104000.0,1.0,1040.4632346683102,1097.1548191891786,-0.3565863546684559,-0.5137577909540771,-1.0248494626846236,0.6424203382585638,0.7241201166181582,1
27053000101,2018,2,201663000.0,137000.0,0.8563559322033898,1029.5408780159946,1092.5790332349125,-0.38856980135267816,-0.38004243991534165,-0.677121824192048,0.6231559435530865,0.7159445859363797,2
27053000101,2019,1,220227900.0,151500.0,0.8563651591289783,1036.75101992171,1095.3476291390884,-0.3992309502474189,-0.34023416590767286,-0.5243324072786435,0.6358728895360539,0.7208912204569332,3
27053000102,2011,5,204521700.0,99500.0,1.0,1409.3798279701412,1467.1203892121114,-0.3565863546684559,-0.3739125974219416,-1.0722668679336114,1.2930999574101558,1.3851354917154466,0
27053000102,2012,2,197485000.0,98000.0,1.0,1411.332385625142,1467.687425438641,-0.38856980135267816,-0.3890012260549945,-1.0880726696832739,1.2965437967342603,1.3861486121091902,4
27053000102,2013,10,177764200.0,87500.0,1.0,1411.332385625142,1467.687425438641,-0.30328061019475216,-0.4312880689709506,-1.1987132819309116,1.2965437967342603,1.3861486121091902,1
27053000102,2014,2,172104300.0,83500.0,1.0,1409.3798279701412,1467.0864944983236,-0.38856980135267816,-0.4434244580738278,-1.2408620865966784,1.2930999574101558,1.3850749322235272,5
27053000102,2015,8,173905800.0,83000.0,0.9691451694486596,1409.3798279701412,1467.0864944983236,-0.3246029079842337,-0.4395615444236161,-1.2461306871798992,1.2930999574101558,1.3850749322235272,6
27053000102,2016,9,201071000.0,98500.0,0.9683704453441295,1409.499466257361,1466.155423970373,-0.3139417590894929,-0.3813118514506874,-1.0828040691000531,1.2933109704049022,1.3834113938184882,7
27053000102,2017,24,215506100.0,105000.0,0.9686244979919679,1411.2751985723394,1465.7543140511025,-0.15402452566838173,-0.35035900946780035,-1.014312261518182,1.2964429326082936,1.382694733012118,8
27053000102,2018,26,242185900.0,119500.0,0.9677077818951826,1396.2780342962376,1462.4027170880813,-0.13270222787890024,-0.29315014818280544,-0.8615228446047776,1.269991563066496,1.3767064538229246,2
27053000102,2019,11,279159300.0,135500.0,0.9681609780947529,1412.4289733477392,1467.9784059633366,-0.29261946130001143,-0.2138689649717382,-0.6929276259417105,1.2984779121811143,1.3866685053540284,3
27053000102,2020,1,314838800.0,151500.0,0.967866323907455,1407.7876820435974,1465.6371181951247,-0.3992309502474189,-0.13736226079037345,-0.5243324072786435,1.290291797181186,1.3824853398442773,9
27053000300,2011,1,188670600.0,135000.0,1.0,484.49612090070775,499.64883683580825,-0.3992309502474189,-0.40790173456369616,-0.6981962265249314,-0.33817114614544763,-0.34344041617332494,0
27053000300,2012,1,184728700.0,133000.0,1.0,484.49612090070775,499.64883683580825,-0.3992309502474189,-0.41635425708258017,-0.7192706288578148,-0.33817114614544763,-0.34344041617332494,4
27053000300,2013,2,172321100.0,124000.0,1.0,484.49612090070775,499.64883683580825,-0.38856980135267816,-0.4429595789845323,-0.8141054393557899,-0.33817114614544763,-0.34344041617332494,1
27053000300,2014,1,174388400.0,126000.0,1.0,484.49612090070775,499.64883683580825,-0.3992309502474189,-0.43852671670916027,-0.7930310370229066,-0.33817114614544763,-0.34344041617332494,5
27053000300,2015,1,178627300.0,129500.0,0.6066666666666667,484.49612090070775,499.64883683580825,-0.3992309502474189,-0.42943734414636126,-0.7561508329403607,-0.33817114614544763,-0.34344041617332494,6
27053000300,2016,1,198482000.0,140500.0,0.6066666666666667,484.49612090070775,499.64883683580825,-0.3992309502474189,-0.3868633826415828,-0.640241620109502,-0.33817114614544763,-0.34344041617332494,7
27053000300,2017,1,208346700.0,147750.0,0.6066666666666667,484.8903547707433,500.1615503484841,-0.3992309502474189,-0.36571074079576354,-0.5638469116527999,-0.3374758129751082,-0.3425243538627757,8
27053000300,2018,2,237906100.0,170000.0,0.6045727136431784,483.0123305673705,497.89749435434044,-0.38856980135267816,-0.30232722164390785,-0.32939418569947226,-0.3407881933223058,-0.3465695298020324,2
27053000300,2019,1,264919900.0,187500.0,0.6066666666666667,484.8903547707433,500.16155060130274,-0.3992309502474189,-0.24440217209403886,-0.1449931652867427,-0.3374758129751082,-0.3425243534110661,3
27053000300,2020,1,283680800.0,201250.0,0.6066666666666667,484.8903547707433,500.16155060130274,-0.3992309502474189,-0.204173619942911,-0.00010664924816947729,-0.3374758129751082,-0.3425243534110661,9
27053000601,2011,2,331274900.0,160000.0,1.0,609.5643002991992,599.508949671386,-0.38856980135267816,-0.10211872204696815,-0.43476619736388916,-0.11758113524178378,-0.16502092178854944,0
27053000601,2013,1,305401200.0,148000.0,1.0,611.3061430819166,599.5940888173808,-0.3992309502474189,-0.15759908225317557,-0.5612126113611894,-0.11450894597445735,-0.16486880416170713,1
27053000601,2014,11,300150500.0,145000.0,1.0,612.2806951500256,599.608012789635,-0.29261946130001143,-0.16885803351776985,-0.5928242148605145,-0.11279007189821932,-0.16484392627984934,5
27053000601,2016,5,354274500.0,166000.0,0.6758793969849246,609.4811098630167,590.3704412223726,-0.3565863546684559,-0.0528012261882897,-0.371542990365239,-0.11772786304507338,-0.18134864274344759,7
27053000601,2017,7,392579500.0,180000.0,0.676737160120846,623.205101219747,591.8550760629196,-0.3352640568789744,0.029335275266808538,-0.22402217403505537,-0.0935220625162505,-0.17869605413649745,8
27053000601,2018,4,433072850.0,202500.0,0.6744245524296675,602.4795596838114,589.6016202099264,-0.36724750356319663,0.11616420363638959,0.013064852209882634,-0.13007690368675778,-0.182722290863983,2
27053000601,2019,2,483524200.0,215500.0,0.6771673387096774,625.1089866271939,591.85941368305,-0.38856980135267816,0.22434583482518142,0.1500484673736246,-0.09016406926162818,-0.17868830413533557,3
27053000601,2020,2,520494800.0,234500.0,0.6771673387096774,625.1089866271939,591.85941368305,-0.38856980135267816,0.30362101406277064,0.3502552895360167,-0.09016406926162818,-0.17868830413533557,9
27053000603,2012,1,234088000.0,178000.0,1.0,1771.6546366484902,1733.2432994904998,-0.3992309502474189,-0.3105142827640152,-0.24509657636793875,1.9320650753228235,1.8606157785668604,4
27053000603,2013,1,215751900.0,164500.0,1.0,1771.6546366484902,1733.2432994904998,-0.3992309502474189,-0.3498319463674828,-0.38734879211490153,1.9320650753228235,1.8606157785668604,1
27053000603,2014,1,213662100.0,163500.0,1.0,1771.6546366484902,1733.2509318730706,-0.3992309502474189,-0.3543130548583029,-0.3978859932813432,1.9320650753228235,1.8606294153012939,5
27053000603,2016,2,246128600.0,187500.0,1.0,1771.6848238578664,1733.7708283626114,-0.38856980135267816,-0.28469591024292773,-0.1449931652867427,1.932118318257017,1.8615583113956635,7
27053000603,2017,1,265713400.0,202250.0,1.0,1771.6848238578664,1733.7708283626114,-0.3992309502474189,-0.24270068889590232,0.010430551918272211,1.932118318257017,1.8615583113956635,8
27053000603,2018,3,306496000.0,234500.0,1.0,1771.532802796588,1733.9014794336406,-0.3779086524579374,-0.15525152862328281,0.3502552895360167,1.9318501898831468,1.8617917449195396,2
27053000603,2019,1,317180400.0,241500.0,1.0,1771.6848238578664,1733.7708284688633,-0.3992309502474189,-0.13234122354178296,0.4240156977011085,1.932118318257017,1.8615583115855032,3
27053001100,2012,3,118641100.0,155750.0,1.0,575.3036189181521,554.5598740205805,-0.3779086524579374,-0.5580643276625031,-0.4795493023212663,-0.17800868856317875,-0.24533117903695173,4
27053001100,2013,19,111701400.0,146250.0,1.0,575.3036189181521,555.101825381891,-0.20733027014208547,-0.5729449615000686,-0.5796527134024624,-0.17800868856317875,-0.24436287762890746,1
27053001100,2016,5,131322800.0,171000.0,0.6602739726027397,574.2189502883929,552.5357454264342,-0.3565863546684559,-0.530871259642581,-0.3188569845330306,-0.1799217816138347,-0.24894767805825752,7
27053001100,2017,3,143625500.0,189000.0,0.6648275862068965,574.6638107065163,556.2447493935416,-0.3779086524579374,-0.504490872318429,-0.12918736353708016,-0.17913715546067238,-0.24232082181214024,8
27053001700,2014,5,105261700.0,131500.0,1.0,1703.0165208961253,1765.0082877294612,-0.3565863546684559,-0.586753457216565,-0.7350764306074773,1.8110040446510698,1.9173701019879197,5
27053001700,2015,3,112444000.0,143500.0,1.0,310.8635027783107,304.4783740970264,-0.3779086524579374,-0.5713526219626569,-0.608630016610177,-0.6444170778369522,-0.6921503694459777,6
27053001700,2016,18,123911200.0,158000.0,0.40285714285714286,309.79760105798744,301.94651213996946,-0.2179914190368262,-0.5467637774388113,-0.45584059969677254,-0.6462970705996132,-0.6966740327726348,7
27053001700,2017,5,131819700.0,170250.0,0.40285714285714286,309.79760105798744,301.94199337255253,-0.3565863546684559,-0.5298057687778626,-0.3267598854078618,-0.6462970705996132,-0.6966821064286209,8
