GeoFIPS,GeoNameALT,total_obligated_amount
13135,"Gwinnett, GA",50000.0
13137,"Habersham, GA",647500.0
13139,"Hall, GA",179189.0
13157,"Jackson, GA",920000.0
13179,"Liberty, GA",823000.0
13185,"Lowndes, GA",189000.0
13205,"Mitchell, GA",189000.0
13215,"Muscogee, GA",489000.0
13241,"Rabun, GA",1097091.0
13245,"Richmond, GA",179189.0
13255,"Spalding, GA",10000.0
13299,"Ware, GA",3780045.0
13309,"Wheeler, GA",2000000.0
15001,"Hawai'I, HI",37443156.0
15001,"Hawaii, HI",397722.0
15003,"Hawaii, HI",77240.0
15003,"Honolulu, HI",1571818745.0
15003,"Maui, HI",64928.0
15009,"Maui, HI",343996.0
16001,"Ada, ID",15130035.0
16001,"Boise, ID",5410293.0
16005,"Bannock, ID",595404.0
16009,"Benewah, ID",788515.0
16017,"Bonner, ID",35706.0
16027,"Canyon, ID",100000.0
16047,"Gooding, ID",66535.0
16055,"Kootenai, ID",248189.0
16057,"Latah, ID",2505623.0
16065,"Madison, ID",419189.0
16069,"Bannock, ID",484856.0
16069,"Nez Perce, ID",2340896.0
16083,"Twin Falls, ID",237189.0
17001,"Adams, IL",64628.0
17011,"Bureau, IL",867993.0
17019,"Champaign, IL",46598145.0
17031,"Cook, IL",81218260.0
17031,"Dupage, IL",1080500.0
17033,"Crawford, IL",1493000.0
17037,"Dekalb, IL",57978190.0
17043,"Dupage, IL",580526.0
17055,"Franklin, IL",1808422.0
17077,"Jackson, IL",6677639.0
17095,"Knox, IL",1219552.0
17101,"Lawrence, IL",1776846.0
17109,"Mcdonough, IL",178318.0
17117,"Macoupin, IL",191073.0
17119,"Madison, IL",663654.0
17121,"Marion, IL",187073.0
17143,"Peoria, IL",70888376.0
17153,"Pulaski, IL",717073.0
17161,"Rock Island, IL",990073.0
17165,"Saline, IL",31712326.0
17167,"Sangamon, IL",61895282.0
17183,"Vermilion, IL",3000000.0
17195,"Whiteside, IL",61628.0
18003,"Allen, IN",216000.0
18019,"Clark, IN",154884.0
18035,"Delaware, IN",50000.0
18037,"Dubois, IN",2416524.0
18043,"Floyd, IN",1735050.0
18065,"Henry, IN",179189.0
18085,"Kosciusko, IN",2100000.0
18087,"Lagrange, IN",1230150.0
18095,"Madison, IN",1487108.0
18097,"Marion, IN",17267360.0
18101,"Martin, IN",6839573.0
18103,"Miami, IN",3150000.0
18105,"Monroe, IN",4224824.43
18113,"Noble, IN",841448.0
18137,"Ripley, IN",184884.0
18141,"Saint Joseph, IN",3823004.0
18141,"St. Joseph, IN",532994.0
18157,"Tippecanoe, IN",17008861.0
18163,"Vanderburgh, IN",231482.0
18165,"Vermillion, IN",774045.0
18167,"Vigo, IN",184884.0
18181,"White, IN",2626248.0
19005,"Allamakee, IA",383000.0
19013,"Black Hawk, IA",12692315.0
19017,"Bremer, IA",3167923.0
19027,"Carroll, IA",244000.0
19029,"Cass, IA",205000.0
19031,"Johnson, IA",292000.0
19033,"Cerro Gordo, IA",183000.0
19039,"Clarke, IA",214732.0
19041,"Clay, IA",258000.0
19057,"Des Moines, IA",994000.0
19061,"Dubuque, IA",1686000.0
19103,"Johnson, IA",25000000.0
19113,"Linn, IA",40682440.0
19115,"Louisa, IA",12915500.0
19127,"Marshall, IA",180000.0
19145,"Page, IA",232500.0
19153,"Polk, IA",54039894.0
19155,"Pottawattamie, IA",100000.0
19163,"Scott, IA",6779435.0
19169,"Story, IA",35520000.0
19175,"Union, IA",189000.0
19179,"Wapello, IA",1698000.0
19187,"Webster, IA",244000.0
19193,"Woodbury, IA",211000.0
20045,"Douglas, KS",12811677.0
20055,"Finney, KS",376542.0
20057,"Ford, KS",183000.0
20065,"Graham, KS",186000.0
20079,"Harvey, KS",2432000.0
20091,"Johnson, KS",500000.0
20123,"Mitchell, KS",183000.0
20133,"Neosho, KS",183000.0
20149,"Riley, KS",194330.0
20161,"Riley, KS",791650.0
20173,"Sedgwick, KS",189000.0
20177,"Shawnee, KS",11791533.0
20205,"Wilson, KS",1498586.0
21015,"Boone, KY",17565.0
21067,"Fayette, KY",20370993.0
21071,"Floyd, KY",12000.0
21073,"Franklin, KY",13237260.0
21081,"Grant, KY",535308.0
21087,"Green, KY",1050000.0
21101,"Henderson, KY",450000.0
21111,"Jefferson, KY",743741.0
21133,"Letcher, KY",59899.0
21177,"Muhlenberg, KY",1087000.0
21199,"Pulaski, KY",1998000.0
21227,"Warren, KY",64990258.0
21231,"Wayne, KY",1500000.0
22015,"Caddo, LA",1380513.0
22017,"Caddo, LA",180000.0
22019,"Calcasieu, LA",180000.0
22033,"East Baton Rouge Pari, LA",80596415.0
22033,"East Baton Rouge, LA",111471256.0
22055,"Lafayette, LA",9164995.0
22057,"Lafourche, LA",2497854.0
22061,"Lincoln, LA",338550.0
22067,"Morehouse, LA",1800000.0
22071,"Orleans, LA",7395143.0
22073,"Ouachita, LA",9343384.0
22079,"Rapides, LA",2180000.0
22087,"Saint Bernard, LA",200000.0
22101,"Saint Mary, LA",1750000.0
22109,"Terrebonne, LA",3097090.0
23001,"Androscoggin, ME",222099.0
23003,"Aroostook, ME",2232900.0
23005,"Cumberland, ME",27218942.0
23009,"Hancock, ME",347526.0
23011,"Kennebec, ME",71766689.0
23015,"Lincoln, ME",9145710.0
23019,"Penobscot, ME",59771178.0
23023,"Sagadahoc, ME",204000.0
23025,"Somerset, ME",210000.0
23029,"Washington, ME",4823283.0
23031,"York, ME",1540129.0
24001,"Allegany, MD",210000.0
24003,"Anne Arundel, MD",131485840.0
24005,"Baltimore, MD",951351.0
24013,"Carroll, MD",252200.0
24019,"Dorchester, MD",59001826.0
24021,"Frederick, MD",300000.0
24027,"Howard, MD",770000.0
24031,"Montgomery, MD",40703884.0
24033,"Baltimore, MD",444751.0
24033,"Prince George'S, MD",3125207728.26
24033,"Prince George, MD",8206917.0
24033,"Prince Georges, MD",35862832.01
24035,"Queen Anne'S, MD",249750.0
24039,"Somerset, MD",11924910.0
24041,"Talbot, MD",260000.0
24045,"Wicomico, MD",4695551.0
24047,"Worcester, MD",339000.0
24510,"Baltimore (City), MD",4163504.0
24510,"Baltimore City, MD",30000.0
24510,"Baltimore County, MD",1497464.0
24510,"Baltimore, MD",9728842.0
24510,"Usa, MD",147142.0
25001,"Barnstable, MA",1536113761.0
25003,"Berkshire, MA",60000.0
25005,"Bristol, MA",6515887.0
25009,"Essex, MA",61201002.0
25011,"Franklin, MA",474235.0
25013,"Hampden, MA",740000.0
25015,"Hampshire, MA",1632455.0
25017,"Cambridge, MA",1438775.0
25017,"Middlesex, MA",84206837.82
25021,"Norfolk County, MA",288580.0
25021,"Norfolk, MA",4844412.0
25023,"Plymouth, MA",434850.0
25025,"Suffolk, MA",28496385.0
25027,"Howard, MA",210000.0
25027,"Middlesex, MA",7096860.0
25027,"Worcester, MA",61062018.0
26017,"Ingham, MI",883891.0
26021,"Berrien, MI",1107643.0
26029,"Charlevoix, MI",50000.0
26033,"Chippewa, MI",5008219.0
26037,"Clinton, MI",1157548.0
26041,"Delta, MI",190073.0
26053,"Wayne, MI",34473640.0
26055,"Grand Traverse, MI",61628.0
26061,"Houghton, MI",257073.0
26065,"Ingham, MI",21835728.0
26077,"Kalamazoo, MI",59110.0
26081,"Kent, MI",1862419.0
26099,"Macomb, MI",1644613.0
26121,"Muskegon, MI",187073.0
26125,"Oakland, MI",450000.0
26137,"Otsego, MI",184073.0
26139,"Ottawa, MI",1200000.0
26145,"Saginaw, MI",187884.0
26147,"Saint Clair, MI",816322.0
26159,"Van Buren, MI",5646473.0
26161,"Washtenaw, MI",498616892.0
26163,"Wayne, MI",3085740.0
27005,"Becker, MN",466389.0
27007,"Beltrami, MN",163884.0
27013,"Blue Earth, MN",61628.0
27019,"Carver, MN",5995600.0
27021,"Cass, MN",395174.0
27037,"Rice, MN",43729.0
27053,"Hennepin, MN",60051667.0
27061,"Itasca, MN",8443041.0
27065,"Kanabec, MN",178073.0
27067,"Kandiyohi, MN",315317.0
27071,"Koochiching, MN",180000.0
27075,"Lake, MN",928412.0
27077,"Lake Of The Woods, MN",120000.0
27089,"Marshall, MN",184884.0
27099,"Mower, MN",5000000.0
27101,"Murray, MN",193884.0
27105,"Nobles, MN",779886.0
27109,"Monroe, MN",1496654.0
27111,"Otter Tail, MN",64628.0
27115,"Pine, MN",1798200.0
27119,"Polk, MN",425000.0
27123,"Ramsey, MN",1836736.0
27135,"Roseau, MN",100000.0
27137,"Ramsey, MN",97250.0
27137,"Saint Louis, MN",2315793.0
27147,"Steele, MN",50000.0
27151,"Swift, MN",394073.0
27153,"Todd, MN",61615.0
28001,"Adams, MS",189000.0
28007,"Attala, MS",1100000.0
28033,"De Soto, MS",150000.0
28035,"Forrest, MS",113811323.0
28041,"Hinds, MS",70055000.0
28047,"Harrison, MS",7740824.0
28049,"Hinds, MS",39466996.0
28059,"Jackson, MS",125084555.0
28071,"Lafayette, MS",58318041.0
28077,"Lawrence, MS",345180.0
28087,"Lowndes, MS",1200000.0
28089,"Madison, MS",15212591.0
28097,"Montgomery, MS",189189.0
28099,"Neshoba, MS",303500.0
28101,"Newton, MS",189189.0
28105,"Oktibbeha, MS",408840290.0
28113,"Pike, MS",4800000.0
28115,"Pontotoc, MS",189000.0
28117,"Prentiss, MS",189189.0
28121,"Rankin, MS",862747.0
28143,"Tunica, MS",1900000.0
28151,"Washington, MS",179189.0
29019,"Boone, MO",49945004.0
29021,"Buchanan, MO",183000.0
29023,"Butler, MO",268000.0
29027,"Cole, MO",6458830.0
29029,"Camden, MO",156000.0
29031,"Cape Girardeau, MO",50659.0
29037,"Jackson, MO",241307.0
29043,"Greene, MO",216626.0
29051,"Cole, MO",4906831.0
29079,"Grundy, MO",183000.0
29083,"Henry, MO",183000.0
29091,"Howell, MO",686000.0
29095,"Jackson, MO",4259754.0
29097,"Jasper, MO",117000.0
29107,"Lafayette, MO",180000.0
29137,"Monroe, MO",680000.0
29147,"Nodaway, MO",183000.0
29157,"Perry, MO",195000.0
29161,"Phelps, MO",49971347.0
29173,"Ralls, MO",183000.0
29189,"Saint Louis, MO",6175000.0
29199,"Scotland, MO",186000.0
29207,"Stoddard, MO",186000.0
29219,"Warren, MO",183000.0
29225,"Webster, MO",26600000.0
29510,"Saint Louis City, MO",1600000.0
29510,"St. Louis, MO",493632.0
30003,"Big Horn, MT",145500.0
30005,"Blaine, MT",145500.0
30009,"Carbon, MT",186000.0
30013,"Cascade, MT",50000.0
30025,"Fallon, MT",800000.0
30027,"Fergus, MT",183000.0
30029,"Flathead, MT",1187302.0
30031,"Gallatin, MT",10376032.0
30035,"Glacier, MT",145500.0
30041,"Hill, MT",334500.0
30047,"Lake, MT",13942140.0
30049,"Lewis And Clark, MT",9676007.0
30053,"Lincoln, MT",634130.0
30063,"Missoula, MT",1409118.0
30065,"Musselshell, MT",1112233.0
30083,"Richland, MT",180000.0
30085,"Roosevelt, MT",328500.0
30087,"Rosebud, MT",292000.0
30089,"Sanders, MT",34035.0
30093,"Silver Bow, MT",183000.0
31003,"Lancaster, NE",2416403.0
31019,"Buffalo, NE",1500000.0
31055,"Douglas, NE",581846.0
31089,"Holt, NE",183000.0
31101,"Keith, NE",221125.0
31109,"Lancaster, NE",36929845.0
31119,"Madison, NE",427560.0
31137,"Phelps, NE",180000.0
31151,"Saline, NE",1000000.0
31157,"Scotts Bluff, NE",183000.0
32003,"Clark, NV",18780525.0
32005,"Douglas, NV",40000.0
32011,"Eureka, NV",40000.0
32019,"Lyon, NV",745005.0
32023,"Nye, NV",55609.0
32027,"Pershing County, NV",35300.0
32031,"Washoe, NV",39678282.0
32510,"Carson City, NV",1067234.0
33007,"Coos, NH",2397870.0
33009,"Grafton, NH",6109812.0
33013,"Merrimack, NH",15051128.0
33015,"Rockingham, NH",2477999.0
33017,"Strafford, NH",161150684.0
34011,"Cumberland, NJ",210000.0
34013,"Essex, NJ",855849.0
34015,"Gloucester, NJ",1541200.0
34017,"Hudson, NJ",3420000.0
34021,"Mercer, NJ",110441282.0
34023,"Middlesex, NJ",12660405.34
34025,"Monmouth, NJ",13373041.0
34027,"Morris, NJ",15619190.0
34029,"Ocean, NJ",1998000.0
34039,"Union, NJ",750000.0
35001,"Bernalillo, NM",24084731.46
35001,"Bernallio, NM",669184.0
35005,"Chaves, NM",180000.0
35006,"Cibola, NM",174803.0
35009,"Curry, NM",27892881.0
35013,"Dona Ana, NM",2260977.0
35015,"Eddy, NM",1325000.0
35017,"Grant, NM",340189.0
35025,"Lea, NM",1000000.0
35027,"Lincoln, NM",2900000.0
35031,"Mckinley, NM",585196.0
35039,"Rio Arriba, NM",338550.0
35043,"Sandoval, NM",1000000.0
35049,"Santa Fe, NM",64478286.0
35051,"Sierra, NM",180000.0
35053,"Socorro, NM",77287.0
36001,"Albany, NY",96239058.0
36001,"New York, NY",3444770.0
36003,"Allegany, NY",63000.0
36005,"Bronx, NY",3895216.0
36005,"Kings, NY",59624.0
36005,"New York, NY",117221746.0
36007,"Broome, NY",6779258.0
36009,"Cattaraugus, NY",342500.0
36017,"Chenango, NY",225000.0
36019,"Clinton, NY",301000.0
36029,"Erie, NY",513350.0
36033,"Franklin, NY",712969.0
36043,"Herkimer, NY",222000.0
36045,"Jefferson, NY",154794.0
36047,"Kings, NY",5654750.0
36055,"Monroe, NY",13646916.0
36061,"New York, NY",106846482.0
