year,value,GeoFIPS
1990,7.191666666666666,11500
1990,6.125,12220
1990,6.158333333333334,11260
1990,10.875,12540
1990,7.1000000000000005,10500
1990,5.708333333333333,12020
1990,4.908333333333333,12060
1990,5.016666666666667,12260
1990,3.775,11180
1990,6.033333333333334,10780
1990,5.633333333333333,12940
1990,4.758333333333334,12580
1990,4.825,11460
1990,7.2749999999999995,12980
1990,6.208333333333333,12100
1990,5.608333333333333,10740
1990,3.5416666666666665,10580
1990,3.2416666666666667,11700
1990,5.283333333333333,10420
1990,7.416666666666667,10540
1990,5.3,10900
1990,7.425,11020
1990,5.966666666666666,10180
1990,4.891666666666667,11100
1990,4.8999999999999995,12420
1990,3.908333333333333,11540
1991,7.6499999999999995,11500
1991,5.941666666666666,12220
1991,7.308333333333334,11260
1991,12.316666666666668,12540
1991,6.308333333333334,10500
1991,4.258333333333334,12020
1991,5.008333333333334,12060
1991,5.591666666666666,12260
1991,3.9583333333333335,11180
1991,6.908333333333334,10780
1991,6.283333333333334,12940
1991,6.658333333333334,12580
1991,5.741666666666667,11460
1991,7.566666666666666,12980
1991,8.908333333333333,12100
1991,5.908333333333334,10740
1991,5.4750000000000005,10580
1991,5.066666666666667,11700
1991,6.041666666666667,10420
1991,8.383333333333333,10540
1991,6.541666666666667,10900
1991,9.241666666666667,11020
1991,5.291666666666667,10180
1991,4.741666666666666,11100
1991,4.5,12420
1991,4.333333333333333,11540
1992,8.858333333333333,11500
1992,5.583333333333333,12220
1992,7.916666666666667,11260
1992,15.791666666666666,12540
1992,9.216666666666667,10500
1992,4.9750000000000005,12020
1992,6.158333333333334,12060
1992,7.266666666666667,12260
1992,3.6166666666666667,11180
1992,6.675,10780
1992,5.566666666666666,12940
1992,7.3500000000000005,12580
1992,4.983333333333333,11460
1992,7.366666666666667,12980
1992,10.4,12100
1992,5.333333333333333,10740
1992,5.925,10580
1992,5.691666666666666,11700
1992,7.075,10420
1992,9.608333333333333,10540
1992,7.483333333333333,10900
1992,8.875,11020
1992,5.541666666666667,10180
1992,4.958333333333333,11100
1992,4.2250000000000005,12420
1992,4.0,11540
1993,8.6,11500
1993,5.816666666666666,12220
1993,6.716666666666666,11260
1993,15.85,12540
1993,8.375,10500
1993,4.041666666666667,12020
1993,5.258333333333334,12060
1993,7.283333333333334,12260
1993,3.158333333333333,11180
1993,5.95,10780
1993,6.1000000000000005,12940
1993,6.791666666666667,12580
1993,4.216666666666667,11460
1993,6.5,12980
1993,9.758333333333333,12100
1993,6.483333333333333,10740
1993,4.883333333333334,10580
1993,4.6000000000000005,11700
1993,6.2,10420
1993,9.158333333333333,10540
1993,6.566666666666666,10900
1993,7.1499999999999995,11020
1993,5.383333333333333,10180
1993,4.408333333333333,11100
1993,3.658333333333333,12420
1993,3.466666666666667,11540
1994,7.825,11500
1994,4.258333333333334,12220
1994,6.3,11260
1994,15.25,12540
1994,8.483333333333333,10500
1994,3.641666666666667,12020
1994,4.608333333333333,12060
1994,6.416666666666667,12260
1994,2.9166666666666665,11180
1994,6.808333333333334,10780
1994,6.808333333333334,12940
1994,5.925,12580
1994,3.35,11460
1994,5.766666666666667,12980
1994,8.75,12100
1994,4.641666666666667,10740
1994,4.7,10580
1994,4.175,11700
1994,5.291666666666667,10420
1994,6.8999999999999995,10540
1994,6.05,10900
1994,6.741666666666667,11020
1994,4.9750000000000005,10180
1994,3.591666666666667,11100
1994,3.2583333333333333,12420
1994,3.658333333333333,11540
1995,7.741666666666667,11500
1995,4.208333333333333,12220
1995,6.05,11260
1995,13.799999999999999,12540
1995,6.691666666666666,10500
1995,3.216666666666667,12020
1995,4.233333333333333,12060
1995,6.791666666666667,12260
1995,2.8249999999999997,11180
1995,6.325,10780
1995,5.941666666666666,12940
1995,5.45,12580
1995,2.7583333333333333,11460
1995,5.466666666666666,12980
1995,8.591666666666667,12100
1995,4.358333333333333,10740
1995,4.766666666666667,10580
1995,3.891666666666667,11700
1995,4.708333333333333,10420
1995,5.9750000000000005,10540
1995,5.616666666666667,10900
1995,6.375,11020
1995,4.883333333333334,10180
1995,3.841666666666667,11100
1995,2.9333333333333336,12420
1995,3.275,11540
1996,6.2250000000000005,11500
1996,3.266666666666667,12220
1996,6.033333333333334,11260
1996,13.1,12540
1996,6.5,10500
1996,3.233333333333333,12020
1996,3.858333333333333,12060
1996,6.9750000000000005,12260
1996,2.725,11180
1996,6.491666666666667,10780
1996,5.55,12940
1996,5.45,12580
1996,2.25,11460
1996,4.608333333333333,12980
1996,8.299999999999999,12100
1996,5.0249999999999995,10740
1996,4.341666666666667,10580
1996,3.5666666666666664,11700
1996,4.941666666666666,10420
1996,6.608333333333333,10540
1996,5.641666666666667,10900
1996,5.933333333333334,11020
1996,4.666666666666667,10180
1996,3.9916666666666667,11100
1996,3.0500000000000003,12420
1996,2.908333333333333,11540
1997,5.4750000000000005,11500
1997,3.6999999999999997,12220
1997,5.791666666666667,11260
1997,12.466666666666667,12540
1997,6.941666666666666,10500
1997,3.016666666666667,12020
1997,3.65,12060
1997,6.483333333333333,12260
1997,2.6,11180
1997,6.066666666666666,10780
1997,5.158333333333333,12940
1997,5.316666666666666,12580
1997,2.058333333333333,11460
1997,4.175,12980
1997,7.6499999999999995,12100
1997,4.458333333333333,10740
1997,4.0,10580
1997,3.0583333333333336,11700
1997,4.641666666666667,10420
1997,6.991666666666667,10540
1997,4.95,10900
1997,5.558333333333334,11020
1997,3.9333333333333336,10180
1997,3.9416666666666664,11100
1997,3.0749999999999997,12420
1997,2.9416666666666664,11540
1998,4.766666666666667,11500
