GeoFIPS,GeoName,Expected_agricultural_loss_rate,Expected_building_loss_rate,Expected_population_loss_rate,Diesel_particulate_matter_exposure,Proximity_to_hazardous_waste_sites,Proximity_to_Risk_Management_Plan_facilities
1001,"Autauga, AL",0.3020545269050198,0.019612152401589023,0.0002574864572047671,0.1914066449981943,0.6817683279162152,0.08797092813289994
1003,"Baldwin, AL",0.45966549358643044,0.021759574777991827,0.00016330263590659213,0.1540580745195696,0.3726756096414979,0.11492336606681389
1005,"Barbour, AL",1.6576054571980603,0.01592874098024526,0.00048494933165096015,0.0812266866448484,0.022191553960805962,0.2798592326800994
1007,"Bibb, AL",0.620460907837994,0.03342355399457609,0.0006,0.1007793535766683,0.2820081803227671,0.03331080780687325
1009,"Blount, AL",0.43672558554810076,0.03389720878625544,0.0005848910386435742,0.13456562819645987,0.17074218546835182,0.08023196546523118
1011,"Bullock, AL",0.0,0.01885245901639344,0.0006,0.06567330210772833,0.34491022638563623,0.4438768540202967
1013,"Butler, AL",1.3206365039338308,0.06086882691143836,0.00046800484163808746,0.11166380875529552,0.01496721807544886,0.022599354448254994
1015,"Calhoun, AL",0.399875255195519,0.03784588808040622,0.0010546964700134357,0.1651949955504371,0.9736017902947182,0.4705754768012005
1017,"Chambers, AL",0.8147453654188949,0.0213890404040404,0.00021119132501485442,0.14134135472370768,0.2744872251931076,0.25786690433749254
1019,"Cherokee, AL",0.38095919391576266,0.030091865807049374,0.0011348067791375517,0.11309732463421225,0.1675350345519824,0.1446840134347373
1021,"Chilton, AL",0.6419188400862558,0.025679609578935423,0.0005336147996822155,0.13255544206106004,0.27156826693905345,0.11463670411985018
1023,"Choctaw, AL",1.3236475125725338,0.1821103984526112,0.0010770135396518375,0.06,0.021641779497098647,0.0663705996131528
1025,"Clarke, AL",0.5907442722148541,0.051880922579575606,0.0003580404509283819,0.07600712864721486,0.018606598143236078,0.22550439323607427
1027,"Clay, AL",0.726821361625553,0.03383778960785784,0.0005999999999999998,0.0845857389217965,0.5804716203044162,0.16253355327284996
1029,"Cleburne, AL",0.6046836417270045,0.04372870072405471,0.0007705752212389381,0.12117591847680344,0.04747720568517029,0.09675315097881469
1031,"Coffee, AL",2.3545594595640895,0.022700801362703728,0.0004484611513297976,0.09813286361348768,0.3338413146993922,0.10108396887460805
1033,"Colbert, AL",0.1024818973544394,0.025919913823008525,0.0006912764053970165,0.16653356703364922,0.4354304285114386,0.46869511237698785
1035,"Conecuh, AL",1.0461137001775054,0.08608340325964176,0.0004,0.08497337421332901,0.022500403421010166,0.07616830724544134
1037,"Coosa, AL",0.8286338105419727,0.01850237054940969,0.00033215580552198564,0.08,0.08929720182206935,0.07
1039,"Covington, AL",1.6618614865591397,0.047322478494623656,0.00042531720430107533,0.07894112903225808,0.2248021505376344,0.16622177419354842
1041,"Crenshaw, AL",1.6440066960416062,0.06662298468650679,0.0005280915920254261,0.06895044784744293,0.02926321872291245,0.13839063854377348
1043,"Cullman, AL",0.4575660422676306,0.034375234451377745,0.0002491955632264372,0.15925699733262524,0.37658889841043774,0.2256514549865424
1045,"Dale, AL",1.647479931814031,0.033898457698317674,0.0004383201087728555,0.09282606489843132,0.5146969174259797,0.27480569028147006
1047,"Dallas, AL",0.3222279700630923,0.02044550307798411,0.00044377634166900814,0.1239648522312192,0.015650974482106825,0.34318526654576115
1049,"DeKalb, AL",0.6425102860748844,0.0168706590940962,0.0006076917683354369,0.12271210208946852,0.1762526994811387,0.2543374000841397
1051,"Elmore, AL",0.570274033816425,0.019089927782707284,0.00020743369811692793,0.1511850537316376,0.2806314699792961,0.16316720891255054
1053,"Escambia, AL",1.3157015516636534,0.05208997760207248,0.0003966726934182475,0.09627951534123108,0.17014707072887714,0.15707099873168362
1055,"Etowah, AL",0.32892997333281426,0.04457178631214232,0.0008781260949118231,0.18727498345466573,0.4354726126055981,0.8175558648343522
1057,"Fayette, AL",0.5640973869285801,0.03643228446707893,0.00037427549411907365,0.08226506608463685,0.23308536437492422,0.024631381108281798
1059,"Franklin, AL",0.13003928049323077,0.03726452679082184,0.0013,0.08691158710989641,0.505306680226276,0.3133604525519609
1061,"Geneva, AL",1.5842967975167506,0.03737314608017564,0.00022126282318204188,0.07736154748835977,0.12073967520914562,0.24302911004277547
1063,"Greene, AL",1.2449237626141278,0.05345126141278232,0.0007209875060067275,0.10852354637193658,0.03826165305141759,0.2372164824603556
1065,"Hale, AL",0.41549390235667494,0.035286568978323996,0.0005639138361807008,0.08920453778107908,0.3325356202309407,0.13163481666554122
1067,"Henry, AL",2.3446642852973794,0.018110161676297205,0.0005607307535166054,0.07849763614078094,0.05267904044825775,0.16670635615478901
1069,"Houston, AL",1.3566998758380928,0.04273883020381655,0.0005432169395044984,0.14435836946763195,0.39339563714160186,1.0550367710263415
1071,"Jackson, AL",0.6871875048214148,0.03611063218390804,0.0008368317519092803,0.11614460387256036,0.18830691198025148,0.23901527424207356
1073,"Jefferson, AL",0.04904043445306815,0.07032185817365996,0.00021067350836769343,0.3728068305845258,1.9491843924326946,0.6600323490177056
1075,"Lamar, AL",1.1221566222542312,0.03612937702556716,0.0009,0.07,0.1830392509902773,0.03281742888008642
1077,"Lauderdale, AL",0.08014595488136911,0.02159729893253814,0.0006992048057392281,0.17749729893253816,0.6506746186092744,0.8401082587838714
1079,"Lawrence, AL",0.10000874221066006,0.02099037146832839,0.0013137394881723033,0.11291003690483392,0.05702341339463972,0.0638940649767076
1081,"Lee, AL",0.0,0.006842003822478157,0.00010706351767275617,0.18104001191421762,0.8401222448371726,0.3750303440230341
