GEO_ID,DP03_0004E,DP03_0005E,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E
0500000US01129,5326,363,5326,218,472,1163,71,539,509,8,180,420,998,227,244,277
0500000US01131,3126,513,3126,251,234,667,15,336,218,10,30,105,631,193,175,261
0500000US01133,9533,488,9533,191,818,2057,172,1356,1085,132,440,442,1576,512,434,318
0500000US02013,2213,105,2213,216,23,1047,0,69,101,10,41,48,215,80,24,339
0500000US02016,3655,145,3655,47,202,1079,47,588,617,33,35,111,231,220,49,396
0500000US02020,144598,8221,144598,3545,7696,3547,2860,15728,14428,2704,6903,15896,34432,15281,7116,14462
0500000US02050,6454,1429,6454,148,196,101,19,623,684,67,126,408,1979,314,210,1579
0500000US02060,443,11,443,11,19,33,2,27,73,17,14,17,85,53,15,77
0500000US02063,3429,127,3429,418,136,254,43,388,381,94,65,341,623,141,143,402
0500000US02066,1090,91,1090,32,109,48,2,127,65,120,26,27,248,81,43,162
0500000US02068,1509,41,1509,95,75,60,12,130,478,3,10,31,89,411,23,92
0500000US02070,1865,268,1865,161,56,5,7,223,149,8,30,68,729,46,82,301
0500000US02090,42297,2839,42297,1752,3460,799,628,4296,3456,1023,1819,3030,11608,4215,1874,4337
0500000US02100,882,34,882,19,157,37,7,85,44,58,20,9,153,148,56,89
0500000US02105,1125,198,1125,115,68,44,5,69,79,2,14,47,235,180,10,257
0500000US02110,16350,872,16350,837,1146,516,155,1090,1237,351,542,1030,3617,1333,497,3999
0500000US02122,24679,2213,24679,2009,2078,903,286,2558,1636,435,911,1506,6528,2319,1268,2242
0500000US02130,6984,347,6984,292,423,352,101,783,784,109,343,484,1643,684,215,771
0500000US02150,6223,380,6223,434,268,1301,139,528,478,27,35,528,1184,420,223,658
0500000US02158,2260,743,2260,176,60,114,5,264,191,49,23,86,714,69,71,438
0500000US02164,437,82,437,25,8,16,0,14,40,0,1,10,161,26,4,132
0500000US02170,44663,3580,44663,2226,5681,1200,946,5005,3435,852,1676,3384,10659,3199,2198,4202
0500000US02180,3643,834,3643,59,107,52,15,297,414,49,51,84,1496,161,157,701
0500000US02185,5767,581,5767,1055,295,432,24,309,733,17,231,502,1037,271,68,793
0500000US02188,2632,491,2632,175,110,18,11,203,298,21,38,92,1021,91,102,452
0500000US02195,1604,79,1604,205,103,177,18,228,97,24,20,137,291,181,48,75
0500000US02198,2668,282,2668,288,149,125,66,258,226,10,53,97,711,209,59,417
0500000US02220,4383,250,4383,330,229,268,38,532,310,56,134,204,1297,373,179,433
0500000US02230,819,121,819,1,54,56,4,90,135,2,7,65,100,170,13,122
0500000US02240,2597,299,2597,334,200,110,0,255,191,23,102,188,558,115,80,441
0500000US02275,776,47,776,68,66,80,3,71,55,5,14,19,173,61,35,126
0500000US02282,312,5,312,55,8,13,19,43,48,2,1,4,35,20,3,61
0500000US02290,2307,339,2307,121,112,125,7,208,285,22,16,58,602,79,110,562
0500000US04001,17888,1776,17888,480,1623,373,54,1534,1378,229,505,638,7356,1500,287,1931
0500000US04003,44293,3375,44293,1351,2875,1770,432,4816,2310,647,1797,5788,9315,3957,1834,7401
0500000US04005,67266,5701,67266,845,4234,5270,727,7958,2907,616,2287,5234,19097,11788,2361,3942
0500000US04007,18822,1489,18822,1614,1563,694,288,2075,908,207,818,1183,4857,2552,600,1463
0500000US04009,13452,848,13452,1546,1391,540,275,1780,574,92,520,820,3013,1425,675,801
0500000US04011,4163,154,4163,1552,314,134,19,336,55,0,142,303,706,266,197,139
0500000US04012,5256,440,5256,526,405,193,132,645,301,43,209,292,864,858,115,673
0500000US04013,2124706,111477,2124706,11346,158370,162236,52104,253381,122443,40269,220741,286428,440851,199995,96207,80335
0500000US04015,75923,6063,75923,835,5937,4190,1127,10027,4902,1138,4509,5832,16751,12368,3668,4639
0500000US04017,33938,3978,33938,805,3047,786,449,4221,1981,331,1195,1619,11443,3700,1324,3037
0500000US04019,457733,30620,457733,4483,28513,30961,8312,53180,22689,7429,26954,57926,118573,48995,22381,27337
0500000US04021,160912,10916,160912,4413,11982,14229,2910,20748,9742,2741,10891,17770,33804,14354,6721,10607
0500000US04023,18540,2029,18540,777,1276,825,1321,2152,2201,306,623,1126,3964,1372,866,1731
0500000US04025,92638,5329,92638,2032,8540,5185,1527,12592,3707,1448,4825,9982,21525,10815,6012,4448
0500000US04027,75261,6920,75261,7443,4563,4009,2497,8614,4223,728,2857,6312,16203,7963,3166,6683
0500000US05001,7762,347,7762,720,434,1823,188,768,459,95,206,306,1760,327,273,403
0500000US05003,7064,374,7064,685,606,1100,26,722,486,50,167,299,1799,498,186,440
0500000US05005,15127,863,15127,217,1064,2687,222,2306,515,107,886,841,4052,833,907,490
0500000US05007,137111,4207,137111,1898,10274,18059,4225,29695,7478,1138,6397,13729,24594,10455,6187,2982
0500000US05009,16263,792,16263,326,1327,1855,247,1690,2208,243,759,1095,3914,1380,761,458
0500000US05011,3993,230,3993,453,346,778,75,306,101,34,219,197,839,361,130,154
0500000US05013,1866,178,1866,166,212,241,0,268,129,16,35,210,343,36,49,161
0500000US05015,11779,497,11779,896,1108,2800,45,1243,448,241,631,573,1788,1119,617,270
0500000US05017,3045,501,3045,286,205,564,127,237,92,26,131,60,682,163,198,274
0500000US05019,9602,365,9602,313,523,1136,135,1121,596,50,316,560,2673,1431,459,289
0500000US05021,6329,433,6329,537,326,865,158,832,341,70,354,268,1625,311,427,215
0500000US05023,9495,640,9495,204,845,1196,160,1217,694,40,550,924,1811,834,552,468
0500000US05025,2992,60,2992,215,137,503,41,285,227,9,174,97,935,39,166,164
0500000US05027,8970,409,8970,439,307,1232,82,1183,854,72,431,526,2518,732,436,158
0500000US05029,9044,646,9044,663,731,1614,204,822,506,118,186,778,2132,498,306,486
0500000US05031,51184,3111,51184,1208,3690,6615,1415,6909,1938,847,2474,3322,14806,3569,2381,2010
0500000US05033,24572,1212,24572,385,1727,4586,514,3267,1724,151,1141,1862,5278,1920,1362,655
0500000US05035,20689,2278,20689,503,1061,2371,853,2672,2175,329,724,1393,4822,1967,1052,767
0500000US05037,7215,648,7215,508,551,639,276,1154,696,68,312,427,1412,493,225,454
0500000US05039,2452,218,2452,80,71,741,5,145,197,7,185,25,553,195,84,164
0500000US05041,4270,258,4270,395,257,522,186,407,200,26,161,230,1066,192,234,394
0500000US05043,7386,191,7386,387,473,879,88,853,209,50,319,480,2363,296,252,737
0500000US05045,58974,1992,58974,777,4497,4462,1338,7374,2824,1346,2900,5356,17462,5729,2505,2404
0500000US05047,6824,370,6824,334,565,1643,90,594,556,42,300,249,1494,384,184,389
0500000US05049,4081,256,4081,152,255,338,98,592,364,11,120,151,1323,288,209,180
0500000US05051,41466,2726,41466,572,3668,2882,955,5832,1054,811,2258,4004,9403,5291,2970,1766
0500000US05053,7642,272,7642,350,658,1070,192,572,659,50,333,580,1816,480,471,411
0500000US05055,19783,1584,19783,703,1834,3929,277,2493,1147,128,648,1003,5673,827,642,479
0500000US05057,8070,411,8070,667,482,1802,114,669,480,14,266,245,2044,637,369,281
0500000US05059,12515,735,12515,195,1027,1458,235,1860,541,98,492,1082,3040,1198,752,537
0500000US05061,5600,341,5600,508,204,1902,56,348,244,158,65,118,1241,413,156,187
0500000US05063,16176,930,16176,272,1209,3344,331,1606,1035,115,630,548,3996,1380,1123,587
0500000US05065,4429,326,4429,276,205,764,40,308,156,53,155,294,1282,333,166,397
0500000US05067,5921,678,5921,496,354,890,130,956,280,7,146,183,1289,577,230,383
0500000US05069,25161,2590,25161,475,915,4390,563,2690,1467,151,1087,1216,6584,1646,1343,2634
0500000US05071,10535,419,10535,391,690,2675,57,1538,616,62,320,340,2107,724,612,403
0500000US05073,2254,195,2254,317,229,296,4,309,88,0,69,123,521,46,67,185
0500000US05075,6558,512,6558,442,457,977,136,809,621,28,248,282,1545,434,292,287
0500000US05077,2557,425,2557,320,128,224,38,308,116,0,103,105,475,323,143,274
0500000US05079,3385,110,3385,170,210,514,38,324,193,89,169,113,885,113,249,318
0500000US05081,4992,460,4992,145,417,900,80,608,248,0,221,205,1438,270,218,242
0500000US05083,9118,463,9118,540,374,2079,48,1190,519,103,231,518,2230,503,437,346
0500000US05085,33081,1797,33081,768,2617,2385,1128,4198,3241,517,2288,2098,7731,2281,1309,2520
0500000US05087,6621,358,6621,292,678,1249,79,921,503,127,205,369,1275,296,335,292
0500000US05089,5728,481,5728,94,348,1466,61,799,234,177,258,416,1158,234,239,244
0500000US05091,16620,1352,16620,204,1015,2705,576,2034,1208,167,801,1034,3688,1263,617,1308
0500000US05093,17443,1846,17443,837,868,4790,273,1992,772,392,661,591,3812,1230,625,600
0500000US05095,2524,290,2524,197,128,423,87,288,246,0,102,114,503,139,146,151
0500000US05097,3119,298,3119,304,286,325,71,445,199,14,136,245,665,164,145,120
0500000US05099,3138,250,3138,111,182,512,8,246,145,1,81,134,893,540,215,70
0500000US05101,2667,128,2667,107,342,457,1,312,174,7,120,106,558,236,62,185
0500000US05103,8469,567,8469,215,462,2092,268,531,729,45,191,478,2056,432,329,641
0500000US05105,3782,169,3782,215,599,474,48,544,190,49,118,282,730,246,98,189
0500000US05107,5525,997,5525,308,202,715,106,935,355,23,284,336,1488,408,136,229
0500000US05109,4359,166,4359,237,325,737,122,443,247,72,189,202,981,395,229,180
