GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "01011","Bullock, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.536,98.775,97.230,96.127,95.487,99.292,93.241,91.826,103.480,97.144,93.676,100.000,91.725,85.320,83.113,90.667,91.252,95.865,101.822,102.315,96.313
 "01011","Bullock, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",173638,182777,185888,190326,189801,200032,197543,200434,229297,221428,222770,245887,231402,218477,215813,236619,242436,256571,278138,288121,289132
 "01013","Butler, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",435433,450276,468458,492437,487731,485727,515248,499219,468208,541838,568182,553941,563728,560184,578140,567733,583033,607338,616902,595024,652486
 "01013","Butler, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.606,81.286,84.568,88.897,88.047,87.686,93.015,90.121,84.523,97.815,102.571,100.000,101.767,101.127,104.369,102.490,105.252,109.639,111.366,107.416,117.790
 "01013","Butler, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",361054,375748,400967,438589,437524,443467,482942,472172,444228,522607,553095,553941,577971,585892,606919,596834,626868,665386,684345,674532,809234
 "01015","Calhoun, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3487094,3585435,3716295,4032708,4275113,4285067,4400426,4438806,4197841,4366524,4160592,4155626,4026676,3863268,3805848,3845108,3894794,3949243,4139002,4026694,4245199
 "01015","Calhoun, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.913,86.279,89.428,97.042,102.875,103.115,105.891,106.814,101.016,105.075,100.120,100.000,96.897,92.965,91.583,92.528,93.723,95.034,99.600,96.897,102.155
 "01015","Calhoun, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2745813,2876300,3037407,3390264,3691650,3816421,4033011,4144012,4008634,4223549,4091413,4155626,4088275,4010625,4017988,4097634,4233639,4406262,4704311,4637653,5108424
 "01017","Chambers, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",841042,865276,791878,864369,825600,781516,776993,673860,639027,688104,758736,739793,768603,753719,769394,782283,784214,807671,829391,811937,844188
 "01017","Chambers, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",113.686,116.962,107.041,116.839,111.599,105.640,105.029,91.088,86.379,93.013,102.561,100.000,103.894,101.882,104.001,105.744,106.005,109.175,112.111,109.752,114.111
 "01017","Chambers, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",701097,729778,668362,739065,717257,699432,711237,625619,611637,664898,739075,739793,787677,788351,838329,864551,878166,913737,952078,950357,1003863
