GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "13211","Morgan, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.266,85.107,88.061,92.230,95.562,93.393,96.458,92.998,89.097,89.678,88.811,100.000,99.763,106.515,113.839,113.295,118.956,124.999,139.074,138.058,155.557
 "13211","Morgan, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",393855,401365,422641,461309,484295,484923,515867,502970,484926,495813,498916,579944,600161,653698,706847,713598,762116,820321,937983,956460,1131819
 "13213","Murray, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",865236,922395,929476,1027431,1115842,1157524,1220936,1201955,1148248,1075779,1092965,1159984,998724,978051,1097790,1244443,1217327,1140451,1152501,1129604,1256594
 "13213","Murray, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.590,79.518,80.128,88.573,96.195,99.788,105.255,103.618,98.988,92.741,94.222,100.000,86.098,84.316,94.638,107.281,104.943,98.316,99.355,97.381,108.329
 "13213","Murray, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",719063,772691,777390,869124,957922,1024321,1102107,1092310,1098470,1041443,1094973,1159984,1015915,1018306,1159423,1311256,1301509,1244076,1291147,1278671,1543265
 "13215","Muscogee, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",8038138,8382127,8406232,8454006,8605635,8767667,9180898,8923104,8829599,8949269,9133911,9297419,9135636,9182354,9223664,9153479,9262047,9298289,9509253,9448994,9674011
 "13215","Muscogee, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.456,90.155,90.415,90.929,92.559,94.302,98.747,95.974,94.968,96.255,98.241,100.000,98.260,98.762,99.207,98.452,99.620,100.009,102.278,101.630,104.051
 "13215","Muscogee, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",6427086,6848456,7005197,7226132,7560664,7932539,8529902,8393388,8384272,8646151,8931868,9297419,9330595,9611285,9884765,10022447,10342655,10715380,11200463,11350479,11926773
 "13217","Newton, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1760708,1842357,1925353,2042641,2174321,2220429,2238361,2245233,2088217,2036324,2108083,2164084,2245292,2262378,2382181,2458216,2545840,2645179,2735436,2672148,2682411
 "13217","Newton, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.360,85.133,88.968,94.388,100.473,102.604,103.432,103.750,96.494,94.096,97.412,100.000,103.753,104.542,110.078,113.592,117.641,122.231,126.402,123.477,123.951
 "13217","Newton, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1391244,1488149,1576496,1702556,1861013,1962103,2030235,2071790,2001643,1957667,2050280,2164084,2302919,2374193,2585677,2719551,2858756,3030760,3221753,3209262,3325071
 "13219","Oconee, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",613709,632777,707128,773164,847210,870160,842479,845336,868958,837558,798344,922932,929385,1027160,1107485,1148581,1193422,1277421,1469922,1485329,1552005
 "13219","Oconee, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.496,68.562,76.617,83.773,91.795,94.282,91.283,91.592,94.152,90.750,86.501,100.000,100.699,111.293,119.996,124.449,129.308,138.409,159.266,160.936,168.160
 "13219","Oconee, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",467824,490904,562347,637929,717920,764591,770381,785956,808160,794342,778862,922932,953309,1075327,1183758,1250481,1326398,1455986,1721725,1771079,1916029
 "13221","Oglethorpe, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",210649,193062,200125,213467,221296,196056,242555,252194,275499,256992,228121,276839,268923,302545,314184,317567,326372,340253,309720,274319,308455
 "13221","Oglethorpe, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.091,69.738,72.290,77.109,79.937,70.819,87.616,91.098,99.516,92.831,82.402,100.000,97.141,109.286,113.490,114.712,117.893,122.907,111.878,99.090,111.421
 "13221","Oglethorpe, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",151634,139729,150637,172227,175621,159454,215942,228886,230796,227839,222717,276839,275103,303755,300098,293097,315596,331516,305862,276016,332573
 "13223","Paulding, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1269069,1360800,1489675,1659017,1808565,1808311,1930249,1903582,1891118,1888187,1889549,2115890,2139958,2162820,2327189,2378468,2486230,2610305,2790141,2816316,3083159
 "13223","Paulding, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.978,64.313,70.404,78.408,85.475,85.463,91.226,89.966,89.377,89.238,89.303,100.000,101.137,102.218,109.986,112.410,117.503,123.367,131.866,133.103,145.715
 "13223","Paulding, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",986859,1085629,1213197,1391511,1566876,1626999,1789428,1791697,1809812,1819608,1843503,2115890,2196002,2272535,2518405,2633257,2807857,3022414,3324008,3457047,3915352
 "13225","Peach, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",757899,765352,739960,700078,692811,754628,721936,772154,699486,731524,720485,689542,692282,756354,761977,797528,790260,793528,836091,830069,860070
 "13225","Peach, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",109.913,110.994,107.312,101.528,100.474,109.439,104.698,111.981,101.442,106.088,104.487,100.000,100.397,109.689,110.505,115.661,114.607,115.080,121.253,120.380,124.731
 "13225","Peach, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",653819,658751,640881,614488,610276,666760,662305,711236,674206,702866,699541,689542,709222,790934,828409,875305,878229,888504,953482,966224,1009827
 "13227","Pickens, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",669614,716007,745366,788205,811967,817206,883791,856068,833367,823721,803514,723122,746442,821980,860531,886766,916070,931141,932519,895961,951082
 "13227","Pickens, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.600,99.016,103.076,109.000,112.286,113.011,122.219,118.385,115.246,113.912,111.117,100.000,103.225,113.671,119.002,122.630,126.683,128.767,128.957,123.902,131.524
 "13227","Pickens, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",505485,552311,590340,647894,694673,731200,816777,805496,788549,791623,784614,723122,761409,853620,910103,954744,1010778,1052743,1081695,1063880,1168415
 "13229","Pierce, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",299934,297206,300282,293260,312183,316400,321548,337226,335017,324155,311747,317001,337056,329481,355829,366831,375015,361399,367175,391752,381869
 "13229","Pierce, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",94.616,93.755,94.726,92.511,98.480,99.810,101.434,106.380,105.683,102.257,98.343,100.000,106.326,103.937,112.249,115.719,118.301,114.006,115.828,123.581,120.463
 "13229","Pierce, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",231541,232899,242413,246998,269501,281529,294604,313110,309215,306436,302436,317001,350016,351749,386110,404151,422798,420790,437777,480710,516742
 "13231","Pike, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",202293,211378,220958,219442,207895,201716,217048,219166,212547,221186,238344,257562,255536,254632,269117,276198,288801,278170,309635,314406,343556
 "13231","Pike, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.541,82.069,85.788,85.200,80.716,78.317,84.270,85.092,82.523,85.877,92.539,100.000,99.213,98.862,104.486,107.236,112.129,108.001,120.218,122.070,133.388
 "13231","Pike, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",154858,165746,177908,182458,178126,180014,200424,205750,203114,213419,232585,257562,261961,268336,292896,307069,327757,322990,369273,383453,426347
 "13233","Polk, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",920959,956876,976223,984868,1014946,1029417,1019952,1028637,975068,960659,974273,992465,970317,1005486,1027637,1072796,1077655,1081105,1156090,1056555,1149302
 "13233","Polk, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.795,96.414,98.363,99.234,102.265,103.723,102.770,103.645,98.247,96.795,98.167,100.000,97.768,101.312,103.544,108.094,108.584,108.931,116.487,106.458,115.803
 "13233","Polk, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",745121,791404,820424,840828,884860,916557,931434,955827,937575,925756,949367,992465,991425,1048386,1102929,1170600,1191793,1213296,1332234,1248307,1389798
 "13235","Pulaski, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",246298,246060,273474,245754,253180,258018,256775,251589,228942,230671,252995,275878,280847,263514,280808,280217,281504,280701,275545,260187,270415
 "13235","Pulaski, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.278,89.192,99.128,89.081,91.772,93.526,93.075,91.195,82.987,83.613,91.705,100.000,101.801,95.518,101.787,101.573,102.039,101.748,99.879,94.312,98.020
 "13235","Pulaski, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",189664,192099,220019,205126,212570,221849,233348,232396,214395,220303,247630,275878,288176,273578,295948,297798,306774,312071,312887,300428,324848
 "13237","Putnam, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",841837,869501,840248,863797,1009415,1052041,1020641,1030552,826388,782781,797325,605978,629132,623125,493335,466269,474452,470029,500909,496076,529927
 "13237","Putnam, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",138.922,143.487,138.660,142.546,166.576,173.610,168.429,170.064,136.373,129.176,131.576,100.000,103.821,102.830,81.411,76.945,78.295,77.565,82.661,81.864,87.450
 "13237","Putnam, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",681632,695495,697299,742299,897019,977961,960500,972799,827358,777523,794999,605978,649336,670517,541571,521877,543625,555403,605456,617197,695518
 "13239","Quitman, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",36006,44970,47466,37619,41174,39509,38859,37877,37727,38739,37058,38407,39958,36510,38241,43182,37093,37707,34490,33540,32260
 "13239","Quitman, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.749,117.089,123.587,97.948,107.205,102.869,101.176,98.621,98.229,100.864,96.487,100.000,104.040,95.060,99.568,112.433,96.579,98.178,89.801,87.329,83.995
 "13239","Quitman, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",27777,35300,38113,31247,34931,34322,35206,34880,34476,36272,36163,38407,41034,38154,40937,45140,40150,41906,39443,39375,39550
 "13241","Rabun, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",450933,457092,472079,493793,526027,507982,500679,474773,468370,495952,454575,434995,442678,431885,461573,466894,481025,470975,513125,503162,534464
 "13241","Rabun, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",103.664,105.080,108.525,113.517,120.927,116.779,115.100,109.144,107.672,114.013,104.501,100.000,101.766,99.285,106.110,107.333,110.582,108.271,117.961,115.671,122.867
 "13241","Rabun, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",360858,372474,390484,417386,457260,457684,466831,447882,442710,476336,444222,434995,454215,456532,502678,521613,549254,552519,619559,624274,687508
 "13243","Randolph, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",190849,215970,213807,200802,174617,179733,179404,183572,185586,177462,181672,179435,178340,178344,177757,165498,156625,156206,160093,161977,154061
 "13243","Randolph, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",106.361,120.361,119.155,111.908,97.315,100.166,99.983,102.306,103.428,98.900,101.247,100.000,99.389,99.392,99.065,92.233,87.288,87.055,89.221,90.271,85.859
 "13243","Randolph, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",142423,162689,166889,163242,142956,150601,160515,167753,169740,167107,176297,179435,183834,187836,192916,183719,176485,179585,188954,196121,198566
 "13245","Richmond, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",9637489,9775866,10084017,10223253,10162464,10136161,10348819,10302468,10347155,10411607,10451875,10407022,10472446,10651214,11085587,10994718,10962730,10967563,11023594,10693252,11127651
 "13245","Richmond, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.606,93.935,96.896,98.234,97.650,97.397,99.441,98.995,99.425,100.044,100.431,100.000,100.629,102.346,106.520,105.647,105.340,105.386,105.925,102.750,106.924
 "13245","Richmond, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",7334470,7634894,8059592,8374932,8583625,8852557,9320222,9497018,9838558,10032364,10227238,10407022,10716876,11144653,11887539,11978788,12145283,12442892,12793215,12704433,13676682
 "13247","Rockdale, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3150825,3195640,3183900,3199034,3129042,2969781,2944230,2941755,2901437,3048706,3122863,3128697,3213949,3235341,3477123,3374652,3446292,3509099,3499199,3568782,3863974
 "13247","Rockdale, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",100.707,102.140,101.764,102.248,100.011,94.921,94.104,94.025,92.736,97.443,99.814,100.000,102.725,103.409,111.136,107.861,110.151,112.158,111.842,114.066,123.501
 "13247","Rockdale, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2566746,2638737,2651301,2708705,2719949,2664368,2718076,2769734,2813436,2963622,3055642,3128697,3285708,3369381,3711560,3665180,3796151,3946747,4036196,4198278,4707334
 "13249","Schley, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",106502,114122,111154,114592,127030,136595,145500,148802,141932,135684,129065,115464,109255,100898,99165,94502,97428,103389,103244,101618,102171
 "13249","Schley, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.238,98.837,96.267,99.245,110.017,118.301,126.013,128.873,122.923,117.512,111.779,100.000,94.622,87.385,85.883,81.845,84.380,89.542,89.416,88.009,88.488
 "13249","Schley, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",85558,92215,91833,97489,109406,119271,130706,136027,131311,127497,124263,115464,112798,106480,106948,102943,109117,118400,120447,120725,131506
 "13251","Screven, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",283406,292665,316514,306476,324384,340760,331625,321409,310027,302041,323809,337790,322848,299598,296500,297153,296889,292357,285960,277689,289919
 "13251","Screven, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.900,86.641,93.701,90.730,96.031,100.879,98.175,95.151,91.781,89.417,95.861,100.000,95.577,88.694,87.776,87.970,87.892,86.550,84.656,82.208,85.828
 "13251","Screven, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",217353,226918,251065,252217,269593,289063,296608,291691,283515,281714,316023,337790,331682,314030,321494,330103,333861,337960,341076,339844,366445
 "13253","Seminole, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",233919,231879,233418,205936,215106,227119,217412,235137,258633,245272,287841,293830,294872,261881,256458,250811,255085,255935,276774,282345,267365
 "13253","Seminole, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.610,78.916,79.440,70.087,73.208,77.296,73.993,80.025,88.022,83.474,97.962,100.000,100.355,89.127,87.281,85.359,86.814,87.103,94.195,96.091,90.993
 "13253","Seminole, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",177977,176996,184813,170875,177454,190885,197810,216797,231171,226557,279877,293830,302163,273498,274065,271836,282571,289930,320562,331865,340763
 "13255","Spalding, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1833089,1913114,1917210,1990392,2038851,2038164,2015127,2018188,1958698,1985921,1969597,1914164,1813439,1758065,1833986,1808534,1842658,1840179,1886397,1856349,1970684
 "13255","Spalding, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.764,99.945,100.159,103.982,106.514,106.478,105.274,105.434,102.327,103.749,102.896,100.000,94.738,91.845,95.811,94.482,96.264,96.135,98.549,96.980,102.953
 "13255","Spalding, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1479705,1564471,1576095,1660266,1742187,1796165,1822435,1853894,1858178,1896299,1912977,1914164,1857405,1834835,1967825,1972971,2043392,2091848,2201633,2215724,2441123
 "13257","Stephens, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",814484,797847,795033,786591,814444,790635,818324,814582,789727,819939,781226,749297,766233,826907,859993,813999,825964,831831,860370,847825,911535
 "13257","Stephens, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",108.700,106.479,106.104,104.977,108.694,105.517,109.212,108.713,105.396,109.428,104.261,100.000,102.260,110.358,114.773,108.635,110.232,111.015,114.824,113.150,121.652
 "13257","Stephens, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",651592,645584,651707,659666,699545,700144,747496,755740,759487,790454,761869,749297,784850,858137,909009,868586,893235,913135,970457,981310,1081065
 "13259","Stewart, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",90791,88036,89852,101656,73024,72670,87937,92959,97227,97685,93795,93667,97694,93209,96852,96691,104994,112310,122876,122600,120019
 "13259","Stewart, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.929,93.988,95.927,108.530,77.961,77.583,93.883,99.244,103.801,104.290,100.137,100.000,104.300,99.511,103.401,103.229,112.093,119.903,131.184,130.889,128.134
 "13259","Stewart, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",69374,67993,71945,85685,62946,64062,80973,86967,90902,93434,92092,93667,99839,96960,102264,103078,114036,123716,137825,140556,144204
 "13261","Sumter, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1058717,1028605,1043383,1038419,1040064,1030471,1002896,936506,911179,930235,966834,1005415,1022966,962320,979318,956583,973832,957935,974312,948438,928777
 "13261","Sumter, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",105.302,102.307,103.776,103.283,103.446,102.492,99.750,93.146,90.627,92.522,96.163,100.000,101.746,95.714,97.404,95.143,96.859,95.278,96.907,94.333,92.378
 "13261","Sumter, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",820880,805238,831952,852381,869929,885368,903495,861680,849530,882614,940733,1005415,1043041,995161,1028929,1013676,1052967,1064347,1111333,1101465,1132732
 "13263","Talbot, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",107670,127966,123566,117025,101983,104760,108787,103789,101410,118069,115019,109162,97011,98618,107703,129724,115232,128680,121537,132999,122437
 "13263","Talbot, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",98.633,117.226,113.195,107.203,93.423,95.968,99.657,95.078,92.899,108.159,105.365,100.000,88.869,90.341,98.664,118.836,105.561,117.880,111.337,121.837,112.161
 "13263","Talbot, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",70133,85869,85664,86492,81106,88836,96624,96128,95900,114410,114296,109162,98458,102909,113224,136407,126274,145929,141663,156646,153727
 "13265","Taliaferro, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",23887,23856,25308,24875,26741,38204,40141,37233,27387,26329,25241,22030,24308,28805,31328,30657,28211,28289,31118,25236,27038
 "13265","Taliaferro, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",108.429,108.289,114.878,112.911,121.385,173.416,182.207,169.007,124.313,119.514,114.572,100.000,110.338,130.752,142.204,139.159,128.054,128.408,141.253,114.550,122.733
 "13265","Taliaferro, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",17353,17825,19455,19956,21530,31716,36060,33968,24357,24244,24613,22030,25157,29510,30530,28688,27685,28232,31454,26269,30622
 "13267","Tattnall, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",468899,460962,472676,484710,515514,506298,514010,501221,559164,556195,508029,519411,521007,553576,625024,625071,634162,645521,576376,538352,546290
 "13267","Tattnall, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.275,88.747,91.002,93.319,99.250,97.475,98.960,96.498,107.653,107.082,97.809,100.000,100.307,106.578,120.333,120.342,122.092,124.279,110.967,103.647,105.175
 "13267","Tattnall, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",345122,340666,364775,399137,417204,416967,464286,459280,485402,507108,495565,519411,537396,570300,626021,607769,641361,658820,596041,566767,640365
 "13269","Taylor, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",188581,187933,193334,185236,186311,176625,176026,164276,161610,151380,148194,143262,150883,137525,146738,190249,192911,189448,196694,181557,188755
 "13269","Taylor, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",131.634,131.181,134.951,129.298,130.049,123.288,122.870,114.668,112.807,105.666,103.442,100.000,105.320,95.995,102.426,132.798,134.656,132.239,137.296,126.730,131.755
 "13269","Taylor, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",146517,147827,156584,156602,158691,154391,162936,155083,152486,145363,145760,143262,154412,143856,155834,204025,212432,214347,228571,214035,240277
 "13271","Telfair, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",271734,264201,274353,276476,293142,286770,282895,258359,244155,230767,260440,280418,294000,325724,347021,322649,298676,286671,268693,239224,253886
 "13271","Telfair, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.903,94.217,97.837,98.594,104.537,102.265,100.883,92.133,87.068,82.294,92.875,100.000,104.843,116.156,123.751,115.060,106.511,102.230,95.818,85.310,90.538
 "13271","Telfair, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",214199,211931,225181,232806,251487,251413,257329,238092,231318,220547,253188,280418,303592,344219,377727,357549,335745,328456,317056,289826,322189
 "13273","Terrell, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",238846,246698,249490,232492,241529,237250,246748,241733,254722,239286,249644,237464,238900,215988,220753,218402,211077,191958,197201,194370,192441
 "13273","Terrell, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",100.582,103.889,105.064,97.906,101.712,99.910,103.910,101.798,107.268,100.767,105.129,100.000,100.605,90.956,92.962,91.973,88.888,80.837,83.045,81.852,81.040
 "13273","Terrell, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",177135,184648,193375,187698,194410,194872,216148,216192,226538,219789,241712,237464,245461,226366,236901,237989,235026,218775,230467,231390,251435
 "13275","Thomas, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1747935,1658923,1720059,1819502,1937993,1952706,1967411,1876180,1802523,1813133,1845553,1858543,1872580,1850396,1926626,1885160,1874837,1909503,1920076,1897053,2017441
 "13275","Thomas, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",94.049,89.259,92.549,97.899,104.275,105.066,105.858,100.949,96.986,97.557,99.301,100.000,100.755,99.562,103.663,101.432,100.877,102.742,103.311,102.072,108.550
 "13275","Thomas, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1326126,1286189,1359577,1481870,1626653,1688176,1758200,1718328,1704662,1739201,1793021,1858543,1914848,1934962,2064592,2067221,2093412,2184201,2250004,2280752,2525391
 "13277","Tift, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1475768,1494258,1557947,1587439,1611833,1602575,1551361,1517901,1427642,1463909,1486517,1504016,1502239,1601804,1803399,1636710,1627203,1677214,1732766,1726568,1736642
 "13277","Tift, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",98.122,99.351,103.586,105.547,107.169,106.553,103.148,100.923,94.922,97.333,98.836,100.000,99.882,106.502,119.906,108.823,108.191,111.516,115.209,114.797,115.467
 "13277","Tift, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1145758,1177663,1250041,1312373,1361226,1391636,1406352,1402106,1340586,1398608,1449938,1504016,1542803,1682459,1942827,1788979,1810058,1913735,2028745,2068580,2185908
 "13279","Toombs, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",709839,707062,770624,825105,815302,881179,898942,901750,937614,915023,875681,882642,893280,864071,895228,875112,868207,865787,859188,874434,890694
 "13279","Toombs, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.422,80.108,87.309,93.481,92.371,99.834,101.847,102.165,106.228,103.669,99.211,100.000,101.205,97.896,101.426,99.147,98.365,98.090,97.343,99.070,100.912
 "13279","Toombs, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",554591,561564,626298,689860,694982,771589,823558,836323,871702,869124,852871,882642,915963,906038,961813,958369,968721,988989,1009856,1053492,1134244
 "13281","Towns, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",246966,259142,270891,282263,296828,306611,307513,288360,293032,294167,293804,297493,292708,285096,310623,313379,319956,318663,341900,318585,339975
