GeoFIPS,GeoName,CountyFIPS,CountyName
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13143,"Haralson, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13149,"Heard, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13151,"Henry, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13159,"Jasper, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13171,"Lamar, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13199,"Meriwether, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13211,"Morgan, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13217,"Newton, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13223,"Paulding, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13227,"Pickens, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13231,"Pike, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13247,"Rockdale, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13255,"Spalding, GA"
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",13297,"Walton, GA"
12100,"Atlantic City-Hammonton, NJ (MA)",34001,"Atlantic, NJ"
12220,"Auburn-Opelika, AL (MA)",1081,"Lee, AL"
12260,"Augusta-Richmond County, GA-SC (MA)",13033,"Burke, GA"
12260,"Augusta-Richmond County, GA-SC (MA)",13073,"Columbia, GA"
12260,"Augusta-Richmond County, GA-SC (MA)",13181,"Lincoln, GA"
12260,"Augusta-Richmond County, GA-SC (MA)",13189,"McDuffie, GA"
12260,"Augusta-Richmond County, GA-SC (MA)",13245,"Richmond, GA"
12260,"Augusta-Richmond County, GA-SC (MA)",45003,"Aiken, SC"
12260,"Augusta-Richmond County, GA-SC (MA)",45037,"Edgefield, SC"
12420,"Austin-Round Rock-Georgetown, TX (MA)",48021,"Bastrop, TX"
12420,"Austin-Round Rock-Georgetown, TX (MA)",48055,"Caldwell, TX"
12420,"Austin-Round Rock-Georgetown, TX (MA)",48209,"Hays, TX"
12420,"Austin-Round Rock-Georgetown, TX (MA)",48453,"Travis, TX"
12420,"Austin-Round Rock-Georgetown, TX (MA)",48491,"Williamson, TX"
12540,"Bakersfield, CA (MA)",6029,"Kern, CA"
12580,"Baltimore-Columbia-Towson, MD (MA)",24003,"Anne Arundel, MD"
12580,"Baltimore-Columbia-Towson, MD (MA)",24005,"Baltimore, MD"
12580,"Baltimore-Columbia-Towson, MD (MA)",24013,"Carroll, MD"
12580,"Baltimore-Columbia-Towson, MD (MA)",24025,"Harford, MD"
12580,"Baltimore-Columbia-Towson, MD (MA)",24027,"Howard, MD"
12580,"Baltimore-Columbia-Towson, MD (MA)",24035,"Queen Anne's, MD"
12580,"Baltimore-Columbia-Towson, MD (MA)",24510,"Baltimore (Independent City), MD"
12620,"Bangor, ME (MA)",23019,"Penobscot, ME"
12700,"Barnstable Town, MA (MA)",25001,"Barnstable, MA"
12940,"Baton Rouge, LA (MA)",22005,"Ascension, LA"
12940,"Baton Rouge, LA (MA)",22007,"Assumption, LA"
12940,"Baton Rouge, LA (MA)",22033,"East Baton Rouge, LA"
12940,"Baton Rouge, LA (MA)",22037,"East Feliciana, LA"
12940,"Baton Rouge, LA (MA)",22047,"Iberville, LA"
12940,"Baton Rouge, LA (MA)",22063,"Livingston, LA"
12940,"Baton Rouge, LA (MA)",22077,"Pointe Coupee, LA"
12940,"Baton Rouge, LA (MA)",22091,"St. Helena, LA"
12940,"Baton Rouge, LA (MA)",22121,"West Baton Rouge, LA"
12940,"Baton Rouge, LA (MA)",22125,"West Feliciana, LA"
12980,"Battle Creek, MI (MA)",26025,"Calhoun, MI"
13020,"Bay City, MI (MA)",26017,"Bay, MI"
13140,"Beaumont-Port Arthur, TX (MA)",48199,"Hardin, TX"
13140,"Beaumont-Port Arthur, TX (MA)",48245,"Jefferson, TX"
13140,"Beaumont-Port Arthur, TX (MA)",48361,"Orange, TX"
13220,"Beckley, WV (MA)",54019,"Fayette, WV"
13220,"Beckley, WV (MA)",54081,"Raleigh, WV"
13380,"Bellingham, WA (MA)",53073,"Whatcom, WA"
