GeoFIPS,GeoName,agri_forestry_mining,construction,manufacturing,wholesale_trade,retail_trade,transport_utilities,information,finance_real_estate,prof_sci_mgmt_admin,education_health,arts_entertainment,other_services,public_admin
10180,"Abilene, TX (MA)",0.03002359543396467,0.07051846183279127,0.06863082711561763,0.018736049996811426,0.12273451948217588,0.056986161596836934,0.01044576238760283,0.07076079331675275,0.06971494164912952,0.2859894139404375,0.08391046489382055,0.049014731203367135,0.06253427715069192
10420,"Akron, OH (MA)",0.005231316524389208,0.06142760843581653,0.1507366894574952,0.029184345136603354,0.11849059382664998,0.051163238601281344,0.01497736967025995,0.06277296596103844,0.10087632340695507,0.2354319022505707,0.092645567684229,0.04637943047475543,0.03068264856995576
10500,"Albany, GA (MA)",0.02707412307593017,0.05643938171609281,0.09490464358320694,0.027735648133208557,0.11896156700764787,0.05797218367807932,0.012052663848462358,0.04435444835264126,0.08328761818709865,0.26619122914582594,0.08202910710252025,0.05338991254961438,0.0756074736196715
10540,"Albany-Lebanon, OR (MA)",0.04854368932038835,0.0758648487609968,0.131260733938523,0.017402124005467735,0.11256177491149977,0.05415162454873646,0.006571799095720444,0.04120079913077004,0.07575969997546528,0.24101854123584873,0.07449791454908695,0.05399390137043917,0.06717254915705724
10580,"Albany-Schenectady-Troy, NY (MA)",0.006903017435388503,0.05509459812538286,0.0790114457474207,0.019376313252959142,0.10176461676616468,0.04271790942204794,0.017437584119546913,0.07226870829701418,0.11762135719821804,0.2673009070090657,0.07847791100289163,0.04466102978792543,0.0973646018359743
10740,"Albuquerque, NM (MA)",0.012518240317680548,0.07061215702222329,0.04424802047699926,0.02202473506686123,0.10698036026122527,0.04037748486950697,0.016099323015094612,0.05836901657775758,0.1398535990239935,0.26062483553811927,0.09914838647943927,0.0552257015046767,0.07391813984642251
10780,"Alexandria, LA (MA)",0.02935776887342156,0.07929311473316199,0.06170080298845804,0.0261170798678182,0.10406921984004087,0.053463386599830784,0.008237416388627256,0.03987803515269552,0.06695295413547038,0.2980156766335148,0.10603279002570201,0.048945578774285216,0.07793617598697339
10900,"Allentown-Bethlehem-Easton, PA-NJ (MA)",0.006061465721040189,0.05716312056737589,0.13403073286052009,0.03186761229314421,0.11196690307328605,0.07898581560283688,0.018853427895981087,0.051969267139479906,0.09439716312056738,0.25625768321513004,0.08102600472813239,0.0459338061465721,0.03148699763593381
11020,"Altoona, PA (MA)",0.010642999840885384,0.06624471827873345,0.10528083729646588,0.03258313738663084,0.13876562417127805,0.06712868836518572,0.011951275568834751,0.03260081678835988,0.0785849406856072,0.2600639994342591,0.09962342874317133,0.04914873680674646,0.04738079663384191
11100,"Amarillo, TX (MA)",0.023814794901799552,0.08747114076979032,0.10731680318795661,0.02881969701761599,0.11134918877889877,0.06364843922957715,0.00955121920364338,0.054223726240551565,0.07952496916411018,0.23764983079793794,0.09019893102248648,0.0515591890951643,0.05487207059046776
11180,"Ames, IA (MA)",0.03434525537408522,0.05032618825722274,0.09758147067361313,0.023604724000427787,0.10798588300001528,0.041877377660305866,0.017080958855972987,0.05657494690846867,0.08216582891540494,0.33714268253555985,0.08178387545261485,0.03034238308404504,0.03918842528226361
11260,"Anchorage, AK (MA)",0.030492283143384005,0.07068017182620825,0.02508176539276449,0.020109795467634643,0.10954713332382265,0.09438288923761366,0.0187888682824248,0.04532893728766096,0.10186990452338306,0.23824771083318802,0.09764293753071156,0.04921246321217789,0.098615139939026
11460,"Ann Arbor, MI (MA)",0.0053711602754226186,0.03108460756468973,0.12431222947692759,0.013420040454007147,0.08450276156240502,0.030298584109749834,0.01589863441525095,0.03977278681995871,0.12685894547093285,0.3751951958246434,0.09085383107831937,0.03959986165987193,0.022831361287820828
11500,"Anniston-Oxford, AL (MA)",0.009618323721802213,0.05218755731257514,0.18079188148268904,0.024881299288814624,0.12819676808020705,0.04462739184480264,0.01381615144784301,0.0370468485725348,0.07007926965948688,0.2316752593075622,0.09151671998858843,0.043995679905446984,0.07156684938764697
11540,"Appleton, WI (MA)",0.017664615946884326,0.07148839617469696,0.23100292379850154,0.03316683925199489,0.09781781080587196,0.042996588901748185,0.014306816105256746,0.06772705122738625,0.08439422549795943,0.2023283791192057,0.06739964670768106,0.04260065785466285,0.02710604860815009
11700,"Asheville, NC (MA)",0.01017277062899307,0.07918203905336092,0.10938090524610816,0.01819490686583281,0.12609106451903176,0.03380275353189958,0.012233420318545848,0.04963556195446774,0.10071987762080446,0.24649959506883828,0.12623504004319266,0.055120129577971744,0.03273193557095294
12020,"Athens-Clarke County, GA (MA)",0.012766868419516183,0.04888776443570831,0.08387015160656248,0.019374112060409086,0.11319891793005468,0.04263083120876555,0.01186189985014499,0.04398341864040636,0.11038670377362163,0.323608975731273,0.10992935406652006,0.044645116088978844,0.034855886188038844
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",0.003571182364623188,0.06605378217212735,0.085388544641271,0.03068233943433797,0.10893382226217085,0.07419210077661202,0.028754398105798475,0.07292205244053443,0.15667928760629032,0.19789785788715925,0.08809932891600447,0.045922256602793046,0.04090304679027763
12100,"Atlantic City-Hammonton, NJ (MA)",0.0044824334976892284,0.06672643244663586,0.04912128846778058,0.016971420622285422,0.1213580227831275,0.05090653353323956,0.01275947880118089,0.04729740173423806,0.09255452339366586,0.2444008222946968,0.1988268389569841,0.041717544862976644,0.05287725860549948
