index,GeoFIPS,roads,MilesSq_Land,Ac_Land,Ac_Water,Ac_Unpr,Ac_Total,TotPop,CountHU,HH,R_LowWageWk,R_HiWageWk,TotEmp,D3A,D1A,D1B,D1C,E_PctLowWage,D2a_JpHH,WeightAvgP_WrkAge,WeightAvgD5AE,WeightAvgNatWalkInd
0,1001,1177.6753735688335,594.4307625817188,380435.6880523,6352.1900631,373158.784172,386787.8781253,55200,23315.0,21115.0,5168,9244,12153,1.9811817417624542,0.06248010495514269,0.14792630467612594,0.032567905447988384,42.5244795523739,0.5755623964006631,0.592767463768116,12613.539184782609,5.483179347823406
1,1003,3949.578756653605,1589.7879819756251,1017464.3084644,279959.5724797,932574.2105377,1297423.8809672,208107,111945.0,78622.0,19974,33585,71760,2.48434307054295,0.12003870441093925,0.22315328651433594,0.0769482998662647,27.834448160535118,0.9127216300780951,0.5684193467783399,8949.482766077066,6.812529932533961
2,1005,1290.218335208157,884.9887036554687,566392.7703395,12484.285931299999,534293.3334714,578877.0562932,25782,11937.0,9186.0,2575,2932,7826,1.4578924339699217,0.022341660006205136,0.04825439208176098,0.014647384703741424,32.90314336825965,0.8519486174613542,0.5937102629741678,1629.5978589713754,5.156174850734465
3,1007,1199.0325114523018,622.4477864257813,398366.5833125,2372.6761919,318129.7804845,400739.25951360003,22527,9161.0,6840.0,1663,2933,4027,1.9263182191351094,0.028796423855849438,0.0708107237420282,0.012658355951043082,41.29625031040477,0.5887426900584796,0.6110743552181825,6432.937807963777,5.2412956303503355
4,1009,1811.2780762791685,644.8166644875,412682.665272,3710.3218961000002,412305.399557,416392.98719200003,57645,24222.0,20600.0,4669,9843,8301,2.808981492000942,0.05874771474257974,0.139811411788292,0.020133134343908614,56.2462353933261,0.4029611650485437,0.5716087605169573,8063.236846213896,4.674447046558157
5,1011,754.2288261835299,622.798582703125,398591.09293,1492.0127803,395087.57383,400083.10575,10352,4526.0,3609.0,986,902,3070,1.2110316997029118,0.011455688054485528,0.02620178584622938,0.0077704291487562015,32.11726384364821,0.8506511499030203,0.624604714064915,2116.1596792890264,4.500982096949768
6,1013,1259.8054663500254,776.821602210625,497165.82541479997,667.4660258,497165.8254058,497833.2914518,20025,10026.0,6708.0,2273,2456,6690,1.621743605951429,0.020166309685136767,0.04027831153449669,0.013456274864708255,33.97608370702541,0.9973166368515206,0.5595663420724094,1955.7577528089887,5.482813150125043
7,1015,2327.426980102006,605.8564855095312,387748.1507261,4098.6951433,348956.66593794,391846.8458656,115098,53682.0,45033.0,10394,14688,41495,3.841548346461319,0.15383572013364846,0.32983465064533124,0.1189116129605034,25.04880106036872,0.9214353918237737,0.5949786008444978,7460.491094545518,5.730536875768476
8,1017,1274.6855347407954,596.5478960873438,381790.6534959,4193.7070697,381772.6963229,385984.3605579,33826,16981.0,13516.0,3703,4802,8454,2.1367698102721358,0.04447934638478604,0.08860245985582547,0.022144066564806615,43.801750650579606,0.6254809115122817,0.5864861349257967,5568.919913675871,5.250827765647667
9,1019,1291.731015150303,553.5130033187501,354248.322124,29728.1913085,341216.650912,383976.513436,25853,16531.0,10606.0,2012,3147,5148,2.333695879600569,0.048447225408889426,0.07576711139652885,0.015087188700318359,39.08313908313909,0.485385630775033,0.5629800023208139,2774.8185123583335,4.323618148765598
10,1021,1705.3456534136253,692.8363831639062,443415.2852249,5088.3182882,420146.9993449,448503.6035112,43930,19586.0,16751.0,3786,6817,9407,2.4613973729641545,0.0466170174499373,0.104558642733368,0.022389782658611263,40.24662485383225,0.561578413229061,0.584871659458229,6727.4715001138175,4.714284088242795
11,1023,1158.4066389952848,913.447558953125,584606.43773,4730.5982898,583692.56323,589337.03601,13075,7344.0,5350.0,1052,1602,3299,1.2681698337700962,0.012581966025676685,0.022400490983894697,0.005651947973680199,31.888451045771443,0.6166355140186915,0.5568443594646271,740.8950669216061,3.9437603570116253
12,1025,1517.9429443445529,1238.393427450625,792571.7935684,9058.1648662,765659.1721184,801629.9584944,24387,12741.0,9358.0,2535,3846,7728,1.225735627061113,0.01664056340466559,0.0318509865591068,0.01009326379336439,32.8027950310559,0.8258174823680273,0.5690898019436585,1210.0083241071063,5.208594743011768
13,1027,1169.7629031193426,603.9478565078125,386526.628165,1305.9746497,313743.257715,387832.602824,13378,6802.0,5236.0,1515,1975,4246,1.9368607579522237,0.021680147167270257,0.04263996012992377,0.013533358552224274,35.68064060292039,0.8109243697478992,0.5699020032889819,2016.9067872626702,4.2908257338075195
14,1029,1066.2323956434102,560.0922211140626,358459.021513,581.8948015999999,258549.58602000002,359040.916306,14938,6806.0,5726.0,1212,2296,2169,1.9036729228672369,0.02632377063436305,0.05777615129828317,0.008389106451062806,55.87828492392808,0.3787984631505414,0.5688043914848038,2394.943566742536,4.601274155440889
15,1031,1455.5875394191448,678.971310274375,434541.6385756,965.4664019,434318.31596680003,435507.1049886,51288,23088.0,19789.0,4492,6549,15739,2.1438130262542847,0.0531591672541042,0.11808850355719407,0.03623839801682026,28.540568015757035,0.7953408459245035,0.5863153954141319,5731.928111839026,6.013677663454804
16,1033,1338.2118979717386,592.7320211059375,379348.4935078,19693.9386935,332312.4293555,399042.4321974,54495,26466.0,21799.0,5114,7820,23614,2.2577013731683704,0.0796419202595859,0.16398724569432982,0.07105963519269483,21.65664436351317,1.0832607000321115,0.5783872098357647,8877.956931828609,6.484799828728781
