GeoFIPS,GeoName,under_5,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_over
1001,"Autauga, AL",5.697213207644362,6.3806040625697555,6.875118048043408,6.763508988821923,6.263843815999588,6.363433438074143,6.389189374817563,7.273476536341626,6.035474510207936,7.089750854238569,6.65361699205,7.149848039973214,5.929016638335137,4.51072305499751,4.448908806813304,3.2160579680282972,1.3753670220985936,1.584848640945071
1003,"Baldwin, AL",5.298704271984009,5.164420532644157,7.22358462737363,6.076229136489515,4.922709801832423,5.410093734452805,5.570353672550202,6.472476236180882,5.724009492319411,6.480401178174709,6.523107810030335,7.043952608846876,7.482906340393869,6.489646943834175,6.133024554111944,3.964232095134526,2.1912464612932623,1.8289005023532676
1005,"Barbour, AL",5.225860089473059,6.338334850944218,5.6296765509323405,5.887010570489727,5.67718436992755,6.9994853319608845,7.058870105704897,6.880715784472861,5.760323053169167,6.235401243121263,6.4135555643533,6.096836771051902,6.789659131398709,6.061205906805496,5.356506591709886,3.9391899916861317,1.967615503384932,1.6825685894136744
1007,"Bibb, AL",5.336426914153132,5.68445475638051,5.488131358200963,6.527752989469928,5.3185793325004465,8.107263965732644,6.768695341781189,7.250580046403712,6.411743708727467,7.536141352846689,6.18418704265572,7.067642334463681,6.282348741745493,5.613064429769766,3.953239336069962,3.5382830626450117,1.5348920221310012,1.3965732643226842
1009,"Blount, AL",5.887847292982814,6.076353508593167,7.122478092520888,6.098430813124108,5.750288703213097,6.22410162353101,5.718021873514028,5.566877250186808,6.553562937300455,6.646966918008287,6.657156443176415,6.9017050472114665,6.821887100061137,5.74009917804497,4.848515725833843,2.8275932341552883,2.637388764350248,1.9207254941919705
1011,"Bullock, AL",5.37261698440208,5.988831118813788,8.511457731561718,8.434430964760255,5.478528788754092,5.218563450799152,5.622953976506836,7.654534950895436,5.141536683997689,5.873290968611593,6.81686886192952,6.046601193914886,7.644906605045253,5.141536683997689,4.727517812439823,2.7440785673021373,1.579048719430002,2.0026959368380512
1013,"Butler, AL",5.667066367759762,5.594077472498827,7.663834002398207,5.880819561023929,5.416818726865126,5.8756060685052915,5.4950211146447,6.574214066002815,6.115426724362651,5.427245711902404,5.682706845315677,6.443876753036859,7.351024451279913,7.392732391429019,4.916323445075856,4.061310672019185,2.0280485897502736,2.413847036129503
1015,"Calhoun, AL",5.768520506764011,5.69637105432682,6.415288812540262,6.871376422589651,6.308782477990123,6.72535967360962,6.161906806957269,6.41013528022332,5.740176079020829,6.039080953403478,6.329396607257891,6.91088683701954,6.943525875026841,5.945458449645695,4.877818337985828,3.690788060983466,1.7375993128623577,1.4275284517929998
1017,"Chambers, AL",5.902279382212781,5.2104265947063215,6.2324166044669,5.391284377332491,5.98840213584429,6.841017396796234,5.652523396681404,6.812309812252397,4.372165126026297,6.482172589998278,6.927140150427744,8.023769880002297,6.56255382672102,7.1568008267784355,4.975024401446862,3.8209795027846356,2.2478038697823965,1.4009301257392204
1019,"Cherokee, AL",4.36036036036036,5.785785785785786,5.465465465465465,5.801801801801801,4.768768768768769,5.34934934934935,4.5525525525525525,6.03003003003003,4.908908908908908,6.478478478478479,7.395395395395396,8.032032032032033,8.208208208208207,7.1991991991991995,6.626626626626626,3.8878878878878878,2.926926926926927,2.2222222222222223
1021,"Chilton, AL",6.04142051407807,6.7458813563100515,6.828365695432151,6.409256080433377,5.905432819849745,6.35575272532715,6.08154803040774,5.909891432775264,6.792696792028,6.440466370912009,6.525180016496868,6.487281806629958,7.042379115857058,4.862117395278329,5.1140290255701455,3.290456339032927,1.5382214593040104,1.6296230242771474
1023,"Choctaw, AL",5.472170106316447,4.151031894934333,6.762038774233896,6.793308317698561,4.2682926829268295,5.456535334584115,5.964665415884928,4.401188242651657,5.010944340212633,6.4962476547842405,6.386804252657911,8.372420262664166,7.668855534709193,6.386804252657911,6.590056285178236,4.4793621013133205,1.9308943089430894,3.4083802376485304
1025,"Clarke, AL",6.146663239955453,5.20431765612953,6.789171592564037,6.609269253833633,5.564122333590336,6.04386190353808,4.925897369999143,5.619806390816414,6.039578514520689,6.0952625717467654,6.66495331105971,8.099888631885548,6.459350638224963,6.97764070932922,4.060652788486251,3.915017561894971,2.411548016790885,2.3729975156343697
1027,"Clay, AL",5.245346869712352,4.928087986463621,7.586012408347434,6.436830231246475,5.520304568527918,5.125493513818387,6.119571347997744,4.617879300620417,5.992667794698252,6.676536943034404,6.606034968979131,7.600112803158489,7.374506486181613,5.520304568527918,5.795262267343486,4.526226734348562,2.305414551607445,2.023406655386351
1029,"Cleburne, AL",5.749036288714608,6.925428685364881,6.320616775222651,5.71580486508042,5.110992954938189,6.141167087598032,6.533297886481456,5.34361292037751,5.589525455270504,6.991891532633258,6.619699587930347,6.55323674066197,7.211218928618902,6.387079622491028,4.911604413133058,3.841552572112189,0.9902964242988169,3.0639372590721785
1031,"Coffee, AL",6.055464434515393,5.687838169032672,7.903022076428558,6.504157004694304,5.672756065833381,6.385385441999887,6.174235997209811,6.798258017080482,6.162924419810342,6.719076975284204,6.5588296287917345,5.953660237920178,6.524894896593329,5.359802424448089,4.856437230171747,2.967403804460532,2.2359217992949114,1.4799313764304431
