year,GeoFIPS,total_obligated_amount
2010,1011,14700.0
2010,1015,1260689.0
2010,1021,250000.0
2010,1033,179189.0
2010,1039,1515000.0
2010,1069,179189.0
2010,1073,107475605.0
2010,1081,5305377.0
2010,1083,9385452.0
2010,1085,987000.0
2010,1089,189189.0
2010,1097,6456325.0
2010,1101,8879586.0
2010,1103,189189.0
2010,1109,28084258.0
2010,1115,1500000.0
2010,1121,6269197.0
2010,1125,30189189.0
2010,1131,463189.0
2010,1133,1662505.0
2010,2016,1443551.0
2010,2020,72963651.0
2010,2050,174739.0
2010,2070,193739.0
2010,2090,120289386.0
2010,2110,62087168.0
2010,2122,21728945.0
2010,2150,1660000.0
2010,2180,193739.0
2010,2185,4090021.0
2010,2261,3221658.0
2010,2290,78888.0
2010,4001,32190067.0
2010,4003,220189.0
2010,4005,223189.0
2010,4007,89739.0
2010,4013,53512149.0
2010,4017,293478.0
2010,4019,9109321.0
2010,4021,218189.0
2010,4027,57000.0
2010,5009,210189.0
2010,5011,1900000.0
2010,5027,170189.0
2010,5031,508739.0
2010,5045,142866.0
2010,5051,170189.0
2010,5063,170189.0
2010,5069,170189.0
2010,5085,170189.0
2010,5091,1000000.0
2010,5093,1200000.0
2010,5099,910000.0
2010,5111,600000.0
2010,5119,130064420.0
2010,5131,170189.0
2010,5135,124875.0
2010,5139,940000.0
2010,6001,12546855.0
2010,6007,634189.0
2010,6013,30550803.0
2010,6015,1056113.0
2010,6019,46981631.0
2010,6023,3372844.0
2010,6025,70000.0
2010,6029,2031221.0
2010,6035,50000.0
2010,6037,424502574.6
2010,6041,595777.0
2010,6045,309360.0
2010,6053,19825924.0
2010,6059,12958002.0
2010,6061,258189.0
2010,6063,13770240.0
2010,6067,40343900.0
2010,6071,8749980.0
2010,6073,2723149265.0
2010,6075,42354102.0
2010,6079,2100000.0
2010,6081,486360.0
2010,6083,844760.0
2010,6085,19709025.0
2010,6087,18965934.0
2010,6089,210567.0
2010,6093,800000.0
2010,6095,84148788.0
2010,6097,3012124.0
2010,6101,194189.0
2010,6105,500000.0
2010,6109,78000.0
2010,6111,384939.0
2010,6113,9759701.0
2010,8001,27590005.0
2010,8003,385673.0
2010,8013,2833482590.03
2010,8031,22968064.0
2010,8051,232594.0
2010,8059,664840.0
2010,8067,337444.0
2010,8069,2264158500.0
2010,8079,350000.0
2010,8083,145500.0
2010,8085,183000.0
2010,8097,240225.0
2010,8101,152500.0
2010,8117,35000.0
2010,8123,1673890.0
2010,8125,33851.0
2010,9001,383656.0
2010,9003,128145823.0
2010,9005,196156.0
2010,9009,3370360.0
2010,9011,4946947.0
2010,9013,26721510.0
2010,10001,64102284.0
2010,10003,45753127.0
2010,11001,284987024.0
2010,12001,143992508.0
2010,12009,2400000.0
2010,12011,16720227.0
2010,12013,179189.0
2010,12025,21312914.0
2010,12031,885273.0
2010,12033,189189.0
2010,12037,1855000.0
2010,12057,58938351.0
2010,12071,791425.0
2010,12073,91126120.48
2010,12083,179189.0
2010,12085,1179189.0
2010,12086,2127035882.0
2010,12087,311973.0
2010,12095,7718238.0
2010,12097,65272684.0
2010,12099,10575311.0
2010,12103,21306991.0
2010,12105,389189.0
2010,12111,3677500.0
2010,12113,78860.0
2010,12115,1585034.0
2010,12123,1670000.0
2010,12127,285320.0
2010,13021,10000.0
2010,13051,128124.0
2010,13059,21440252.0
2010,13073,13483004.0
2010,13089,78919913.0
2010,13091,10000.0
2010,13115,216063.0
2010,13119,756000.0
2010,13121,11752506.0
2010,13127,189189.0
2010,13135,50000.0
2010,13137,647500.0
2010,13139,179189.0
2010,13157,920000.0
2010,13179,823000.0
2010,13185,189000.0
2010,13205,189000.0
2010,13215,489000.0
2010,13241,1097091.0
2010,13245,179189.0
2010,13255,10000.0
2010,13299,3780045.0
2010,13309,2000000.0
2010,15001,37840878.0
2010,15003,1571960913.0
2010,15009,343996.0
2010,16001,20540328.0
2010,16005,595404.0
