GeoFIPS,GeoName,mexican,puerto_rican,cuban,other_hispanic_latino,white,black_african_american,american_indian_alaska_native,asian,native_hawaiian_other_pacific_islander,other_race_races
10180,"Abilene, TX (MA)",0.10859616185709965,0.003167067067638281,0.0011156065076095205,0.009321448747724562,0.3155654213340485,0.036652381577370594,0.0007104501800377765,0.009498347989340393,0.0001654863873180363,0.015207628351812646
10420,"Akron, OH (MA)",0.004709849899781341,0.0031816577077259474,0.0002491230867346939,0.003198028653425656,0.3923389668367347,0.05911762026239067,0.0004569629190962099,0.016625763028425656,4.982461734693878e-05,0.020072202988338193
10500,"Albany, GA (MA)",0.006302830580449839,0.0020596391110396656,0.0009042318048466825,0.0054890219560878245,0.2045372342563196,0.26279655454192286,0.0005726801430695655,0.007257297485565781,0.00013730927406931104,0.00994320084662889
10540,"Albany-Lebanon, OR (MA)",0.041898584905660376,0.0009984276729559749,0.0002751572327044025,0.005172955974842767,0.4184591194968553,0.0018278301886792453,0.0028812893081761005,0.004925314465408805,0.0005856918238993711,0.02297562893081761
10580,"Albany-Schenectady-Troy, NY (MA)",0.0030425319922294646,0.012332106894958615,0.0011165969953187533,0.010742932208201366,0.39281114147829427,0.03585133563035407,0.0005093151798188731,0.022629179585089032,0.00012635469488402642,0.02083850534085153
10740,"Albuquerque, NM (MA)",0.14500354723293934,0.003376987654753511,0.001790586256880975,0.09857311460189974,0.18834876306673615,0.011166667396549987,0.025507232413826325,0.010790595015480825,0.00022553394614336953,0.015216972414789772
10780,"Alexandria, LA (MA)",0.009888994400602508,0.0021349749500638527,0.0009659779298601788,0.005281770850388028,0.3140639837584728,0.1442843577065392,0.0030551098595238877,0.005776220570418154,3.6019516028684635e-05,0.014512590458102754
10900,"Allentown-Bethlehem-Easton, PA-NJ (MA)",0.006723799733565502,0.046500745340601425,0.002040799676455745,0.03653975480100746,0.354634689864883,0.025671418431532977,0.0002727282263224697,0.0142273224731555,0.00015559494963269103,0.01323314650284325
11020,"Altoona, PA (MA)",0.0014212389955494916,0.0027937497969658578,0.0005075853555533899,0.001843550011369912,0.4692606308676867,0.007967059740766008,0.0003614007731540136,0.002972419842120651,4.060682844427119e-05,0.012831757788389696
11100,"Amarillo, TX (MA)",0.13036048392507063,0.0014591548455867554,0.0007975967738328625,0.017670122919353277,0.29000655967440164,0.030172638703569805,0.0020014461100385382,0.0163842776531274,0.0006354684576565564,0.010512250937362563
11180,"Ames, IA (MA)",0.013430587933700241,0.0009252805883342546,0.0003364656684851835,0.002843936007434289,0.42600158619529427,0.010498529965472214,0.0006008315508663991,0.030057599718009725,0.00019226609627724772,0.015112916276126159
11260,"Anchorage, AK (MA)",0.020594613273503076,0.006483002463991666,0.0019256195035958251,0.012994801578557263,0.30950765239688294,0.020652206574650934,0.03289328712514273,0.03697489933692582,0.010911426510947736,0.047062491235802
11460,"Ann Arbor, MI (MA)",0.014008076728924785,0.0022796352583586625,0.0010538949810433157,0.007600126735906001,0.34601721675062025,0.05752118530293104,0.001044497191403439,0.04540743445712997,0.00015304971699227772,0.024914882876690258
11500,"Anniston-Oxford, AL (MA)",0.012282585355379,0.003963925273781405,0.00045952329826068285,0.0032639038007300837,0.35676615847111876,0.10517500536826282,0.0008030921193901653,0.003727721709254885,0.0007945028988619282,0.012763581704960275
11540,"Appleton, WI (MA)",0.017181114218111422,0.0015718847725730927,0.00011582308850538578,0.004246157155384947,0.43637589556066647,0.006088985224283138,0.005127239935800916,0.01629382662938266,8.89355858166355e-05,0.012910137829475322
11700,"Asheville, NC (MA)",0.0208126592175411,0.0032079783829297315,0.0013789903728429111,0.01082894075496501,0.4220655643335524,0.02133246555746008,0.0013134775903324613,0.00550414771091894,0.00036622719403382606,0.013189548885423513
12020,"Athens-Clarke County, GA (MA)",0.023517200751802362,0.004196160571519407,0.002078209887510169,0.014615262336010772,0.3262298607669506,0.09794002412500116,0.0004090964345492459,0.016380221239351803,0.00016130087990798837,0.014472663007396464
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",0.027725796426389483,0.005619378588801165,0.002008716495534729,0.019516872654409503,0.22752472566401635,0.1685754672431204,0.0005937710209211159,0.030823577081716232,0.0001943009265051353,0.01741739389858587
12100,"Atlantic City-Hammonton, NJ (MA)",0.024815146148649884,0.033543899366476185,0.001776422690011502,0.03684297007649755,0.2775016887882716,0.06608000292114728,0.0009201613933872529,0.03888412173881292,0.00021726032899421248,0.01941832654775163
12220,"Auburn-Opelika, AL (MA)",0.008965120802680245,0.002691278168421175,0.0011148336749446939,0.006236100869221881,0.33547203335210746,0.11033369526718266,0.0006503196437177381,0.02147216109346603,0.0,0.01306445712825813
12260,"Augusta-Richmond County, GA-SC (MA)",0.012119182520862372,0.007323840289102856,0.0009635116254959493,0.008507042438943313,0.26677094424139297,0.1739611600317934,0.0004665338101248533,0.009315865605350245,0.00014070067289479704,0.02043121876403921
12420,"Austin-Round Rock-Georgetown, TX (MA)",0.13142572617822137,0.004782258425457638,0.002461621089379224,0.02483551895448239,0.2534491787136911,0.03443830282415074,0.0006829879604350356,0.030601978248220918,0.0002504139999104865,0.017072013606051113
12540,"Bakersfield, CA (MA)",0.2492226526096347,0.002798008930661496,0.000555405876922941,0.0211197777493143,0.16088551351303604,0.025357093957449065,0.002207269081449223,0.023307171471350772,0.0005879793826271692,0.013959127427554315
