city,state,fips,proj_uid,displayname,AvGini20112014,PrePostRecessionChange,citylongitude,citylatitude,UV_place,TotalPopulation,Unemployment16up,LaborForce16up,Manuf,MedianFamilyIncome,MedianHouseholdIncome,ForeignBorn,FamilieswithChildren,percentPop2064,Poverty,White,BachPlus25up,HousingPre1980,VacancyRate,HomeAffordability,OwnerOccupied,High30GrossRent,MedianMonthlyHousingCosts,BWDI,HWDI,PovertyChange2000,ChangeLFP00,Manuf1970Change,FamilyIncome2000Change,PopulationChange2000,logTotalPopulation,logSA_Part,CBSA_POP_2018_5yr,geo_flag
Aliquippa,Pennsylvania,4200820,aliquippa_PA,"Aliquippa, Pennsylvania",0.299478353,-0.000764851,-80.263837,40.614046,4200820,9066,9.288584441,56.33071661,10.05732119,43829,31799,3.529671207,38.67069483,57.23582506,28.26931477,56.52989149,12.6238361,93.9276278,20.17652243,2.283090591,53.9141953,52.32367516,589,49.39730072,45.38801193,10.52381429,4.723787751,-81.20524467,-13.54076457,-22.73734447,9.112286432,-5.55335,0.38744569,Place
Allen Park,Michigan,2601380,allenpark_MI,"Allen Park, Michigan",0.302444463,0.014059031,-83.212368,42.251888,2601380,27353,3.957108408,64.56007361,16.98480099,83293,69094,3.984937817,41.2982136,62.06997633,5.133718625,84.49530005,24.29149747,95.67198157,5.212896317,1.690450668,84.47176218,42.19653308,921,35.45814133,16.27840805,3.228378819,5.273996378,-57.23609965,-11.80804915,-6.886574074,10.21658149,-5.0615311,0.63358504,Place
Allen,Texas,4801924,allen_TX,"Allen, Texas",0.329143539,0.004387514,-96.664656,33.102932,4801924,99255,4.053005204,73.03099632,10.6866993,116398,106736,19.73502636,60.97979546,60.52088141,3.995425254,60.53397655,54.19632196,9.274563938,3.676056862,2.682318926,74.74014163,44.16012168,1722,14.15304184,13.71866512,1.979627986,-5.284885004,,-5.645998077,127.8895165,11.50544758,-4.2917576,1.3680856,Place
Allentown,Pennsylvania,4202000,allentown_PA,"Allentown, Pennsylvania",0.296177018,-0.015074209,-75.475029,40.600393,4202000,120410,11.1491926,62.86634207,14.09312338,44130,40490,19.17531788,59.19128656,57.72527456,22.29558378,32.96985328,15.29475898,84.42807198,7.864652574,3.129167795,41.91122353,58.72818232,983,32.03668594,36.41727066,7.72309601,2.8197147,-63.75742528,-20.76070098,12.92107435,11.69865786,-1.9360679,14.427011,Place
Alliance,Ohio,3901420,alliance_OH,"Alliance, Ohio",0.310805003,0.011775676,-81.111658,40.911323,3901420,21927,8.182094991,56.36644363,19.15856898,45316,35020,1.445706189,50.8902669,53.07155848,19.83436793,84.8816514,18.40685755,82.094872,11.66530922,2.32438612,51.00253224,51.27291083,679,33.24461746,23.49808311,7.165808669,-2.839940038,-57.86528741,-17.87264939,-5.702490001,9.995474033,-2.9063749,5.4673572,Place
Alpharetta,Georgia,1301696,alpharetta_GA,"Alpharetta, Georgia",0.333505905,0.009968282,-84.269985,34.068434,1301696,64672,4.633586109,70.36605477,9.44005847,128568,105908,25.90456605,57.65380859,61.38978004,4.273254052,57.01540112,66.58274531,8.087946475,6.595995277,3.703214169,65.191257,41.44278467,1564,17.6585598,23.0170269,1.338385556,-6.108416203,,-6.988660837,85.55115625,11.07708362,-4.4927378,1.1189967,Place
Alton,Illinois,1701114,alton_IL,"Alton, Illinois",0.310497343,0.008802638,-90.158007,38.903063,1701114,26884,11.15465984,59.88461971,11.34639159,48920,38581,1.618062705,52.15592384,57.88201094,23.27764481,69.04106736,17.56909043,86.50591969,16.53714925,2.083927393,59.6849978,56.82405233,757,28.14590073,23.97740746,8.577147821,-0.445534673,-70.09737032,-13.44349179,-11.84417629,10.19928659,-4.6478238,0.95824313,Place
Altoona,Pennsylvania,4202184,altoona_PA,"Altoona, Pennsylvania",0.293285456,0.007778309,-78.400093,40.511925,4202184,44372,5.779173598,58.19013715,8.754295111,55075,40536,1.002884656,47.93103337,58.86144638,16.94076061,91.52843952,17.52233952,92.02028513,10.33822894,2.185711384,63.6484921,53.78606915,691,35.68114853,39.32135391,4.075309496,-1.095866703,-66.19685132,0.500841147,-10.40122771,10.70036392,-1.0263978,35.829525,Place
Amarillo,Texas,4803000,amarillo_TX,"Amarillo, Texas",0.338924801,0.0007801,-101.836244,35.214432,4803000,198773,3.648552299,67.47189164,10.32777131,63264,52543,12.07155883,52.63646245,57.37298131,11.8958734,54.81881499,23.3415395,65.77249765,10.38968712,2.420874357,60.17495394,45.36597431,868,58.02249527,44.14694214,0.762041166,1.681491005,-11.22596018,-0.237559556,14.48277054,12.19991875,-0.28155586,75.460876,Place
Ames,Iowa,1901855,ames_IA,"Ames, Iowa",0.288908611,0.013305903,-93.648439,42.019322,1901855,65937,5.23542203,64.30052519,7.494760305,84248,46127,13.20957839,43.03162396,64.5570755,4.800227284,79.40155268,62.30481267,43.72804165,5.647753552,4.257810116,40.81131518,59.72783566,938,39.04145432,14.04700089,-2.810648579,-4.96489643,85.76806989,0.126112318,29.97378329,11.09645502,-0.38520679,68.030998,Place
Amsterdam,New York,3602066,amsterdam_NY,"Amsterdam, New York",0.302384659,0.012386992,-74.187804,42.943842,3602066,17927,10.02450958,58.24896693,14.50558454,45359,36326,5.321582034,52.11834311,56.65197968,21.98816538,63.42946291,14.77138549,94.66608167,20.23363411,2.298629045,49.55788851,61.58536673,806,32.12071609,18.36767387,9.631037925,3.492022488,-65.93470038,-18.14416205,-2.331789703,9.794063235,-1.0141686,36.270382,Place
Anaheim,California,602000,anaheim_CA,"Anaheim, California",0.358512871,-0.007279932,-117.906753,33.83326,602000,349668,5.628520995,67.22210646,13.04237843,74587,69443,36.64275706,54.23654318,61.78060174,11.75247282,24.77006763,25.48955083,70.291394,4.436487332,7.757441521,45.22387385,60.38339138,1654,38.53572464,39.62344742,1.340094749,2.989790972,-59.57750685,0.122006727,6.601547495,12.76473941,-3.6356916,2.6365693,Place
Anchorage,Alaska,2020,anchorage_AK,"Anchorage, Alaska",0.309575113,0.00892153,-149.893,61.215,0,296112,5.64256236,72.65968919,2.022623084,97571,83280,10.69460213,52.29280591,63.04067373,6.145975739,58.49441886,35.27141511,46.8560338,8.557596058,3.69836688,60.8567059,47.67261744,1498,41.02393341,26.72673988,1.066772247,-1.698912756,-35.31107129,2.77112861,13.76540151,12.59849304,-0.29966626,74.106552,County
Anderson,Indiana,1801468,anderson_IN,"Anderson, Indiana",0.30288878,0.015177279,-85.68157,40.09616,1801468,54788,8.824590594,56.46609068,12.33352348,43031,35985,2.925823256,49.71240759,57.84478188,21.09509259,75.32306314,15.21363854,79.54928875,17.15649366,2.003612518,56.63605928,57.35359192,728,41.07909012,40.73262024,10.29522109,-4.100214982,-74.18105752,-27.02400016,-8.280041517,10.91122647,-3.6011727,2.7291696,Place
Anderson,South Carolina,4501360,anderson_SC,"Anderson, South Carolina",0.306024454,0.007973525,-82.646075,34.519562,4501360,27129,6.312265992,58.41519833,19.22586113,47615,31897,3.346971795,52.50490904,53.05392742,21.3490501,61.67569757,23.02380353,64.46160674,12.54206151,4.081888676,47.21056223,52.01210976,723,52.51736069,42.88864136,5.959512431,4.213787165,-45.36747644,-18.47500856,6.329858117,10.20835855,-3.4836874,3.069402,Place
Ann Arbor,Michigan,2603000,annarbor_MI,"Ann Arbor, Michigan",0.330149626,0.015208154,-83.734003,42.275369,2603000,120641,4.595954344,61.63397431,8.325235546,105290,63956,19.36074793,41.589728,66.08698368,6.936307997,67.41323471,75.54239035,69.19981241,5.715356767,4.665707588,44.82015371,53.3847928,1285,33.38605881,24.14126968,2.302785789,-4.304903813,-39.95478565,-0.937952581,5.803164246,11.70057447,-1.1097076,32.965534,Place
Anniston,Alabama,101852,anniston_AL,"Anniston, Alabama",0.316503139,0.000141657,-85.817357,33.662483,101852,21924,11.57333925,50.45136213,22.00999856,42623,33688,2.253238484,47.18886018,56.87830448,25.6048739,41.57544374,20.51795423,77.24356055,20.09581625,2.876395226,58.91863108,58.19192529,607,39.61884689,41.82915878,5.473480184,-1.752098581,-20.31324546,-20.73142364,-9.688581315,9.995337206,-1.6582021,19.048115,Place
Antioch,California,602252,antioch_CA,"Antioch, California",0.328308297,0.010808075,-121.804649,37.992978,602252,110730,8.832202852,63.06920648,6.861555576,78023,71422,22.08705842,53.34271789,59.86272693,12.27122247,28.95511687,20.95644623,42.2842443,4.631131515,5.125871658,60.27799249,59.65921879,1759,28.4461937,18.8012886,5.758157728,-5.098155723,-81.11939459,-19.14049656,22.3103433,11.61485008,-3.7425091,2.369458,Place
Apple Valley,California,602364,applevalley_CA,"Apple Valley, California",0.335982296,0.022307869,-117.214121,34.502793,602364,72359,10.45751646,52.72331834,5.593545735,58778,53023,9.513674676,48.19336236,53.13782692,13.99531364,49.36497211,16.97542816,26.64344013,7.496458292,4.471644402,64.46753144,57.29683638,1124,16.94587135,14.03240013,0.721957243,-3.066533388,-36.07838198,-12.52291337,33.40769557,11.18939512,-4.1343398,1.6013237,Place
Appleton,Wisconsin,5502375,appleton_WI,"Appleton, Wisconsin",0.28735242,0.007551227,-88.399176,44.273615,5502375,74234,3.689090535,69.52810287,21.31298631,72253,56459,7.060107589,50.47052503,60.04795432,7.923201472,81.27273321,31.88402951,65.63528776,4.131007195,2.523955345,65.1570797,40.87427258,910,39.23285675,23.51855659,4.589680757,-2.439729372,-32.95504981,-15.11916207,5.916931813,11.21497755,-0.8281408,43.686073,Place
Arcadia,California,602462,arcadia_CA,"Arcadia, California",0.353201456,0.009138727,-118.040697,34.131281,602462,58207,4.81518209,59.57518816,8.599910885,104492,92102,48.67284,45.48698962,57.98099637,7.656868547,21.88224792,53.14389467,72.41249084,8.878196031,11.60452557,59.01843309,51.31807923,1768,20.21078873,12.4903965,0.952563678,2.106970306,-58.68333919,5.148805227,9.712745505,10.9717609,-5.4286699,0.4388929,Place
Arlington Heights,Illinois,1702154,arlingtonheights_IL,"Arlington Heights, Illinois",0.340468558,0.008068392,-87.98013,42.101144,1702154,75724,3.31399776,66.49542451,12.40665242,118547,90835,18.73646379,39.92430866,57.6092124,2.310036309,81.66367412,57.57510662,69.45613027,4.584958404,3.853140354,74.41261411,37.94409633,1480,46.17294312,49.12101746,0.741542161,-1.049450041,-54.7419299,-5.88418603,-0.403782668,11.23485043,-4.8357792,0.79404992,Place
Arlington,Texas,4804000,arlington_TX,"Arlington, Texas",0.339144201,0.008664189,-97.120066,32.694964,4804000,392462,4.929503426,69.04783249,10.29318497,68306,58502,20.84685862,54.46298718,60.75008512,11.91566363,39.10595179,29.46045101,37.77915239,8.150406182,2.693924904,55.2487731,52.39227414,1076,42.55747986,45.18492508,4.577156306,-4.930494873,-72.15033571,-18.30077947,17.8674291,12.880195,-2.9170103,5.4095173,Place
Arlington,Virginia,51013,arlington_VA,"Arlington, Virginia",0.303514468,-0.00164043,-77.100823,38.874901,0,231803,2.93615777,78.67462635,2.189244702,154204,117374,23.63213599,48.12506437,70.94558477,4.383448511,61.75674796,74.56127405,58.12669992,7.399809361,5.703136921,43.45467687,38.96623552,2085,49.47138596,36.78302383,-0.596126959,3.796579082,-57.72158411,31.13309732,22.35382918,12.35364315,-3.2764285,3.7762885,County
Arvada,Colorado,803455,arvada_CO,"Arvada, Colorado",0.326101797,0.019387243,-105.107321,39.822335,803455,117251,3.816851228,69.65249777,8.75216797,99993,80055,5.389292911,42.99399257,60.12997627,3.565513715,79.83385921,39.53953981,57.51866698,2.731991746,4.400724411,73.77742529,51.14151239,1407,45.47454834,26.70560646,0.080345361,-2.53854564,-54.90101877,6.003019452,14.7797911,11.67207222,-3.1908348,4.1137514,Place
Asheville,North Carolina,3702140,asheville_NC,"Asheville, North Carolina",0.344570204,-0.00557981,-82.553662,35.573014,3702140,90531,3.482801095,64.15990591,7.832156122,68578,47803,7.06608817,42.25684702,62.16986179,7.507082075,77.85509825,47.75955677,58.17433596,10.30787155,5.072903156,49.5546788,52.83095837,1031,41.99603653,28.54236031,-2.765542157,2.859389777,-62.17725812,4.475163083,31.41575578,11.41344761,-1.6034153,20.120817,Place
