year,GeoFIPS,total_obligated_amount
2015,12119,129344742.0
2015,12123,28430439.0
2015,12125,40909422.0
2015,12127,120788818.5
2015,12131,36432120.0
2015,13009,7504732.0
2015,13015,28794628.89
2015,13021,242086878.0
2015,13023,1499999.0
2015,13029,375000.0
2015,13031,9808820.0
2015,13033,14330610.0
2015,13035,31827452.0
2015,13045,4594983.0
2015,13047,6787706.0
2015,13051,380264911.17
2015,13057,4548107.0
2015,13059,403609934.98
2015,13063,38292352.0
2015,13067,66441589.230000004
2015,13071,188161675.42
2015,13073,375000.0
2015,13075,189000.0
2015,13077,343700.0
2015,13083,180410993.0
2015,13087,650760.0
2015,13089,5805031561.76
2015,13095,201355485.29
2015,13097,154480.0
2015,13099,142278973.0
2015,13107,224317287.16
2015,13109,373548.0
2015,13111,126055461.0
2015,13113,23676276.0
2015,13115,14400543.0
2015,13117,109714124.0
2015,13121,40692198082.46
2015,13127,90821655.0
2015,13133,90358855.0
2015,13135,40459430.0
2015,13139,366060123.0
2015,13141,11194457.98
2015,13153,124133356.0
2015,13155,95444648.0
2015,13157,647884.0
2015,13159,3522622.0
2015,13167,228684380.0
2015,13175,39948164.0
2015,13185,48428095.0
2015,13195,263288860.0
2015,13207,5064974.0
2015,13215,321293756.52
2015,13217,3199145.0
2015,13225,71293563.25
2015,13227,7138950.0
2015,13237,13666772.0
2015,13243,9865997.64
2015,13245,746262237.75
2015,13247,3329176.0
2015,13259,346917928.0
2015,13261,2690108.0
2015,13279,300000.0
2015,13285,63092582.0
2015,13299,294308194.0
2015,13303,17686758.0
2015,13313,9654552.0
2015,15001,267917868.88
2015,15003,8905898075.52
2015,15007,97168084.01
2015,15009,373187278.06
2015,16001,7585519346.74
2015,16003,57636522.0
2015,16005,189284559.85999998
2015,16009,81153945.0
2015,16011,49557816.56
2015,16019,44192014.8
2015,16021,123140464.0
2015,16027,621686988.04
2015,16037,3081085.0
2015,16039,82958568.0
2015,16049,825000.0
2015,16055,159018191.0
2015,16057,80612483.25999999
2015,16065,75297435.0
2015,16069,108338819.67
2015,16075,278586053.0
2015,16083,384320615.0
2015,16085,600000.0
2015,17001,10656099.0
2015,17003,126830156.0
2015,17009,19441063.0
2015,17011,1318032.0
2015,17013,342650.0
2015,17015,500000.0
2015,17017,88325376.0
2015,17019,543961151.23
2015,17025,90145.0
2015,17027,1819227.0
2015,17029,365216.0
2015,17031,18111156035.9
2015,17035,19212677.0
2015,17037,1553968.0
2015,17043,314829847.74
2015,17045,1126320.0
2015,17049,49851883.6
2015,17053,600000.0
2015,17055,131655439.0
2015,17063,332949.0
2015,17071,41218672.0
2015,17073,624998.0
2015,17077,76037647.43
2015,17081,8475198.48
2015,17083,350000.0
2015,17089,330780378.43
2015,17091,16076074.87
2015,17095,33198528.0
2015,17097,371088915.79
2015,17099,1452341.0
2015,17103,1487149.0
2015,17107,17099629.0
2015,17111,22362154.75
2015,17113,176545072.45
2015,17115,180499223.07999998
2015,17117,76027894.0
2015,17119,190748456.91
2015,17121,42821024.0
2015,17129,922137.0
2015,17135,99987.0
2015,17137,927165.0
2015,17143,118600802.69
2015,17153,50249510.0
2015,17157,12012162.0
2015,17161,56684584.0
2015,17163,1131737750.0
2015,17167,120898903406.48
2015,17177,6827447.0
2015,17179,16235063.0
2015,17181,137785620.0
2015,17183,20396033.0
2015,17185,650000.0
2015,17187,25694852.0
2015,17193,23401651.0
2015,17195,97603647.48
2015,17197,157717252.25
2015,17199,175043696.0
2015,17201,420032163.06
2015,18001,1385458.0
2015,18003,219067810.64
2015,18005,45289178.480000004
2015,18011,1203534.0
2015,18017,15434191.73
2015,18019,87190581.0
2015,18029,11786970.0
2015,18031,749193.0
2015,18033,25213060.0
2015,18035,231153855.0
2015,18037,8332969.0
2015,18039,161485589.0
2015,18041,5450958.92
2015,18043,16423672.0
2015,18045,29909252.0
2015,18053,30278523.0
2015,18057,4923941.35
2015,18059,875000.0
2015,18065,10368737.21
2015,18067,35932925.41
2015,18069,8195936.0
2015,18075,31310548.85
2015,18077,22659310.0
2015,18081,129054880.0
2015,18083,36929695.0
2015,18085,20385509.0
2015,18089,319942197.0
2015,18091,32357161.12
2015,18093,15703412.0
2015,18095,50100470.0
2015,18097,66290591255.67
2015,18099,27263763.12
2015,18105,1858028705.69
2015,18113,189000.0
2015,18123,15577538.0
2015,18127,375433328.75
2015,18133,19724568.0
2015,18137,500000.0
2015,18139,175000.0
