category
population_white_non_hispanic
population_black_non_hispanic
population_hispanic_or_latino
population_asian_non_hispanic
population_native_hawaiian_or_pacific_islander_non_hispanic
population_american_indian_or_alaska_native_non_hispanic
population_multiple_races_non_hispanic
population_other_non_hispanic
