GeoFIPS,GeoName,urban_housing,rural_housing,urban_pop,rural_pop,rural_pop_prct,rural_housing_prct
10180,"Abilene, TX (MA)",-0.05724277744516992,-0.07006605337703764,-0.05488307050989494,-0.06459376775549275,0.09580834798801319,0.08769777357313568
10420,"Akron, OH (MA)",0.003802672362945403,-0.026087733430932736,-0.0028974696204953077,-0.025096985239099312,-0.16750356839268665,-0.17054382714910032
10500,"Albany, GA (MA)",-0.05931964954489832,-0.06864232062979958,-0.05757229441199596,-0.06732213321974823,0.15734117007352189,0.13785501185180427
10540,"Albany-Lebanon, OR (MA)",-0.06140937026666504,-0.09739064941294717,-0.058350953117479065,-0.0887296692379893,0.10987784900719677,0.10323481219050334
10580,"Albany-Schenectady-Troy, NY (MA)",0.01587349533250415,0.2008873871295629,0.006398454726373792,0.1546591274037179,-0.05296813069432593,-0.04431633403333879
10740,"Albuquerque, NM (MA)",0.023218135627286474,-0.008512507465966213,0.01812710469191381,-0.0058560880720543995,-0.18527515279867401,-0.1833449116780247
10780,"Alexandria, LA (MA)",-0.061167540130160125,-0.038338467285164435,-0.058997664115292836,-0.03861753886988151,0.2796627704697916,0.26321863208762486
10900,"Allentown-Bethlehem-Easton, PA-NJ (MA)",0.003339548741291498,0.15264481504359928,0.003976635483996294,0.13153008386222576,-0.061751123068697567,-0.0414701566578739
11020,"Altoona, PA (MA)",-0.05943050312491638,-0.11313631988642736,-0.05766494392486876,-0.10948410388559904,0.005060152671333418,-0.007039666477716255
11100,"Amarillo, TX (MA)",-0.04567565730285117,-0.09019177728604844,-0.044142904904419744,-0.08434959737741388,-0.09823531480590775,-0.09920737949925573
11180,"Ames, IA (MA)",-0.06082063366444912,-0.10109282927818608,-0.05824633044890304,-0.09603768107641508,0.07833982242852655,0.07268634726873913
11260,"Anchorage, AK (MA)",-0.03541516530318134,-0.018706294807904977,-0.032736940369513245,-0.0517707932172955,-0.10776759287273918,-0.044608763671927676
11460,"Ann Arbor, MI (MA)",-0.03590791150441153,-0.06486536015888322,-0.035222069392059296,-0.05523805093944878,-0.1003289821248805,-0.10848771065123675
11500,"Anniston-Oxford, AL (MA)",-0.061517313787424865,-0.09093679415629752,-0.05944770942623201,-0.0913206251630363,0.13727646171946106,0.1297828229228848
11540,"Appleton, WI (MA)",-0.05213056146208772,-0.0414437299534568,-0.049820775652053784,-0.03501536891292223,0.07334175994170966,0.06803697386861796
11700,"Asheville, NC (MA)",-0.029371656008171154,0.14397346582094928,-0.03413461844780907,0.0899099890035926,0.08281004830454552,0.09090475578986745
12020,"Athens-Clarke County, GA (MA)",-0.054527736400768245,-0.0508933801753082,-0.052308387989881244,-0.04118678208336679,0.10187632838292493,0.08469203580076856
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",0.4558722651910878,0.7568567229323628,0.45351444247821404,0.7833558953706603,-0.1652406733304067,-0.1637128529446764
12100,"Atlantic City-Hammonton, NJ (MA)",-0.03983951726622248,-0.10621941998398965,-0.04295329089369171,-0.09381507123635524,-0.12792495384284153,-0.16222414124198337
12220,"Auburn-Opelika, AL (MA)",-0.05586071612812582,-0.09001178612943417,-0.053837308058558464,-0.08548468552544097,0.013115316455706738,0.00740225999055899
12260,"Augusta-Richmond County, GA-SC (MA)",-0.020308022818472105,0.13389596870301768,-0.02091969999935206,0.11388807716416083,0.019972599204246322,0.03170991678664126
12420,"Austin-Round Rock-Georgetown, TX (MA)",0.1491353807536424,0.2737395265144078,0.13866008967260757,0.3123543516699414,-0.15585240069895911,-0.164631873583998
12540,"Bakersfield, CA (MA)",-0.0032639022807908757,0.019202549788324585,0.014461987840932888,0.041477282538730176,-0.14713340575581402,-0.12086965415881501
12580,"Baltimore-Columbia-Towson, MD (MA)",0.20919346389092497,0.3020289856631473,0.19387320222556048,0.3320796554896295,-0.18029732623023587,-0.18477771822989042
12620,"Bangor, ME (MA)",-0.06233470326978119,0.014084996446220854,-0.06033533678132563,-0.016778635679666087,0.3736569650278958,0.3898934133226801
12700,"Barnstable Town, MA (MA)",-0.02819652876351353,-0.15382080571431744,-0.04408415633625973,-0.1512771752114771,-0.27186362055307156,-0.27009848025406846
12940,"Baton Rouge, LA (MA)",0.006245545464424573,0.17870522137042322,0.002491290302689464,0.16945364223908221,-0.03161692824658224,-0.03296192176627377
12980,"Battle Creek, MI (MA)",-0.05972689166078837,-0.09247254610080413,-0.05769985507794673,-0.0897401028439958,0.08655701608458699,0.07555597979279849
13020,"Bay City, MI (MA)",-0.06119085884231934,-0.114885722731628,-0.059462786249694255,-0.11207916303468335,0.044631501902936854,0.0260961089644951
13140,"Beaumont-Port Arthur, TX (MA)",-0.0348698674626321,-0.02776189859197864,-0.034710130988636956,-0.02095587153367351,-0.05079353825581878,-0.059955705333438414
13220,"Beckley, WV (MA)",-0.06314729415664755,-0.06224265501067505,-0.06114925555703721,-0.06598745612983015,0.29683567002917566,0.2743642064278793
13380,"Bellingham, WA (MA)",-0.05122592332726417,-0.05839531660435193,-0.050350351821807915,-0.053825745058869834,0.04028358867672366,0.021009429648956246
13460,"Bend, OR (MA)",-0.05444985957863413,-0.03169998378055605,-0.05259496959513332,-0.06538131695972438,0.04836438670419141,0.12346273824090903
13740,"Billings, MT (MA)",-0.05447293426170163,-0.07881195380276462,-0.0528745152487724,-0.084465125254235,-0.00039245253081188203,0.016917136307720515
13780,"Binghamton, NY (MA)",-0.05028841026638664,-0.013230014073049023,-0.04999930271766084,-0.02538179371425009,0.09556340110183514,0.09481071911558137
