GeoFIPS,GeoName,2017,2018,2019,2020,2021
16700,"Charleston-North Charleston, SC (MA)",41712863.0,43397855.0,45108303.0,44302237.0,46532802.0
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",168119917.0,171575711.0,177257582.0,179456155.0,190503528.0
16820,"Charlottesville, VA (MA)",13408130.0,13679393.0,13743783.0,13188918.0,14344675.0
16860,"Chattanooga, TN-GA (MA)",29616001.0,29878030.0,30328402.0,30203799.0,32135319.0
16940,"Cheyenne, WY (MA)",5428708.0,5727043.0,6009411.0,5664112.0,5986116.0
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",674568186.0,691185754.0,697333633.0,659808286.0,696359946.0
17020,"Chico, CA (MA)",9181452.0,9272932.0,9447628.0,8878582.0,9070391.0
17140,"Cincinnati, OH-KY-IN (MA)",145242197.0,145312363.0,152466652.0,149378970.0,155513292.0
17300,"Clarksville, TN-KY (MA)",12303121.0,12435834.0,12615947.0,12692257.0,13491471.0
17420,"Cleveland, TN (MA)",4678425.0,4720435.0,4722087.0,4866520.0,5103060.0
17460,"Cleveland-Elyria, OH (MA)",128644607.0,130644968.0,133967383.0,129098200.0,135547013.0
17660,"Coeur d'Alene, ID (MA)",6045951.0,6422914.0,6575138.0,6883769.0,7661498.0
17780,"College Station-Bryan, TX (MA)",12461621.0,12996849.0,13580356.0,13563901.0,14174399.0
17820,"Colorado Springs, CO (MA)",35086959.0,36241661.0,37712025.0,38854813.0,40926166.0
17860,"Columbia, MO (MA)",9957674.0,10019553.0,10422519.0,10111109.0,10610366.0
17900,"Columbia, SC (MA)",41010232.0,41651691.0,42416718.0,42243846.0,44430065.0
17980,"Columbus, GA-AL (MA)",14601270.0,14626897.0,14869675.0,14714617.0,14919089.0
18020,"Columbus, IN (MA)",6366981.0,6845733.0,6780298.0,6283094.0,6538720.0
18140,"Columbus, OH (MA)",129945459.0,131537720.0,135606719.0,134047931.0,143197874.0
18580,"Corpus Christi, TX (MA)",21073008.0,21758642.0,22343137.0,21358158.0,22092132.0
18700,"Corvallis, OR (MA)",4318847.0,4519396.0,4601570.0,4518078.0,4721965.0
18880,"Crestview-Fort Walton Beach-Destin, FL (MA)",14385761.0,14991042.0,15862463.0,16298081.0,17870178.0
