GeoFIPS,GeoName,agri_forestry_mining,construction,manufacturing,wholesale_trade,retail_trade,transport_utilities,information,finance_real_estate,prof_sci_mgmt_admin,education_health,arts_entertainment,other_services,public_admin
10180,"Abilene, TX (MA)",0.0300235954339646,0.0705184618327912,0.0686308271156176,0.0187360499968114,0.1227345194821758,0.0569861615968369,0.0104457623876028,0.0707607933167527,0.0697149416491295,0.2859894139404375,0.0839104648938205,0.0490147312033671,0.0625342771506919
10420,"Akron, OH (MA)",0.0052313165243892,0.0614276084358165,0.1507366894574952,0.0291843451366033,0.1184905938266499,0.0511632386012813,0.0149773696702599,0.0627729659610384,0.100876323406955,0.2354319022505707,0.092645567684229,0.0463794304747554,0.0306826485699557
10500,"Albany, GA (MA)",0.0270741230759301,0.0564393817160928,0.0949046435832069,0.0277356481332085,0.1189615670076478,0.0579721836780793,0.0120526638484623,0.0443544483526412,0.0832876181870986,0.2661912291458259,0.0820291071025202,0.0533899125496143,0.0756074736196715
10540,"Albany-Lebanon, OR (MA)",0.0485436893203883,0.0758648487609968,0.131260733938523,0.0174021240054677,0.1125617749114997,0.0541516245487364,0.0065717990957204,0.04120079913077,0.0757596999754652,0.2410185412358487,0.0744979145490869,0.0539939013704391,0.0671725491570572
10580,"Albany-Schenectady-Troy, NY (MA)",0.0069030174353885,0.0550945981253828,0.0790114457474207,0.0193763132529591,0.1017646167661646,0.0427179094220479,0.0174375841195469,0.0722687082970141,0.117621357198218,0.2673009070090657,0.0784779110028916,0.0446610297879254,0.0973646018359743
10740,"Albuquerque, NM (MA)",0.0125182403176805,0.0706121570222232,0.0442480204769992,0.0220247350668612,0.1069803602612252,0.0403774848695069,0.0160993230150946,0.0583690165777575,0.1398535990239935,0.2606248355381192,0.0991483864794392,0.0552257015046767,0.0739181398464225
10780,"Alexandria, LA (MA)",0.0293577688734215,0.0792931147331619,0.061700802988458,0.0261170798678182,0.1040692198400408,0.0534633865998307,0.0082374163886272,0.0398780351526955,0.0669529541354703,0.2980156766335148,0.106032790025702,0.0489455787742852,0.0779361759869733
10900,"Allentown-Bethlehem-Easton, PA-NJ (MA)",0.0060614657210401,0.0571631205673758,0.13403073286052,0.0318676122931442,0.111966903073286,0.0789858156028368,0.018853427895981,0.0519692671394799,0.0943971631205673,0.25625768321513,0.0810260047281323,0.0459338061465721,0.0314869976359338
11020,"Altoona, PA (MA)",0.0106429998408853,0.0662447182787334,0.1052808372964658,0.0325831373866308,0.138765624171278,0.0671286883651857,0.0119512755688347,0.0326008167883598,0.0785849406856072,0.2600639994342591,0.0996234287431713,0.0491487368067464,0.0473807966338419
11100,"Amarillo, TX (MA)",0.0238147949017995,0.0874711407697903,0.1073168031879566,0.0288196970176159,0.1113491887788987,0.0636484392295771,0.0095512192036433,0.0542237262405515,0.0795249691641101,0.2376498307979379,0.0901989310224864,0.0515591890951643,0.0548720705904677
