GeoFIPS,GeoName,urban_housing,rural_housing,urban_pop,rural_pop,rural_pop_prct,rural_housing_prct
15180,"Brownsville-Harlingen, TX (MA)",131155.0,23750.0,346996.0,74021.0,0.1758147533235,0.1533197766372938
15260,"Brunswick, GA (MA)",34241.0,22673.0,68872.0,44623.0,0.3931715053526587,0.3983729838001195
15380,"Buffalo-Cheektowaga, NY (MA)",468781.0,70122.0,1004793.0,162109.0,0.1389225487658775,0.1301198917059285
15500,"Burlington, NC (MA)",53874.0,19511.0,126085.0,45330.0,0.2644459353032115,0.2658717721605232
15540,"Burlington-South Burlington, VT (MA)",59948.0,41044.0,135817.0,89745.0,0.3978728686569546,0.4064084283903675
15680,"California-Lexington Park, MD (MA)",20459.0,25101.0,49215.0,64562.0,0.5674433321321533,0.5509438103599649
15940,"Canton-Massillon, OH (MA)",143772.0,36422.0,319531.0,82043.0,0.204303565469876,0.2021265968900185
15980,"Cape Coral-Fort Myers, FL (MA)",401318.0,15014.0,730937.0,29885.0,0.0392798841253276,0.0360625654525715
16020,"Cape Girardeau, MO-IL (MA)",24823.0,18856.0,55559.0,41958.0,0.4302634412461417,0.431694864809176
16060,"Carbondale-Marion, IL (MA)",37305.0,27782.0,70879.0,62556.0,0.4688125304455353,0.426844070244442
16180,"Carson City, NV (MA)",23693.0,871.0,55133.0,3506.0,0.059789559849247,0.0354583943983064
16220,"Casper, WY (MA)",31193.0,5615.0,67751.0,12204.0,0.1526358576699393,0.1525483590523799
16300,"Cedar Rapids, IA (MA)",92522.0,28655.0,208958.0,67562.0,0.2443295240850571,0.2364722678396065
16540,"Chambersburg-Waynesboro, PA (MA)",37886.0,28482.0,86571.0,69361.0,0.444815688890029,0.4291526036644166
16580,"Champaign-Urbana, IL (MA)",81871.0,18564.0,179013.0,43525.0,0.1955845743198914,0.1848359635585204
16620,"Charleston, WV (MA)",65588.0,61182.0,127648.0,131211.0,0.5068821250178669,0.4826220714680129
16700,"Charleston-North Charleston, SC (MA)",310827.0,49288.0,688144.0,111492.0,0.1394284399401728,0.1368673895838829
16740,"Charlotte-Concord-Gastonia, NC-SC (MA)",907517.0,200646.0,2176395.0,483934.0,0.1819075760930321,0.1810618113039327
16820,"Charlottesville, VA (MA)",53410.0,44756.0,123394.0,98130.0,0.4429768332099456,0.4559216021840556
16860,"Chattanooga, TN-GA (MA)",181614.0,65652.0,408695.0,153952.0,0.273620938172602,0.2655116352430176
16940,"Cheyenne, WY (MA)",35732.0,8449.0,79250.0,21262.0,0.2115369309137217,0.1912360516964306
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MA)",3829146.0,114799.0,9328490.0,290012.0,0.0301514726513546,0.0291076574343709
17020,"Chico, CA (MA)",70214.0,19919.0,167154.0,44478.0,0.2101667044681333,0.2209956397767743
17140,"Cincinnati, OH-KY-IN (MA)",810520.0,146938.0,1897153.0,359731.0,0.1593927733990759,0.1534667839215923
17300,"Clarksville, TN-KY (MA)",91555.0,37560.0,232643.0,87892.0,0.2742040650786965,0.2909034581574565
17420,"Cleveland, TN (MA)",30584.0,22758.0,73918.0,52246.0,0.4141117910021876,0.4266431704847962
17460,"Cleveland-Elyria, OH (MA)",887314.0,80755.0,1881903.0,206348.0,0.0988137920202121,0.0834186406134273
17660,"Coeur d'Alene, ID (MA)",54905.0,19831.0,131072.0,40290.0,0.2351163034978583,0.2653473560265468
17780,"College Station-Bryan, TX (MA)",86504.0,27979.0,206137.0,62111.0,0.2315431988309325,0.2443943642287501
17820,"Colorado Springs, CO (MA)",266405.0,34370.0,665390.0,89715.0,0.1188112911449401,0.1142714653810988
17860,"Columbia, MO (MA)",66200.0,25285.0,149865.0,60999.0,0.2892812428864102,0.2763841066841558
17900,"Columbia, SC (MA)",278924.0,87374.0,636462.0,193008.0,0.2326883431588846,0.2385325609203435
17980,"Columbus, GA-AL (MA)",106553.0,37144.0,241156.0,87727.0,0.2667422761285928,0.2584883470079403
