parcel_id,date,project_name,address,neighborhood,ward,downtown_yn,housing_units,car_parking,bike_parking,parcel_area,university_yn,res_parking_elim_2015_yn,res_parking_reduced_2015_yn
1702824230149,2012-01-09,The Waters on 50th,3500 W 50th St,Fulton,13,False,90,74,10,70852.13251211,False,False,False
3302924440371,2012-02-06,Lime,2900 Lyndale Ave S,Lowry Hill East,10,False,171,171,90,51127.96544799,False,True,True
2302924410220,2012-02-06,Mill and Main Phase I,501 Main St SE,St. Anthony Main,3,False,180,188,195,56256.45732136,True,False,False
0802824420029,2012-02-06,Linden Corner,4242 Upton Ave S,Linden Hills,13,False,40,60,20,3570.00053811,False,False,False
3302924430211,2012-02-21,The Walkway,1312 W Lake St,Lowry Hill East,10,False,92,107,46,36534.35686651,False,True,True
2202924131156,2012-03-05,Dock St Flats,337 Washington Ave N,North Loop,3,True,185,190,185,55150.70922888,False,False,False
2502924320620,2012-03-26,,620 20th Ave S,Cedar Riverside,6,False,4,8,4,1943.33288806,True,False,True
3502924430217,2012-03-26,Spirit on Lake,1238 E Lake S,Phillips,9,False,46,43,22,14282.69946366,False,True,True
2302924410215,2012-04-23,A Mill Artist Lofts,315 SE Main St,St. Anthony Main,3,False,255,204,383,145341.71898817,True,False,True
2202824210200,2012-04-23,Zest,5426 Nicollet Ave,Tangletown,11,False,45,58,46,19937.26812622,False,True,True
2202924410104,2012-04-23,Vèlo Flats,103 2nd St N,North Loop,3,True,106,136,106,29285.92893239,False,False,True
2402924310005,2012-05-21,The Knoll,1101 University Ave SE,Marcy Holmes,3,False,95,125,256,43321.05807534,True,False,False
0302824320328,2012-06-11,,3535 Grand Ave S,Lyndale,8,False,30,28,19,15541.30160738,False,False,False
2502924110007,2012-06-11,The Station on Washington,616 Washington Ave SE,Stadium Village,2,False,98,49,160,1987.6650626,True,False,False
2502924220388,2012-06-11,7West,1800 Washington Ave S,Seven Corners,6,False,214,104,289,91841.43682277,True,False,False
2202924440064,2012-06-25,Soo Line Building,101 S 5th St,Downtown West,7,True,255,0,128,16415.23279323,False,False,True
0502824220155,2012-06-25,Be at The Calhoun Greenway,3129 Ewing Ave S,West Calhoun,13,False,185,398,336,118909.95956731,False,False,True
2202924240098,2012-07-16,District 600,600 N 5th St,North Loop,5,True,78,74,78,16116.57097706,False,False,True
3302924430217,2012-07-30,Elan Uptown I,2837 Emerson Ave S,Lowry Hill East,10,False,219,275,219,84576.41516941,False,False,True
3302924430219,2012-07-30,Elan Uptown II,2838 Emerson Ave S,Lowry Hill East,10,False,168,189,183,60605.83047213,False,False,True
3002923230157,2012-08-13,WaHu,1016 Washington Ave SE,Stadium Village,2,False,333,336,800,34095.79839333,True,False,False
2402924320011,2012-08-13,The Elysian,412 8th Ave SE,Marcy Holmes,3,False,56,43,147,6327.11630436,True,False,False
2402924420135,2012-08-27,The Marshall,1313 5th St SE,Marcy Holmes,3,False,326,449,790,159859.37786626,True,False,False
2602924110115,2012-08-27,Stonebridge Lofts,1102 2nd St S,Mill District,3,True,169,307,169,95367.97766255,False,False,False
0902924130170,2012-09-19,E&L Supermarket and Deli,1122 Lowry Ave N,Folwell,4,False,3,3,0,10923.17155042,False,True,True
2202924120786,2012-09-19,Solhavn,815 N 2nd St,North Loop,3,True,137,173,276,42800.3671453,False,False,False
0802824420031,2012-10-01,Linden 43,4250 Upton Ave S,Linden Hills,13,False,18,40,18,4864.00250877,False,False,False
2402924420062,2012-10-15,Gould Apartments,501 15th Ave SE,Marcy Holmes,3,False,16,45,130,21978.40597526,True,False,False
3002923130106,2012-10-29,44 North,2634 4th St SE,Prospect Park,2,False,194,125,403,45253.61173259,True,False,False
2402924240088,2012-10-29,,525 10th Ave SE,Marcy Holmes,3,False,10,12,30,10989.19991448,True,False,False
2402924420135,2012-10-29,The Marshall,1313 5th St SE,Marcy Holmes,3,False,317,332,790,159859.37786626,True,False,False
3602924220117,2012-10-29,,2304 Snelling Ave,Seward,6,False,60,37,37,27018.11306865,False,False,True
2202924430064,2012-12-03,City Place Lofts,730 Hennepin Ave,Downtown West,7,True,55,0,28,8520.93645914,False,True,True
