Unnamed: 0,parcel_id,date,project_name,address,neighborhood,ward,downtown_yn,housing_units,car_parking,bike_parking,parcel_area,university_yn,res_parking_elim_2015_yn,res_parking_reduced_2015_yn,distance_to_transit,census_tract_id
79,2402924320063,2013-05-06,Cozē Flats,628 University SE,Marcy Holmes,3,False,40,25,54,10989.20497945,True,False,False,1063.7411071804745,27053003800
80,1602924230206,2013-05-06,West Broadway Crescent,2022 W Broadway,Jordan,5,False,54,61,61,14051.12348435,False,False,True,344.6107814459432,27053102100
81,2402924130030,2013-05-20,,815 14th Ave SE,Marcy Holmes,3,False,36,34,100,21343.34057903,True,False,False,2250.218995498893,27053103900
82,2202924210054,2013-05-20,Gurley Candy Factory,900 N 3rd St,North Loop,3,True,30,13,30,19860.70320017,False,False,False,816.8190358912483,27053126200
83,2202924440094,2013-06-10,4Marq,400 Marquette Ave,Downtown West,3,True,262,217,262,15694.23498718,False,False,True,577.2557362517459,27053126100
84,3502924440255,2013-06-10,Greenway Heights,2845 Bloomington Ave,East Phillips,9,False,42,39,39,26987.75763187,False,False,True,343.4374986011075,27053125900
85,2402924420182,2013-06-24,The Venue at Dinkytown,1300 5th St SE,Marcy Holmes,3,False,140,62,247,44138.44707974,True,False,False,2247.9996949668716,27053103900
86,2402924420181,2013-06-24,,700 14th Ave SE,Marcy Holmes,3,False,202,174,643,41889.15049265,True,False,False,2420.8101702733843,27053103900
87,2402924420062,2013-08-26,Gould Apartments,1423 5th Street SE,Marcy Holmes,3,False,13,41,118,21978.40597526,True,False,False,2470.8291509592395,27053103900
88,2002924430140,2013-08-26,,296 Vincent Ave N,Bryn Mawr,7,False,3,6,0,7683.87094787,False,False,True,1084.4860609121831,27053105100
89,2202924240704,2013-09-16,The Cameron,756 4th St N,North Loop,3,True,44,33,22,30041.25266792,False,False,True,621.6706131801607,27053126200
90,2302924330032,2013-09-16,Latitude 45,301 Washington Ave S,Mill District,3,True,320,153,219,47858.16825943,False,True,True,58.85055499409728,27053126100
91,1702924110252,2013-10-28,Broadway Flats,2220 West Broadway,Jordan,5,False,103,96,76,80758.57714018,False,True,True,26.596347450549768,27053101300
92,2602924220434,2013-11-12,EDITION,511 4th St S,Mill District,3,True,125,101,102,36430.09202026,False,False,True,456.27375975828494,27053126100
93,2602924210141,2013-11-12,Wells Fargo Building 1,550 4th St S,Mill District,3,True,39,75,0,66966.47956791,False,False,True,308.18132094754975,27053126100
94,2602924210167,2013-11-12,Wells Fargo Building 2,650 4th St S,Mill District,3,True,39,75,0,66694.17607006,False,False,True,267.34754406767024,27053126100
95,0802824330179,2013-12-02,Elements of Linden Hills,4525 France Ave S,Linden Hills,13,False,31,41,36,18877.96568994,False,False,False,2563.953630937824,27053109800
96,0702823240218,2013-12-02,Dight Lofts,4140 Dight Ave,Hiawatha,12,False,12,22,12,10959.34553638,False,False,False,1006.481078321669,27053110400
97,2402924130005,2014-02-03,,1218 Como Ave SE,Como,2,False,8,11,23,4977.50950838,True,False,False,2008.0061150339127,27053104000
98,2302924340074,2014-02-03,Ceresota Building,155 5th Ave S,Mill District,7,True,57,0,29,50648.9754031,False,False,True,226.7134412676767,27053126100
99,0802824410335,2014-03-24,,4255 Sheridan Ave S,Linden Hills,13,False,3,6,0,8449.75954194,False,False,False,1079.726680981908,27053109100
100,2302924110313,2014-04-07,,700 Central Ave NE,Marcy Holmes,3,False,156,126,192,41625.77453385,True,True,True,83.35821933642758,27053103700
101,0702823210148,2014-04-23,,3965 Minnehaha Ave,Howe,12,False,1,2,3,5099.16772565,False,False,True,1008.1533684232016,27053110400
102,2702924240040,2014-05-05,,1346 LaSalle Ave,Loring Park,7,True,15,0,10,31170.07686024,False,False,True,319.42350428058444,27053105201
103,3302924340485,2014-05-05,16Twenty,1620 W Lake St,East Isles,10,False,6,6,2,11070.00100995,False,True,True,33.821540970444715,27053108000
104,2302924210470,2014-06-23,Corner Apartments,24 University Ave NE,St. Anthony Main,3,False,57,51,44,6891.47091581,False,True,True,38.83110357722048,27053103600
105,3202924440010,2014-06-23,,2622 W Lake St,Cedar Isles Dean,7,False,90,160,90,56276.22901828,False,True,True,88.01396100055061,27053106500
106,2302924310467,2014-07-14,Mill City Quarter Phase 1,300 S 2nd St,Mill District,3,True,150,194,150,49742.0518483,False,True,True,80.50425613615893,27053126100
107,2402924310086,2014-07-14,Riverton Community Housing,1227 4th St SE,Marcy Holmes,3,False,66,28,95,25641.47296309,True,False,False,2111.7031546911094,27053103900
108,1702924410001,2014-07-14,Commons at Penn Ave,1823 Penn Ave N,Willard-Hay,5,False,45,43,31,5193.29750501,False,True,True,17.383161642866682,27053002700
109,0802824420032,2014-07-14,linden 43,4250 Upton Ave S,Linden Hills,13,False,20,38,20,20184.29592507,False,False,False,1212.4902966414986,27053109100
110,3302924110017,2014-08-11,Theater Garage Apartments,2004 Lyndale Ave S,Lowry Hill East,10,False,82,91,118,14344.19457223,False,True,True,50.84929425189528,27053106700
111,3302924110099,2014-08-25,The Famous Orthghazi Project,2320 Colfax,Lowry Hill East,10,False,42,38,48,8824.59977938,False,True,True,35.80817268695682,27053106700
112,2302924340720,2014-09-29,Mill City Quarter Phase 2,428 S 2nd St,Mill District,3,True,149,179,38,56514.6215271,False,False,True,230.9055791503488,27053126100
113,2602924120970,2014-10-27,The Encore,935 S 2nd St,Mill District,3,True,124,182,124,31445.98362038,False,False,True,321.36897608689253,27053126100
114,3302924340030,2014-11-10,Lagoon and Irving Apartments,1609 Lagoon Ave,East Isles,7,False,45,48,48,5534.99961139,False,True,True,91.97896983540726,27053108000
115,2602924230764,2014-11-10,Portland Tower,516 8th St S,Elliot Park,7,True,112,201,112,27256.2802702,False,False,True,415.46359981424206,27053105400
116,2202924120015,2015-01-26,NoLo,602 N 1st St,North Loop,3,True,30,55,55,7668.4294037,False,False,False,1121.0294690523883,27053126200
117,3302924330177,2015-03-16,Seventeen10,1710 W Lake St,East Isles,7,False,7,5,7,11070.00012203,False,True,True,33.940675412603824,27053108000
118,3002923240161,2015-04-27,Brickhouse Lofts/Max Apartments,150 26th Ave SE,Prospect Park,2,False,313,167,480,108900.07121731,True,False,False,1901.358144506379,27053104900
119,2402924210039,2015-04-27,,721 8th St SE,Marcy-Holmes,3,False,33,20,42,5503.85135422,True,False,False,1215.7349209658282,27053003800
120,0102824210127,2015-05-11,L&H Station Phase I,2225 E Lake St,Corcoran,9,False,115,94,115,276805.95221718,False,True,True,164.260312802608,27053108700
121,3302924330177,2015-05-11,Seventeen10,1710 W Lake St,East Isles,7,False,7,5,7,11070.00012203,False,True,True,33.940675412603824,27053108000
122,1002924320199,2015-06-01,Hawthorne EcoVillage Apartments,617 Lowry Ave N,Hawthorne,5,False,75,69,65,55566.4276037,False,False,False,785.6890099981955,27053101600
123,0302824320328,2015-06-01,,3535 Grand Ave S,Lyndale,8,False,24,18,24,15541.30160738,False,False,False,678.4489042444995,27053109300
124,1102924320173,2015-06-01,Western Line on Second,2415 2nd St NE,Bottineau,3,False,7,7,7,732.63708752,False,True,True,39.52136712050653,27053001700
125,2602924440097,2015-06-15,Anishinabe Bii Gii Wiin,1600 E 19th St,Ventura Village,6,False,32,20,20,54919.66870118,False,True,True,111.99459310931664,27053106000
126,2302924120247,2015-07-06,Nord Haus,315 1st Ave NE,St. Anthony Main,3,False,278,290,241,137224.3030584,False,True,True,89.4168577392553,27053103600
127,2302924340721,2015-07-06,East End,233 Park Ave,Mill District,3,True,183,159,183,19148.14386194,False,True,True,71.69753896961518,27053126100
128,2702924320031,2015-07-06,Episcopal Commons,1730 Clifton Place,Loring Park,7,True,59,60,30,45419.7961524,False,True,True,194.1666086879922,27053105600
129,2202924240106,2015-07-06,Variant,314 6th Ave N,North Loop,3,True,143,156,71,33786.56576971,False,False,True,615.9505727985704,27053126200
130,0102824210122,2015-07-20,,3120 24th Ave S,Corcoran,9,False,135,151,92,112333.70039414,False,False,True,461.7637760889895,27053108700
131,0702823230014,2015-07-20,,4041 Hiawatha Ave,Longfellow,12,False,78,71,78,79249.23745253,False,False,True,868.6131231278936,27053110400
132,3302924430224,2015-07-20,,2809 Girard Ave S,Lowry Hill East,10,False,40,53,20,22201.48952276,False,True,True,169.6508046262247,27053007700
133,2702924130296,2015-08-03,City Club,1004 Marquette Ave,Downtown,7,True,293,0,215,22299.07877075,False,False,True,583.2198000198657,27053104400
134,2202924120015,2015-08-03,NoLo,602 N 1st St,North Loop,3,True,71,44,80,7668.4294037,False,False,False,1121.0294690523883,27053126200
135,3302924430228,2015-08-17,Revel,1300 W Lake St,Lowry Hill East,10,False,125,128,125,20720.69041969,False,True,True,65.55482083368021,27053007700
136,0802824420031,2015-09-08,linden 43,4250 Upton Ave S,Linden Hills,13,False,29,36,36,4864.00250877,False,False,False,1177.4575503949666,27053109100
137,2202924440129,2015-09-08,365 Nicollet,365 Nicollet Mall,Downtown,3,True,368,367,184,45030.49283032,False,False,True,553.0977668320313,27053126100
138,3402924420484,2015-10-05,,113 E 26th St,Whittier,10,False,70,46,67,29031.31233926,False,False,True,237.0458172460242,27053007801
139,2202924410140,2015-10-19,Maverick,100 Hennepin Ave,Downtown West,3,True,156,33,90,50217.45704584,False,True,True,225.55694710430757,27053126200
140,2202924410138,2015-10-19,Maverick,101 1st Ave N,North Loop,3,True,13,0,13,12709.34112102,False,False,True,259.41940460588285,27053126200
141,3002923130029,2015-12-07,The Link,2929 University Ave SE,Prospect Park,2,False,336,276,562,127074.26855032,True,False,False,2457.4960739486833,27053125600
