GeoFIPS,GeoName,mexican,puerto_rican,cuban,other_hispanic_latino,white,black_african_american,american_indian_alaska_native,asian,native_hawaiian_other_pacific_islander,other_race_races
10180,"Abilene, TX (MA)",0.13214765229925263,-0.05250142764867871,-0.01662702460947374,-0.05049115143516725,-0.04731742632112379,-0.04597881630485967,-0.034842803943997636,-0.050049052749618794,-0.032094370960920604,-0.047481617569373524
10420,"Akron, OH (MA)",-0.09727421502822864,-0.05228324461723466,-0.04251719288196987,-0.12363527107146943,0.09618800331864685,0.024685344669788778,-0.03827024818762137,0.008249073315078403,-0.03707171576643331,0.05221614405298736
10500,"Albany, GA (MA)",-0.0937718902750968,-0.06904536150799034,-0.022946200465991495,-0.09638326912048822,-0.24995956040909129,0.5821441098742286,-0.03670572281377904,-0.0683279848277486,-0.03330709030440304,-0.15425872465049884
10540,"Albany-Lebanon, OR (MA)",-0.015065529392003008,-0.08486343010703445,-0.04173996069211705,-0.10015251164629413,0.14440718307508438,-0.15436561910923552,-0.00546526852337148,-0.08729984508714828,-0.013999830522877454,0.1113543654900142
10580,"Albany-Schenectady-Troy, NY (MA)",-0.1009373974038551,0.0846748582882213,-0.016597409852883604,-0.033404485399658235,0.09706438660859162,-0.04849420668979809,-0.03756245550568882,0.05732621877671318,-0.033778539934226415,0.06787736041916248
10740,"Albuquerque, NM (MA)",0.21051241456977166,-0.049361880422379434,0.0035583304625128598,0.7715780432499602,-0.27817193299147747,-0.12555275772553498,0.29211185185551347,-0.039492899541577975,-0.02950966352933304,-0.04729038468480007
10780,"Alexandria, LA (MA)",-0.08587898740924726,-0.06792101452052857,-0.021100429405504273,-0.09885515952018176,-0.05012376597246204,0.2846394986325762,-0.0031119083827576555,-0.08038389549919989,-0.03766568126793568,-0.061695347871393746
10900,"Allentown-Bethlehem-Easton, PA-NJ (MA)",-0.09284595672216578,0.5350753216819584,0.011041134508966266,0.27033296059408185,0.025839697697898734,-0.08039617627648366,-0.04076075639143528,-0.011382248958817676,-0.032520101098132415,-0.08779087161759858
11020,"Altoona, PA (MA)",-0.1044968389783324,-0.05808211348820336,-0.03479884391678023,-0.13966256278295386,0.23606514525155076,-0.13545084172237742,-0.03956213084081017,-0.10313963066687337,-0.037468314744976694,-0.0959545235121193
11100,"Amarillo, TX (MA)",0.17925877114241207,-0.07800076235018272,-0.02613345584058724,0.04995723443701583,-0.09495168995155301,-0.06630659107130699,-0.017376014225075176,0.006272543342418224,-0.011855551554551091,-0.14284421662027957
11180,"Ames, IA (MA)",-0.07807358272820886,-0.08595225437654397,-0.039909440037489974,-0.12783176587563572,0.15821459461388532,-0.1276217949822438,-0.03632508133895851,0.11764581532004881,-0.030941707080322955,-0.049419768623145566
11260,"Anchorage, AK (MA)",-0.06225630223935552,-0.00282798349152813,0.007596695307851009,-0.006300297390360421,-0.05863498618663909,-0.09606911349418834,0.3806977517019621,0.1730541828373453,0.40606149612183384,0.5412219874805511
11460,"Ann Arbor, MI (MA)",-0.07679990726129704,-0.06576155567706665,-0.01847208817243462,-0.07114153751670171,0.009699877703665205,0.019663595274940437,-0.030324858646453845,0.2391161212332611,-0.03262964669252333,0.1504448968993508
11500,"Anniston-Oxford, AL (MA)",-0.08060478920930547,-0.04057872965411746,-0.03623444258439046,-0.12285406537205867,0.029830011941528012,0.16803137990673678,-0.033589967765267015,-0.09701918613947624,-0.005004028208521194,-0.09733987316761905
11540,"Appleton, WI (MA)",-0.0697972784037183,-0.07632046518520985,-0.046495949644735024,-0.11118809147668407,0.17710437743031293,-0.14124828569145476,0.024938052031464375,0.005532198688824819,-0.03538882262564291,-0.09436136854324118
11700,"Asheville, NC (MA)",-0.061774352359084794,-0.05188964237239646,-0.008751201910551454,-0.03236990881756974,0.15101658547532848,-0.09394755779266906,-0.026686021858207676,-0.08259610902189385,-0.023452130525791426,-0.0886781736290333
12020,"Athens-Clarke County, GA (MA)",-0.055794143621783254,-0.0371016669590547,0.012159826706793941,0.013212098409785655,-0.02736558990542448,0.1458235228077862,-0.038917360435791415,0.006239341601258719,-0.03227451775540524,-0.06251117176757925
12060,"Atlanta-Sandy Springs-Alpharetta, GA (MA)",-0.046480401833492224,-0.01577654054445976,0.010081716458358203,0.07211164186683994,-0.20916832004495656,0.35326666115817873,-0.03642054933650507,0.12382416920385864,-0.03085411962955842,-0.0021911466278974334
12100,"Atlantic City-Hammonton, NJ (MA)",-0.05292271320734132,0.3824655463649034,0.003134739475721071,0.2737140295572471,-0.11811320471815989,0.04656836068069059,-0.032006639890284294,0.18817165124434876,-0.02986582012659522,0.03883197997427934
12220,"Auburn-Opelika, AL (MA)",-0.08791344183868666,-0.059613332609336434,-0.016650131641471444,-0.08746318000893283,-0.010056410192057053,0.1837638891080422,-0.03565591629465292,0.04788193138674579,-0.03921529723769834,-0.09122326464748343
12260,"Augusta-Richmond County, GA-SC (MA)",-0.08096498890897863,0.009779883745900442,-0.021174157249669534,-0.06026790530005521,-0.13788769929407496,0.36801131235714934,-0.03814085439513659,-0.051538875264258155,-0.03316113246179975,0.05955715861184174
12420,"Austin-Round Rock-Georgetown, TX (MA)",0.18154545600642824,-0.028322713787093723,0.023622870127920415,0.13544554031703937,-0.16228312745148687,-0.052929798023451435,-0.03521416630546992,0.12203772362145537,-0.02843860045680935,-0.009275244577245823
12540,"Bakersfield, CA (MA)",0.41774213002894167,-0.0580184638869069,-0.03337031729775364,0.09128405021043218,-0.32493367690386765,-0.08137893214094949,-0.014590033784663392,0.06285574515623038,-0.013901289687635265,-0.07299624135199556
