GeoFIPS,GeoName,less_10k,10k_15k,15k_25k,25k_35k,35k_50k,50k_75k,75k_100k,100k_150k,150k_200k,200k_more
1001,"Autauga, AL",-0.04110790238942463,-0.024638745390775374,0.048399026820186375,-0.11339945369842375,-0.06946152538743244,-0.023093551310959692,0.06293695355842766,0.07910699508441432,0.04280392722535198,-0.00034343163298522494
1003,"Baldwin, AL",-0.07347257710839439,-0.0664086170327719,-0.14987666104623543,-0.028021150796841976,0.004524988493950666,-0.06848198414026252,0.1062933385469369,0.04257285886322948,0.10335379957330604,0.10260961312333672
1005,"Barbour, AL",0.31574072662553276,0.1350009742902889,0.40698866117891774,0.04553500282624845,0.02162132255325555,-0.1135886862972596,-0.3518044948888829,-0.19919571197098607,-0.20393573159404776,-0.06053666707736427
1007,"Bibb, AL",0.06701543236807073,0.1825990735271421,0.08403711951132009,0.014900826397453049,-0.1482709365312821,-0.040135467664626834,0.23923662290507353,-0.1358515070716798,-0.09692109945912997,-0.06053666707736427
1009,"Blount, AL",0.11531201344796682,-0.0664086170327719,-0.023156830470516643,0.06387816714189132,-0.018272510991318214,0.0167060107483743,-0.07411146454960049,-0.006300009695214381,0.030641684559058247,-0.043364324809009314
1011,"Bullock, AL",0.4493355267638719,0.3807709787085394,0.4154870438539233,0.11254971419371196,-0.17601908646944098,-0.24544131087709298,-0.3352960704754189,-0.19919571197098607,-0.23292751440341553,-0.1372261353233447
1013,"Butler, AL",0.002167758629942229,0.19605290617847815,0.1645520777156384,0.14271230306108929,0.10107682463860579,-0.14155628420365107,-0.16020770724526878,-0.07542970545960648,-0.07273996864517374,-0.09049619094636419
1015,"Calhoun, AL",0.10461830683818185,0.10060308869407408,0.038190025194378974,0.12464286982960071,-0.10340200535733457,0.06778161803242289,-0.04302378492224401,-0.07137677512984619,-0.08484302646749242,-0.07767324941017051
1017,"Chambers, AL",-0.08960133350057853,0.10060308869407408,0.15957227616446468,0.29419174517667246,-0.05810824778011148,0.011020658518969384,0.01310391867834726,-0.07542970545960648,-0.198092395708926,-0.09476405800446075
1019,"Cherokee, AL",0.034628043800634556,0.07290646658982758,0.17448631966034434,0.20807201569393485,0.0557661229170785,-0.034456932483074465,-0.12352903778306279,-0.1952793503917949,-0.0666801703255705,-0.047660211849634315
1021,"Chilton, AL",0.040032843529836715,-0.07335164520626336,0.058597926112187615,0.10649037920817683,-0.08079683789770864,0.17964412186137624,0.08155704176791434,-0.12784344417882754,-0.03631623835691433,-0.08195063182483209
1023,"Choctaw, AL",0.25612863997023916,0.2227357808999757,0.1843851668838985,0.12464286982960071,0.08978098222133069,-0.4716056619927331,-0.03679429526323286,-0.14384185754765888,-0.04847301576700691,-0.064824557939693
1025,"Clarke, AL",0.3541735745294916,0.06596300548100653,0.033082399432699194,0.19630778423510264,-0.15384075215938064,0.039432949033290976,-0.16628086055052282,-0.1756063008030292,-0.0545462489363,-0.07767324941017051
1027,"Clay, AL",0.19450257425836348,0.24253354067042943,-0.053793781208681946,0.05776795810003321,0.15154579466098017,-0.09671835772204451,-0.23216182273791264,-0.026668226702434406,-0.11498372895658493,-0.06911005634872613
1029,"Cleburne, AL",0.15251440331461485,0.03813191824762163,-0.007818416962824593,0.08826662501856286,0.19027398010712937,-0.07413951219501769,0.019341704060447107,-0.18349330252150553,-0.03631623835691433,-0.07767324941017051
1031,"Coffee, AL",0.012991741875242102,-0.01068907049799328,-0.048693089984087834,-0.1375436481210458,0.08978098222133069,-0.034456932483074465,-0.061690266798316906,0.09528227152148849,0.08524854429533657,-0.026166320711297875
1033,"Colbert, AL",0.07778329689355967,0.02419144001777851,0.048399026820186375,0.06387816714189132,-0.018272510991318214,0.039432949033290976,0.05049836433906307,-0.04701432461967592,-0.0666801703255705,-0.11604811991322983
1035,"Conecuh, AL",-0.03570354343121229,0.24253354067042943,0.06878460763029404,0.29419174517667246,0.4258500463484123,-0.13039376658690593,-0.2439334020723437,-0.17165426277011586,-0.2444124194280135,-0.10754616150314822
1037,"Coosa, AL",-0.17463156171540906,0.045096934821898804,0.07895696610499359,0.02716108087807534,0.3282080060197483,-0.011724199845606131,-0.0865097097462576,-0.022595813042523227,-0.005885104705156796,-0.128768859080178
1039,"Covington, AL",0.08853304469087075,0.24908905660242842,0.09418407253904637,0.08826662501856286,-0.04105102655685222,-0.017409438344214934,-0.07411146454960049,-0.12784344417882754,-0.07879440111249836,-0.07767324941017051
1041,"Crenshaw, AL",0.25612863997023916,0.22935636852257324,0.08403711951132009,0.021031744328062985,0.11797095265802171,-0.24008999987178936,-0.030561944700893684,-0.15181349651723264,-0.11498372895658493,-0.07767324941017051
1043,"Cullman, AL",-0.024888874031565367,0.02419144001777851,0.007523676482320774,0.05776795810003321,0.12358767991139241,0.07343971107900482,0.01310391867834726,-0.1117782227564943,-0.018062025622565092,-0.06911005634872613
1045,"Dale, AL",0.10996834249361909,0.07984286743658542,0.12449954203867364,-0.009629440149224067,-0.006874654525040214,-0.0060382032440357,-0.00561361543099792,-0.06326397234811276,-0.04847301576700691,-0.12029281015148174
1047,"Dallas, AL",0.36360392269439523,0.1486742639499341,0.3182638665130686,0.18448676520390173,-0.0864568514572176,-0.09671835772204451,-0.23805635469157604,-0.19135675105510674,-0.18047924641719837,-0.1666617326761467
1049,"DeKalb, AL",0.012991741875242102,0.20943333117510532,0.1893207316587473,0.11860069004472029,0.07279472077528415,0.0167060107483743,-0.13579796303174774,-0.15976543452336855,-0.14491419238333836,-0.09476405800446075
