GeoFIPS,GeoName,under_5,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_over
1001,"Autauga, AL",5.735096407481152,5.639795102193632,7.447116284610542,6.6778986062184105,6.107792583516278,6.342642228689097,6.277973485815422,6.861693980701486,6.638756998689607,6.926362723575161,6.485594186620378,7.283742618403363,5.959735198516023,4.557444563571076,4.463845067306547,3.61634417385681,1.443134051496741,1.5350317387382788
1003,"Baldwin, AL",5.185502527632593,5.211635678176677,6.913289349670122,6.134864193299632,5.000428412304001,5.349584440065119,5.676891440322166,6.359352240596349,5.709022363122269,6.286093736612116,6.55642190043698,6.779196298517694,7.631736783480421,6.543141119012938,6.172992888355753,4.191157570045412,2.299717247879359,1.9989718104703968
1005,"Barbour, AL",5.221690718334204,6.495960123809141,5.378462033203361,5.8487759778108295,6.005547292679986,6.793423644330105,6.745186316678057,6.717047875547695,5.748281545202396,5.937211078506251,6.34722836354866,6.262813040157575,6.6969489890260085,6.327129477026973,5.209631386421192,4.494111026249146,1.8651766692125256,1.905374442255899
1007,"Bibb, AL",5.199766302638084,6.462630892993573,5.851422407981664,5.878387488202778,5.037975821311401,7.590670082243495,7.22664149925846,6.148038290413914,7.433373780953666,7.316525099995506,5.905352568423891,6.561502853804324,6.606444654172846,5.833445687834255,4.076221293425015,3.653768369960901,1.7347534942249787,1.4830794121612512
1009,"Blount, AL",5.772127900875129,5.966789105743351,6.999339844609577,6.271476209015353,5.899080860571796,6.229158555783131,5.643482235049173,5.993872403811975,6.07681500414713,6.505069654857221,6.598168491968109,6.999339844609577,6.77928804780202,5.533456336645394,5.122128747228194,3.217834351778188,2.682939214922897,1.709633190581783
1011,"Bullock, AL",5.441518202943454,5.828814872192099,7.271494965143299,8.636715724244771,3.5340821068938806,7.281177381874516,6.109604957397367,7.600697134004647,4.628195197521301,5.906274206041829,7.89116963594113,6.167699457784663,7.106893880712625,5.635166537567777,4.521688613477924,3.0790085205267235,0.9682416731216112,2.39155693261038
1013,"Butler, AL",5.5529213423950265,5.689900426742532,7.180865075601918,5.584531900321374,6.100837679785048,5.695168853063589,5.484431800221274,6.243085190453612,6.369527422159001,5.479163373900216,5.953321742795427,6.258890469416785,7.223012486170381,7.607607607607608,4.488699225541331,4.209472630525262,2.665823718455297,2.212739054844318
1015,"Calhoun, AL",5.598216284154887,5.567225082212772,6.160362252716035,7.585096675332725,7.140028580775125,6.51245674144729,6.224066390041494,6.16552745303972,5.746285360100549,5.906406570134812,6.11559718324409,6.664830150996023,6.713038687350424,6.062223446566003,4.741653897143644,4.052960520652193,1.7768289113479452,1.267195812744271
1017,"Chambers, AL",6.0268115104588,4.654455102276668,6.633537501444586,5.154281751993528,6.151045880041604,6.720212643013984,5.798566970992719,6.656650872529759,4.692014330290073,6.223275164682769,6.887784583381486,8.193690049693748,6.474633075234022,6.760661042413036,4.772911129088177,3.9639431411071295,2.504911591355599,1.7306136600023114
1019,"Cherokee, AL",4.591327934899677,4.316087598228888,6.518010291595197,5.3412581275679125,5.345247117954446,5.309346204475647,5.097929713989389,5.871793848976823,4.906458175435797,6.482109378116399,6.93685428218118,7.802465196058877,8.237265148190993,7.451434042043958,6.422274522318401,4.004946348079301,2.9797758187402765,2.385416251146834
1021,"Chilton, AL",6.0013291980505095,7.419140451927338,6.278245458573327,6.101019051838724,6.391227292866637,6.260522817899868,6.194062915374391,5.443066016836508,6.984935755427559,6.278245458573327,6.457687195392113,6.6171909614532565,6.725742135578201,5.039875941515286,4.960124058484714,3.400531679220204,1.969428444838281,1.4776251661497564
1023,"Choctaw, AL",5.41479201199779,4.617570447549136,6.140974031099534,7.277606756650091,5.099060699344857,4.349198831794143,5.2963927697529405,4.254479437998263,5.580550951140579,5.888388980977188,6.669823979793196,8.295840239955798,7.830136553792723,6.227800142079091,6.835582918935986,4.483384639671639,2.1627594916725865,3.575657115794459
1025,"Clarke, AL",6.162720097146327,5.152224824355972,6.739526411657559,6.383901465868679,6.106340532570041,5.8764853846821055,5.243299505594588,5.186919941018302,6.097666753404458,5.958886286755139,6.505334374186833,7.20357359701622,6.999739786625033,7.199236707433429,3.924885072426056,3.907537514094892,2.658513314251019,2.693208430913349
1027,"Clay, AL",5.243155746357942,5.763952424519671,5.792103596312197,7.136322049405306,5.313533675839257,5.017946372017736,5.7358012527271445,5.2572313322542055,5.397987191216835,6.721092265465551,6.981490604546414,7.43894714617496,7.375607009641777,5.573932014920121,6.108804278978113,4.637905552818636,2.3365472587796465,2.1676402280244917
1029,"Cleburne, AL",5.949550977284733,6.959852086634971,6.094823032223983,5.606180665610143,5.196777601690439,6.3061278394083455,6.557052297939777,4.9986793449550975,5.764659270998415,6.46460644479662,6.642894875858425,6.642894875858425,7.177760169043845,6.292921288959325,5.190174326465927,4.272319070258848,1.294241944004226,2.588483888008452
1031,"Coffee, AL",5.914972273567468,6.168897850968092,7.386246942624022,6.448962826042308,5.827218581377546,6.2211766463152784,6.344405235347934,6.738363300285666,6.293993539834575,6.76450269795926,6.458298325211449,5.575160103810751,6.745831699620979,4.979555256819582,5.190537538042159,3.185272316510764,2.0743479153830355,1.6822569502791314
