GeoFIPS,GeoName,year,total_obligated_amount
1039,"Covington, AL",2015,1103935.0
1039,"Covington, AL",2016,650516.0
1039,"Covington, AL",2017,358065.0
1039,"Covington, AL",2018,233016.0
1039,"Covington, AL",2019,574416.0
1039,"Covington, AL",2020,526958.0
1039,"Covington, AL",2021,2914419.0
1043,"Cullman, AL",2011,740373.0
1043,"Cullman, AL",2012,1254045.0
1043,"Cullman, AL",2013,1441231.0
1043,"Cullman, AL",2014,1499542.0
1043,"Cullman, AL",2015,559504.0
1043,"Cullman, AL",2016,363129.0
1043,"Cullman, AL",2017,1159163.0
1043,"Cullman, AL",2018,1099363.0
1043,"Cullman, AL",2019,1115177.0
1043,"Cullman, AL",2020,1431407.0
1043,"Cullman, AL",2021,5073375.0
1045,"Dale, AL",2011,424121.0
1045,"Dale, AL",2012,48410.0
1045,"Dale, AL",2013,579817.0
1045,"Dale, AL",2014,993635.0
1045,"Dale, AL",2015,1613836.0
1045,"Dale, AL",2016,1572142.0
1045,"Dale, AL",2017,1005411.0
1045,"Dale, AL",2018,3571002.0
1045,"Dale, AL",2019,2580704.0
1045,"Dale, AL",2020,5018850.3100000005
1045,"Dale, AL",2021,5199284.0
1047,"Dallas, AL",2011,437007.0
1047,"Dallas, AL",2012,236440.0
1047,"Dallas, AL",2013,1409663.0
1047,"Dallas, AL",2014,2775918.0
1047,"Dallas, AL",2015,592650.0
1047,"Dallas, AL",2016,291430.0
1047,"Dallas, AL",2017,247457.0
1047,"Dallas, AL",2018,172497.0
1047,"Dallas, AL",2019,621576.0
1047,"Dallas, AL",2020,560791.0
1047,"Dallas, AL",2021,399294.0
1049,"DeKalb, AL",2015,815147.0
1049,"DeKalb, AL",2016,404014.0
1049,"DeKalb, AL",2017,1311430.0
1049,"DeKalb, AL",2018,217838.0
1049,"DeKalb, AL",2019,435676.0
1049,"DeKalb, AL",2020,364272.0
1049,"DeKalb, AL",2021,1024823.0
1051,"Elmore, AL",2012,194700.0
1051,"Elmore, AL",2013,353537.0
1051,"Elmore, AL",2014,315881.0
1051,"Elmore, AL",2015,596144.0
1051,"Elmore, AL",2016,351127.0
1051,"Elmore, AL",2017,1048436.0
1051,"Elmore, AL",2018,467965.0
1051,"Elmore, AL",2019,163414.0
1051,"Elmore, AL",2020,146838.0
1051,"Elmore, AL",2021,292641.0
1053,"Escambia, AL",2015,2340637.0
1053,"Escambia, AL",2016,2988101.0
1053,"Escambia, AL",2017,1030439.0
1053,"Escambia, AL",2018,3076808.0
1053,"Escambia, AL",2019,326622.0
1053,"Escambia, AL",2020,557529.0
1053,"Escambia, AL",2021,1328955.0
1055,"Etowah, AL",2011,778797.0
1055,"Etowah, AL",2012,733693.0
1055,"Etowah, AL",2013,4295409.0
1055,"Etowah, AL",2014,864522.0
1055,"Etowah, AL",2015,4426810.0
1055,"Etowah, AL",2016,935533.0
1055,"Etowah, AL",2017,1991075.0
1055,"Etowah, AL",2018,725571.0
1055,"Etowah, AL",2019,2550282.0
1055,"Etowah, AL",2020,2393369.0
1055,"Etowah, AL",2021,1234808.0
1057,"Fayette, AL",2015,117834.0
1057,"Fayette, AL",2016,97937.0
1057,"Fayette, AL",2017,1781938.0
1057,"Fayette, AL",2019,1801835.0
1057,"Fayette, AL",2020,1836086.0
1057,"Fayette, AL",2021,105788.0
1059,"Franklin, AL",2011,117369.0
1059,"Franklin, AL",2012,719218.0
1059,"Franklin, AL",2014,836587.0
1059,"Franklin, AL",2015,161139.0
1059,"Franklin, AL",2016,161139.0
1059,"Franklin, AL",2017,165340.0
1059,"Franklin, AL",2018,237862.0
1059,"Franklin, AL",2020,92522.0
1059,"Franklin, AL",2021,3597378.0
1061,"Geneva, AL",2010,48428565.0
1061,"Geneva, AL",2011,969946961.46
1061,"Geneva, AL",2012,1060469148.61
1061,"Geneva, AL",2013,1130830702.86
1061,"Geneva, AL",2014,1330907340.96
1061,"Geneva, AL",2015,211566058.34
1061,"Geneva, AL",2016,10464378.24
1061,"Geneva, AL",2017,208966.0
1061,"Geneva, AL",2019,292550.0
1061,"Geneva, AL",2020,322550.0
1061,"Geneva, AL",2021,299991.0
1065,"Hale, AL",2011,5649445.0
1065,"Hale, AL",2012,8609476.0
1065,"Hale, AL",2013,11043679.0
1065,"Hale, AL",2014,10355882.0
1065,"Hale, AL",2015,1039432.0
1065,"Hale, AL",2016,148494.0
1065,"Hale, AL",2017,150000.0
1065,"Hale, AL",2019,178690.0
1065,"Hale, AL",2020,109152.0
1065,"Hale, AL",2021,120152.0
1067,"Henry, AL",2011,357126.0
1067,"Henry, AL",2012,142169.0
1067,"Henry, AL",2013,1409297.0
1067,"Henry, AL",2014,742880.0
1067,"Henry, AL",2015,261320.0
1067,"Henry, AL",2016,769366.0
1067,"Henry, AL",2018,1144610.0
1067,"Henry, AL",2019,1335856.0
1067,"Henry, AL",2020,481027.0
1067,"Henry, AL",2021,699081.0
1069,"Houston, AL",2011,2535626.0
1069,"Houston, AL",2012,981702.0
1069,"Houston, AL",2013,249767.0
1069,"Houston, AL",2014,2727328.0
1069,"Houston, AL",2015,3214008.0
1069,"Houston, AL",2016,4862538.0
1069,"Houston, AL",2017,4768663.0
1071,"Jackson, AL",2011,132473.0
1071,"Jackson, AL",2012,385869.0
1071,"Jackson, AL",2013,150228.0
1071,"Jackson, AL",2014,1164751.0
1071,"Jackson, AL",2015,263964.0
1071,"Jackson, AL",2016,342097.0
1071,"Jackson, AL",2017,1816225.0
1071,"Jackson, AL",2018,584908.0
1071,"Jackson, AL",2019,734451.0
1071,"Jackson, AL",2020,1407492.0
1071,"Jackson, AL",2021,1494153.0
1073,"Jefferson, AL",2011,62327100.0
1073,"Jefferson, AL",2012,13839572.0
1073,"Jefferson, AL",2013,33287316.62
1073,"Jefferson, AL",2014,44219758.620000005
1073,"Jefferson, AL",2015,42203827.0
1073,"Jefferson, AL",2016,23632587.0
1073,"Jefferson, AL",2017,50218949.03
1073,"Jefferson, AL",2018,25962660.3
1073,"Jefferson, AL",2019,62639004.5
1073,"Jefferson, AL",2020,80303761.5
1073,"Jefferson, AL",2021,73362642.47
1077,"Lauderdale, AL",2011,1349750.0
1077,"Lauderdale, AL",2012,3323760.0
1077,"Lauderdale, AL",2013,1303541.0
1077,"Lauderdale, AL",2014,2299743.0
1077,"Lauderdale, AL",2015,800000.0
1079,"Lawrence, AL",2011,30487.0
1079,"Lawrence, AL",2013,57600.0
1079,"Lawrence, AL",2014,94765.0
1079,"Lawrence, AL",2017,595032.0
1079,"Lawrence, AL",2018,595032.0
1079,"Lawrence, AL",2019,595032.0
1079,"Lawrence, AL",2020,30000.0
1079,"Lawrence, AL",2021,433335.0
1081,"Lee, AL",2011,7923366.32
1081,"Lee, AL",2012,7539152.32
1081,"Lee, AL",2013,10910886.32
1081,"Lee, AL",2014,4329365.0
1081,"Lee, AL",2015,9966892.32
1081,"Lee, AL",2016,9066893.34
1081,"Lee, AL",2017,13949412.35
1081,"Lee, AL",2018,4878384.63
1081,"Lee, AL",2019,28795869.35
1081,"Lee, AL",2020,25146617.0
1081,"Lee, AL",2021,17835605.7
1083,"Limestone, AL",2011,15933076.0
1083,"Limestone, AL",2012,9478537.0
1083,"Limestone, AL",2013,9753993.0
1083,"Limestone, AL",2014,6828463.0
1087,"Macon, AL",2011,779075.0
1087,"Macon, AL",2012,288554.0
1087,"Macon, AL",2013,378978.0
1087,"Macon, AL",2014,353411.0
1087,"Macon, AL",2015,241184.0
1087,"Macon, AL",2016,81353.0
1087,"Macon, AL",2017,1307821.53
1087,"Macon, AL",2018,852541.0
1087,"Macon, AL",2019,183221.53
1087,"Macon, AL",2020,174810.0
1087,"Macon, AL",2021,499256.0
1089,"Madison, AL",2011,4756911.0
1089,"Madison, AL",2012,6382666.0
1089,"Madison, AL",2013,4870122.0
1089,"Madison, AL",2014,9808370.0
1089,"Madison, AL",2015,37145433.0
1089,"Madison, AL",2016,67645490.86
1089,"Madison, AL",2017,24965978.43
1089,"Madison, AL",2018,60133543.86
1089,"Madison, AL",2019,52470148.86
1089,"Madison, AL",2020,125702985.29
1089,"Madison, AL",2021,78137194.43
1091,"Marengo, AL",2011,316428.0
1091,"Marengo, AL",2012,1073071.0
1091,"Marengo, AL",2013,659004.0
1091,"Marengo, AL",2014,1599203.0
1091,"Marengo, AL",2015,2563120.0
1091,"Marengo, AL",2016,325132.0
1091,"Marengo, AL",2017,325132.0
1091,"Marengo, AL",2018,1915810.0
1091,"Marengo, AL",2020,139125.0
1091,"Marengo, AL",2021,421017.0
1093,"Marion, AL",2011,271406.0
1093,"Marion, AL",2012,72000.0
1093,"Marion, AL",2013,422923.0
1093,"Marion, AL",2014,374423.0
1093,"Marion, AL",2015,1677247.0
1093,"Marion, AL",2016,272244.0
1093,"Marion, AL",2017,280393.0
1093,"Marion, AL",2019,1957229.0
1093,"Marion, AL",2020,118688.0
1093,"Marion, AL",2021,493339.0
1095,"Marshall, AL",2011,157565.0
1095,"Marshall, AL",2012,3641184.0
1095,"Marshall, AL",2013,9099288.0
1095,"Marshall, AL",2014,7138785.0
1095,"Marshall, AL",2015,3474806.0
1095,"Marshall, AL",2016,10560942.0
1095,"Marshall, AL",2017,3609601.0
1095,"Marshall, AL",2018,1017867.0
1095,"Marshall, AL",2019,1294470.0
1095,"Marshall, AL",2020,1006999.0
1095,"Marshall, AL",2021,1909627.0
1097,"Mobile, AL",2011,7914525.0
1097,"Mobile, AL",2012,7006852.0
1097,"Mobile, AL",2013,31993625.0
1097,"Mobile, AL",2014,24354810.87
1097,"Mobile, AL",2015,22350071.75
1097,"Mobile, AL",2016,28112258.0
1097,"Mobile, AL",2017,26663821.87
1097,"Mobile, AL",2018,14961375.15
1097,"Mobile, AL",2019,37195234.23
1097,"Mobile, AL",2020,53517532.44
1097,"Mobile, AL",2021,75437070.02
1099,"Monroe, AL",2011,513716.0
1099,"Monroe, AL",2012,2444584.0
1099,"Monroe, AL",2013,571627.0
1099,"Monroe, AL",2014,572002.0
1099,"Monroe, AL",2015,2032302.0
1099,"Monroe, AL",2016,165424.0
1099,"Monroe, AL",2017,441577.0
1099,"Monroe, AL",2018,639072.0
1099,"Monroe, AL",2019,477654.0
1099,"Monroe, AL",2020,30000.0
1099,"Monroe, AL",2021,452728.0
1101,"Montgomery, AL",2010,39472634.0
1101,"Montgomery, AL",2011,1834900072.0
1101,"Montgomery, AL",2012,1642168389.54
1101,"Montgomery, AL",2013,1790210574.54
1101,"Montgomery, AL",2014,2324769596.03
1101,"Montgomery, AL",2015,3078360343.4
1101,"Montgomery, AL",2016,3083800793.69
1101,"Montgomery, AL",2017,2882825196.35
1101,"Montgomery, AL",2018,2987226558.61
1101,"Montgomery, AL",2019,3766534603.29
1101,"Montgomery, AL",2020,3619414585.47
1101,"Montgomery, AL",2021,3875418223.94
1103,"Morgan, AL",2011,199350.0
1103,"Morgan, AL",2012,186588.0
1103,"Morgan, AL",2013,338747.0
1103,"Morgan, AL",2014,704066.0
1103,"Morgan, AL",2015,644528.0
1103,"Morgan, AL",2016,122400.0
1103,"Morgan, AL",2017,1686797.0
1103,"Morgan, AL",2018,811057.0
1103,"Morgan, AL",2019,2030195.0
1103,"Morgan, AL",2020,1327826.0
1103,"Morgan, AL",2021,1157818.0
1105,"Perry, AL",2015,279990.0
1105,"Perry, AL",2016,2465541.0
1105,"Perry, AL",2019,2843351.0
1105,"Perry, AL",2020,20000.0
1105,"Perry, AL",2021,31000.0
1107,"Pickens, AL",2011,1790471.0
1107,"Pickens, AL",2012,804251.0
1107,"Pickens, AL",2014,40428.0
1107,"Pickens, AL",2015,1169533.0
1107,"Pickens, AL",2016,76462.0
1107,"Pickens, AL",2017,1040791.0
1107,"Pickens, AL",2018,604478.0
1107,"Pickens, AL",2019,40855.0
1107,"Pickens, AL",2020,752123.0
1107,"Pickens, AL",2021,542000.0
1109,"Pike, AL",2011,2098384.0
1109,"Pike, AL",2015,2144040.0
1109,"Pike, AL",2016,520175.0
1109,"Pike, AL",2017,393933.0
1109,"Pike, AL",2018,205772.0
1109,"Pike, AL",2019,1089311.0
1109,"Pike, AL",2020,69000.0
1109,"Pike, AL",2021,2245845.0
1111,"Randolph, AL",2011,213813.0
1111,"Randolph, AL",2012,277568.0
1111,"Randolph, AL",2013,235613.0
1111,"Randolph, AL",2014,133157.0
1111,"Randolph, AL",2015,108339.0
1111,"Randolph, AL",2016,195927.0
1111,"Randolph, AL",2017,195927.0
1111,"Randolph, AL",2018,53845.0
1111,"Randolph, AL",2020,142064.0
1111,"Randolph, AL",2021,807570.0
1115,"St. Clair, AL",2011,498037.0
1115,"St. Clair, AL",2012,621847.0
1115,"St. Clair, AL",2013,1072847.0
1115,"St. Clair, AL",2014,603027.0
1115,"St. Clair, AL",2015,1205459.0
1115,"St. Clair, AL",2016,479217.0
1115,"St. Clair, AL",2017,1784264.0
1115,"St. Clair, AL",2019,242302.0
1115,"St. Clair, AL",2020,598049.0
1115,"St. Clair, AL",2021,407000.0
1117,"Shelby, AL",2011,191843.0
1117,"Shelby, AL",2012,364950.0
1117,"Shelby, AL",2013,556793.0
1117,"Shelby, AL",2014,401117.0
1117,"Shelby, AL",2015,297615.0
1117,"Shelby, AL",2016,146259.0
1117,"Shelby, AL",2017,201663.0
1117,"Shelby, AL",2018,249970.0
1117,"Shelby, AL",2019,348814.0
1117,"Shelby, AL",2020,417814.0
1117,"Shelby, AL",2021,859908.0
1119,"Sumter, AL",2017,183602.1
1121,"Talladega, AL",2013,1463259.0
1121,"Talladega, AL",2014,150000.0
1121,"Talladega, AL",2015,3466498.0
1121,"Talladega, AL",2016,2090537.0
1121,"Talladega, AL",2017,799602.0
1121,"Talladega, AL",2018,202208.0
1121,"Talladega, AL",2019,2607329.0
1121,"Talladega, AL",2020,623115.0
1121,"Talladega, AL",2021,2506230.0
1123,"Tallapoosa, AL",2011,705206.0
1123,"Tallapoosa, AL",2012,1403296.0
1123,"Tallapoosa, AL",2013,132451.0
1123,"Tallapoosa, AL",2014,858981.0
1123,"Tallapoosa, AL",2015,1131947.0
1123,"Tallapoosa, AL",2017,2188361.0
1123,"Tallapoosa, AL",2018,155612.0
1123,"Tallapoosa, AL",2019,1188865.0
1123,"Tallapoosa, AL",2020,69000.0
1123,"Tallapoosa, AL",2021,391792.0
1125,"Tuscaloosa, AL",2011,8860356.0
1125,"Tuscaloosa, AL",2012,3054729.0
1125,"Tuscaloosa, AL",2013,3335562.0
1125,"Tuscaloosa, AL",2014,7086946.0
1125,"Tuscaloosa, AL",2015,2615646.0
1125,"Tuscaloosa, AL",2016,3186149.0
1125,"Tuscaloosa, AL",2017,5785558.3100000005
1125,"Tuscaloosa, AL",2018,6325748.0
1125,"Tuscaloosa, AL",2019,8504892.0
1125,"Tuscaloosa, AL",2020,22470144.31
1125,"Tuscaloosa, AL",2021,3606216.0
1127,"Walker, AL",2011,62515.0
1127,"Walker, AL",2012,531831.0
1127,"Walker, AL",2013,688794.0
1127,"Walker, AL",2015,193636.0
1127,"Walker, AL",2016,572037.0
1127,"Walker, AL",2017,1106604.0
1127,"Walker, AL",2018,113788.0
1127,"Walker, AL",2019,1151963.0
1127,"Walker, AL",2020,1083311.0
1127,"Walker, AL",2021,383204.0
1131,"Wilcox, AL",2011,269113.0
1131,"Wilcox, AL",2013,64605.0
1131,"Wilcox, AL",2014,331776.0
1131,"Wilcox, AL",2015,36512.0
1131,"Wilcox, AL",2016,788790.0
1131,"Wilcox, AL",2017,451191.0
1131,"Wilcox, AL",2018,156685.0
1131,"Wilcox, AL",2019,465623.0
