GeoFIPS,GeoName,Expected_agricultural_loss_rate,Expected_building_loss_rate,Expected_population_loss_rate,Diesel_particulate_matter_exposure,Proximity_to_hazardous_waste_sites,Proximity_to_Risk_Management_Plan_facilities
1001,"Autauga, AL",0.3020545269050198,0.019612152401589,0.0002574864572047,0.1914066449981943,0.6817683279162152,0.0879709281328999
1003,"Baldwin, AL",0.4596654935864304,0.0217595747779918,0.0001633026359065,0.1540580745195696,0.3726756096414979,0.1149233660668138
1005,"Barbour, AL",1.6576054571980603,0.0159287409802452,0.0004849493316509,0.0812266866448484,0.0221915539608059,0.2798592326800994
1007,"Bibb, AL",0.620460907837994,0.033423553994576,0.0006,0.1007793535766683,0.2820081803227671,0.0333108078068732
1009,"Blount, AL",0.4367255855481007,0.0338972087862554,0.0005848910386435,0.1345656281964598,0.1707421854683518,0.0802319654652311
1011,"Bullock, AL",0.0,0.0188524590163934,0.0006,0.0656733021077283,0.3449102263856362,0.4438768540202967
1013,"Butler, AL",1.3206365039338308,0.0608688269114383,0.000468004841638,0.1116638087552955,0.0149672180754488,0.0225993544482549
1015,"Calhoun, AL",0.399875255195519,0.0378458880804062,0.0010546964700134,0.1651949955504371,0.9736017902947182,0.4705754768012005
1017,"Chambers, AL",0.8147453654188949,0.0213890404040404,0.0002111913250148,0.1413413547237076,0.2744872251931076,0.2578669043374925
1019,"Cherokee, AL",0.3809591939157626,0.0300918658070493,0.0011348067791375,0.1130973246342122,0.1675350345519824,0.1446840134347373
1021,"Chilton, AL",0.6419188400862558,0.0256796095789354,0.0005336147996822,0.13255544206106,0.2715682669390534,0.1146367041198501
1023,"Choctaw, AL",1.3236475125725338,0.1821103984526112,0.0010770135396518,0.06,0.0216417794970986,0.0663705996131528
1025,"Clarke, AL",0.5907442722148541,0.0518809225795756,0.0003580404509283,0.0760071286472148,0.018606598143236,0.2255043932360742
1027,"Clay, AL",0.726821361625553,0.0338377896078578,0.0005999999999999,0.0845857389217965,0.5804716203044162,0.1625335532728499
1029,"Cleburne, AL",0.6046836417270045,0.0437287007240547,0.0007705752212389,0.1211759184768034,0.0474772056851702,0.0967531509788146
1031,"Coffee, AL",2.354559459564089,0.0227008013627037,0.0004484611513297,0.0981328636134876,0.3338413146993922,0.101083968874608
1033,"Colbert, AL",0.1024818973544394,0.0259199138230085,0.000691276405397,0.1665335670336492,0.4354304285114386,0.4686951123769878
1035,"Conecuh, AL",1.0461137001775054,0.0860834032596417,0.0004,0.084973374213329,0.0225004034210101,0.0761683072454413
1037,"Coosa, AL",0.8286338105419727,0.0185023705494096,0.0003321558055219,0.08,0.0892972018220693,0.07
1039,"Covington, AL",1.6618614865591397,0.0473224784946236,0.000425317204301,0.078941129032258,0.2248021505376344,0.1662217741935484
1041,"Crenshaw, AL",1.6440066960416062,0.0666229846865067,0.0005280915920254,0.0689504478474429,0.0292632187229124,0.1383906385437734
1043,"Cullman, AL",0.4575660422676306,0.0343752344513777,0.0002491955632264,0.1592569973326252,0.3765888984104377,0.2256514549865424
1045,"Dale, AL",1.647479931814031,0.0338984576983176,0.0004383201087728,0.0928260648984313,0.5146969174259797,0.27480569028147
1047,"Dallas, AL",0.3222279700630923,0.0204455030779841,0.000443776341669,0.1239648522312192,0.0156509744821068,0.3431852665457611
1049,"DeKalb, AL",0.6425102860748844,0.0168706590940962,0.0006076917683354,0.1227121020894685,0.1762526994811387,0.2543374000841397
1051,"Elmore, AL",0.570274033816425,0.0190899277827072,0.0002074336981169,0.1511850537316376,0.2806314699792961,0.1631672089125505
1053,"Escambia, AL",1.3157015516636534,0.0520899776020724,0.0003966726934182,0.096279515341231,0.1701470707288771,0.1570709987316836
1055,"Etowah, AL",0.3289299733328142,0.0445717863121423,0.0008781260949118,0.1872749834546657,0.4354726126055981,0.8175558648343522
1057,"Fayette, AL",0.5640973869285801,0.0364322844670789,0.000374275494119,0.0822650660846368,0.2330853643749242,0.0246313811082817
1059,"Franklin, AL",0.1300392804932307,0.0372645267908218,0.0013,0.0869115871098964,0.505306680226276,0.3133604525519609
1061,"Geneva, AL",1.5842967975167506,0.0373731460801756,0.000221262823182,0.0773615474883597,0.1207396752091456,0.2430291100427754
1063,"Greene, AL",1.2449237626141278,0.0534512614127823,0.0007209875060067,0.1085235463719365,0.0382616530514175,0.2372164824603556
1065,"Hale, AL",0.4154939023566749,0.0352865689783239,0.0005639138361807,0.089204537781079,0.3325356202309407,0.1316348166655412
1067,"Henry, AL",2.34466428529738,0.0181101616762972,0.0005607307535166,0.0784976361407809,0.0526790404482577,0.166706356154789
1069,"Houston, AL",1.3566998758380928,0.0427388302038165,0.0005432169395044,0.1443583694676319,0.3933956371416018,1.0550367710263415
1071,"Jackson, AL",0.6871875048214148,0.036110632183908,0.0008368317519092,0.1161446038725603,0.1883069119802514,0.2390152742420735
1073,"Jefferson, AL",0.0490404344530681,0.0703218581736599,0.0002106735083676,0.3728068305845258,1.9491843924326944,0.6600323490177056
1075,"Lamar, AL",1.1221566222542312,0.0361293770255671,0.0009,0.07,0.1830392509902773,0.0328174288800864
1077,"Lauderdale, AL",0.0801459548813691,0.0215972989325381,0.0006992048057392,0.1774972989325381,0.6506746186092744,0.8401082587838714
1079,"Lawrence, AL",0.10000874221066,0.0209903714683283,0.0013137394881723,0.1129100369048339,0.0570234133946397,0.0638940649767076
1081,"Lee, AL",0.0,0.0068420038224781,0.0001070635176727,0.1810400119142176,0.8401222448371726,0.3750303440230341
